Gene ID,gene_name,gene_product,"B1-MG data, non-normalized",,,"B1-MG data, normalized",,,"MG-SG data, non-normalized",,,"MG-SG data, normalized",,,"SG-B2 data, non-normalized",,,"SG-B2 data, normalized",,,"SG-B2 data, normalized, BS fitness-corrected",,,"Blood stage fitness data (Bushell et al., 2017)",,Classified as metabolic?,Metabolic subsystem(s),Go Biological Process (computed),GO Biological Process (curated)
PBANKA_0934700,,"conserved Plasmodium protein, unknown function",-0.111,0.107,not reduced,-0.706,0.140,not reduced,0.211,0.100,not reduced,-0.350,0.135,not reduced,-0.078,0.046,not reduced,-0.800,0.061,not reduced,-0.526,0.335,no power,0.951,Dispensable,,, , 
PBANKA_1205700,,"conserved Plasmodium protein, unknown function",0.254,0.091,not reduced,-0.104,0.108,not reduced,0.142,0.083,not reduced,-0.325,0.106,not reduced,0.238,0.099,not reduced,-0.501,0.127,not reduced,-0.526,0.233,not reduced,1.028,Dispensable,,, , 
PBANKA_1109300,,"conserved Plasmodium protein, unknown function",-0.423,0.103,not reduced,-0.886,0.127,no power,-0.286,0.103,not reduced,-0.673,0.123,not reduced,0.063,0.164,not reduced,-0.382,0.195,not reduced,-0.524,0.275,no power,1.030,Dispensable,,, , 
PBANKA_0933600,,"dynein light chain 2, putative",-0.841,0.060,not reduced,-1.199,0.077,reduced,0.276,0.070,not reduced,-0.206,0.094,not reduced,0.341,0.081,not reduced,-0.473,0.112,not reduced,-0.522,0.179,not reduced,1.004,Dispensable,,, , 
PBANKA_0515000,P25,25 kDa ookinete surface antigen precursor,0.362,0.049,not reduced,0.009,0.067,not reduced,0.062,0.055,not reduced,-0.419,0.078,not reduced,0.203,0.066,not reduced,-0.512,0.093,not reduced,-0.522,0.094,not reduced,1.003,Dispensable,,, , 
PBANKA_0303400,,"RNA-binding protein, putative",0.703,0.053,not reduced,0.289,0.069,not reduced,0.024,0.055,not reduced,-0.336,0.074,not reduced,-0.462,0.060,not reduced,-1.011,0.078,no power,-0.509,0.334,no power,0.881,Dispensable,,, , 
PBANKA_0933500,ROM1,rhomboid protease ROM1,-0.523,0.056,not reduced,-0.987,0.070,no power,0.756,0.063,not reduced,0.232,0.079,not reduced,1.111,0.089,not reduced,-0.435,0.108,not reduced,-0.505,0.150,not reduced,1.007,Dispensable,,, , 
PBANKA_1358200,,"conserved Plasmodium protein, unknown function",-0.158,0.051,not reduced,-0.665,0.070,not reduced,0.358,0.052,not reduced,-0.123,0.071,not reduced,0.233,0.051,not reduced,-0.615,0.073,not reduced,-0.505,0.194,not reduced,0.969,Dispensable,,, , 
PBANKA_1405000,,"conserved Plasmodium protein, unknown function",0.313,0.493,not reduced,-0.018,0.562,no power,-0.070,0.429,not reduced,-0.368,0.488,no power,-0.417,0.586,no power,-0.510,0.663,no power,-0.504,0.688,no power,1.002,Dispensable,,, , 
PBANKA_0702100,FT1,"folate transporter 1, putative",0.250,0.062,not reduced,-0.381,0.077,not reduced,0.263,0.070,not reduced,-0.083,0.089,not reduced,0.224,0.097,not reduced,-0.581,0.121,not reduced,-0.498,0.147,not reduced,0.982,Dispensable,,, , 
PBANKA_0802500,,"conserved Plasmodium protein, unknown function",0.557,0.109,not reduced,0.048,0.128,not reduced,-0.014,0.087,not reduced,-0.489,0.107,not reduced,-0.117,0.083,not reduced,-0.821,0.105,no power,-0.493,0.169,not reduced,0.943,Dispensable,,, , 
PBANKA_1002600,P41,6-cysteine protein,0.242,0.052,not reduced,-0.134,0.070,not reduced,0.074,0.056,not reduced,-0.298,0.083,not reduced,-0.161,0.195,not reduced,-0.836,0.283,no power,-0.491,0.305,no power,0.923,Slow,,, , 
PBANKA_1463700,,"DNA repair protein rhp16, putative",0.290,0.161,not reduced,-0.480,0.206,not reduced,0.702,0.120,not reduced,-0.051,0.164,not reduced,-0.046,0.096,not reduced,-0.823,0.128,no power,-0.484,0.395,no power,0.872,Dispensable,,, , 
PBANKA_1012100,,"conserved Plasmodium protein, unknown function",-0.297,0.274,not reduced,-0.709,0.294,no power,0.571,0.167,not reduced,0.141,0.183,not reduced,0.264,0.149,not reduced,-0.376,0.169,not reduced,-0.481,0.241,not reduced,0.997,Dispensable,,, , 
PBANKA_0906000,,"alpha/beta hydrolase, putative",-0.854,0.070,not reduced,-1.257,0.086,reduced,0.134,0.076,not reduced,-0.222,0.095,not reduced,0.100,0.073,not reduced,-0.431,0.091,not reduced,-0.476,0.184,not reduced,1.028,Dispensable,,, , 
PBANKA_1304500,,"conserved Plasmodium protein, unknown function",-0.405,0.065,not reduced,-1.093,0.091,no power,0.092,0.056,not reduced,-0.310,0.080,not reduced,-0.143,0.085,not reduced,-0.754,0.121,not reduced,-0.470,0.253,not reduced,0.919,Dispensable,,, , 
PBANKA_1201100,,"conserved Plasmodium protein, unknown function",0.158,0.082,not reduced,-0.334,0.101,not reduced,-0.147,0.077,not reduced,-0.466,0.096,not reduced,0.129,0.079,not reduced,-0.639,0.099,not reduced,-0.467,0.279,no power,0.956,Dispensable,,, , 
PBANKA_1408600,,"conserved Plasmodium protein, unknown function",0.221,0.074,not reduced,-0.173,0.088,not reduced,0.121,0.067,not reduced,-0.241,0.085,not reduced,0.451,0.065,not reduced,-0.124,0.084,not reduced,-0.466,0.215,not reduced,1.079,Dispensable,,, , 
PBANKA_0207300,,"conserved Plasmodium protein, unknown function",0.232,0.119,not reduced,-0.106,0.149,not reduced,-0.027,0.121,not reduced,-0.368,0.152,not reduced,-0.072,0.081,not reduced,-0.361,0.100,not reduced,-0.463,0.221,not reduced,0.987,Dispensable,,, , 
PBANKA_1407900,,"HORMA domain protein, putative",0.271,0.103,not reduced,-0.242,0.123,not reduced,-0.451,0.100,not reduced,-0.767,0.119,no power,-0.019,0.106,not reduced,-0.716,0.126,not reduced,-0.452,0.219,not reduced,0.942,Dispensable,,, , 
PBANKA_1006900,,"conserved Plasmodium protein, unknown function",-0.222,0.135,not reduced,-0.692,0.169,no power,-0.058,0.090,not reduced,-0.569,0.112,not reduced,0.364,0.244,not reduced,-0.302,0.297,not reduced,-0.450,0.394,no power,1.027,Dispensable,,, , 
PBANKA_0418500,,"Plasmodium exported protein, unknown function",0.602,0.070,not reduced,0.148,0.095,not reduced,0.075,0.048,not reduced,-0.269,0.067,not reduced,0.143,0.082,not reduced,-0.331,0.112,not reduced,-0.449,0.178,not reduced,1.033,Dispensable,,, , 
PBANKA_1323800,,"conserved Plasmodium protein, unknown function",-0.053,0.223,not reduced,-0.350,0.281,not reduced,0.420,0.160,not reduced,0.304,0.206,not reduced,-0.335,0.192,not reduced,-0.505,0.254,no power,-0.449,0.385,no power,1.004,Dispensable,,, , 
PBANKA_0714300,HSP20,small heat shock protein HSP20,0.369,0.077,not reduced,-0.094,0.101,not reduced,-0.049,0.052,not reduced,-0.396,0.070,not reduced,0.191,0.087,not reduced,-0.277,0.117,not reduced,-0.441,0.213,not reduced,1.044,Dispensable,,, , 
PBANKA_0913000,,"conserved Plasmodium protein, unknown function",-0.537,0.089,not reduced,-1.042,0.110,no power,-0.047,0.086,not reduced,-0.382,0.105,not reduced,-0.123,0.084,not reduced,-0.794,0.106,no power,-0.438,0.315,no power,0.936,Dispensable,,, , 
PBANKA_1436300,,"conserved Plasmodium protein, unknown function",0.559,0.266,not reduced,0.047,0.370,not reduced,0.045,0.351,not reduced,-0.277,0.463,no power,-0.273,0.436,no power,-0.188,0.550,no power,-0.437,0.569,no power,1.061,Dispensable,,, , 
PBANKA_1101000,,fam-a protein,-0.100,0.053,not reduced,-0.504,0.067,not reduced,0.118,0.058,not reduced,-0.238,0.076,not reduced,0.651,0.054,not reduced,0.099,0.072,not reduced,-0.436,0.181,not reduced,1.103,Dispensable,,, , 
PBANKA_1329000,,"conserved Plasmodium protein, unknown function",-0.657,0.163,not reduced,-1.022,0.213,no power,-0.375,0.209,not reduced,-0.756,0.270,no power,0.272,0.221,not reduced,-0.150,0.291,not reduced,-0.435,0.407,no power,1.045,Dispensable,,, , 
PBANKA_1002300,,"conserved Plasmodium protein, unknown function",0.931,0.407,not reduced,0.700,0.461,not reduced,-0.764,0.373,no power,-0.791,0.468,no power,-4.265,1.099,reduced,-4.416,1.215,reduced,-0.419,1.568,no power,0.435,Slow,,, , 
PBANKA_0819100,,"cytochrome b5, putative",1.782,0.097,not reduced,0.638,0.121,not reduced,-0.199,0.053,not reduced,-0.549,0.074,not reduced,0.161,0.086,not reduced,-1.750,0.132,reduced,-0.416,0.253,not reduced,0.736,Slow,,, , 
PBANKA_0902500,NFYB,"CCAAT-box DNA binding protein subunit B, putative",-0.611,0.147,not reduced,-1.310,0.173,no power,0.174,0.145,not reduced,-0.232,0.169,not reduced,-0.283,0.240,not reduced,-0.933,0.277,no power,-0.416,0.311,no power,0.887,Slow,,, , 
PBANKA_1027200,,"conserved Plasmodium protein, unknown function",0.059,0.112,not reduced,-0.427,0.139,not reduced,-0.054,0.084,not reduced,-0.366,0.103,not reduced,0.339,0.144,not reduced,-0.149,0.175,not reduced,-0.409,0.270,not reduced,1.057,Dispensable,,, , 
PBANKA_0713300,,"protein kinase c inhibitor-like protein, putative",-0.345,0.044,not reduced,-0.740,0.058,not reduced,0.387,0.054,not reduced,0.011,0.072,not reduced,0.100,0.053,not reduced,-0.448,0.071,not reduced,-0.405,0.167,not reduced,1.008,Dispensable,,, , 
PBANKA_0705500,,"conserved Plasmodium protein, unknown function",-0.239,0.099,not reduced,-0.572,0.129,not reduced,0.002,0.090,not reduced,-0.319,0.121,not reduced,0.120,0.045,not reduced,-0.155,0.063,not reduced,-0.394,0.190,not reduced,1.043,Dispensable,,, , 
PBANKA_1019100,,"DEAD/DEAH box helicase, putative",0.449,0.099,not reduced,0.116,0.129,not reduced,0.039,0.092,not reduced,-0.281,0.123,not reduced,-0.182,0.049,not reduced,-0.463,0.067,not reduced,-0.393,0.157,not reduced,0.995,Dispensable,,, , 
PBANKA_1117600,,"conserved Plasmodium protein, unknown function",0.636,0.056,not reduced,0.116,0.075,not reduced,-0.233,0.054,not reduced,-0.555,0.073,not reduced,0.160,0.049,not reduced,-0.555,0.068,not reduced,-0.389,0.269,not reduced,0.958,Dispensable,,, , 
PBANKA_1359700,P47,6-cysteine protein,-0.714,0.079,not reduced,-1.314,0.094,reduced,0.362,0.108,not reduced,-0.069,0.129,not reduced,0.303,0.117,not reduced,-0.487,0.143,not reduced,-0.389,0.163,not reduced,0.981,Dispensable,,, , 
PBANKA_1342500,,"conserved Plasmodium protein, unknown function",0.464,0.214,not reduced,-0.226,0.244,not reduced,-0.527,0.213,not reduced,-0.887,0.240,no power,0.080,0.213,not reduced,-0.605,0.237,no power,-0.386,0.479,no power,0.931,Dispensable,,, , 
PBANKA_0817600,,"methyltransferase, putative",0.550,0.058,not reduced,-0.068,0.072,not reduced,0.250,0.067,not reduced,-0.103,0.086,not reduced,0.220,0.077,not reduced,-0.510,0.102,not reduced,-0.385,0.133,not reduced,0.982,Dispensable,,, , 
PBANKA_0708200,,"conserved Plasmodium protein, unknown function",-0.448,0.056,not reduced,-0.949,0.075,no power,0.156,0.053,not reduced,-0.164,0.071,not reduced,0.042,0.053,not reduced,-0.656,0.072,not reduced,-0.383,0.105,not reduced,0.938,Slow,,, , 
PBANKA_1243800,TIC22,"apicoplast TIC22 protein, putative",0.096,0.058,not reduced,-0.294,0.072,not reduced,0.045,0.057,not reduced,-0.319,0.075,not reduced,-0.366,0.063,not reduced,-0.938,0.081,no power,-0.368,0.205,not reduced,0.911,Dispensable,,, , 
PBANKA_0313300,,MtN3-like protein,-0.551,0.070,not reduced,-0.932,0.088,no power,-0.171,0.071,not reduced,-0.524,0.099,not reduced,-0.223,0.348,not reduced,-0.979,0.442,no power,-0.361,0.503,no power,0.867,Dispensable,,, , 
PBANKA_0519700,PhLP2,"phosducin-like protein, putative",-0.455,0.104,not reduced,-1.050,0.137,no power,-0.246,0.099,not reduced,-0.809,0.134,no power,0.277,0.034,not reduced,-0.442,0.050,not reduced,-0.357,0.140,not reduced,0.986,Dispensable,,, , 
PBANKA_1207100,,"Plasmodium exported protein, unknown function",-0.207,0.113,not reduced,-0.627,0.133,not reduced,0.206,0.065,not reduced,-0.256,0.080,not reduced,0.245,0.082,not reduced,-0.466,0.101,not reduced,-0.354,0.239,not reduced,0.980,Dispensable,,, , 
PBANKA_0930100,,"conserved Plasmodium protein, unknown function",0.126,0.057,not reduced,-0.253,0.075,not reduced,-0.008,0.062,not reduced,-0.408,0.089,not reduced,0.201,0.214,not reduced,-0.515,0.304,no power,-0.353,0.520,no power,0.916,Dispensable,,, , 
PBANKA_1361900,,"nucleoside diphosphate hydrolase, putative",1.573,0.648,not reduced,1.490,0.835,not reduced,0.036,0.587,no power,-0.045,0.766,no power,-0.525,0.547,no power,-0.698,0.719,no power,-0.350,0.743,no power,0.924,Dispensable,,, , 
PBANKA_0413400,,"zinc finger protein, putative",-0.325,0.227,not reduced,-0.926,0.259,no power,-0.030,0.217,not reduced,-0.595,0.252,no power,0.470,0.112,not reduced,-0.254,0.129,not reduced,-0.348,0.281,not reduced,1.040,Dispensable,,, , 
PBANKA_0911000,,"calcium-binding protein, putative",0.197,0.070,not reduced,-0.190,0.089,not reduced,-0.271,0.075,not reduced,-0.732,0.098,not reduced,0.732,0.102,not reduced,-0.064,0.131,not reduced,-0.348,0.269,not reduced,1.022,Dispensable,,, , 
PBANKA_0836600,,fam-b protein,0.238,0.072,not reduced,-0.244,0.092,not reduced,0.067,0.069,not reduced,-0.239,0.088,not reduced,0.228,0.069,not reduced,-0.520,0.089,not reduced,-0.342,0.189,not reduced,0.958,Dispensable,,, , 
PBANKA_0806400,,"conserved protein, unknown function",0.483,0.115,not reduced,-0.115,0.148,not reduced,0.097,0.103,not reduced,-0.461,0.138,not reduced,0.536,0.041,not reduced,-0.224,0.056,not reduced,-0.342,0.171,not reduced,1.010,Dispensable,,, , 
PBANKA_0712500,,"dynactin subunit 6, putative",0.462,0.113,not reduced,-0.192,0.158,not reduced,-0.111,0.137,not reduced,-0.456,0.186,not reduced,0.273,0.183,not reduced,-0.266,0.247,not reduced,-0.340,0.316,not reduced,1.003,Dispensable,,, , 
PBANKA_0517000,ETRAMP10.2,early transcribed membrane protein,-0.292,0.170,not reduced,-0.726,0.191,no power,0.362,0.083,not reduced,-0.104,0.099,not reduced,0.246,0.102,not reduced,-0.463,0.121,not reduced,-0.329,0.255,not reduced,0.976,Dispensable,,, , 
PBANKA_1138600,,"conserved Plasmodium protein, unknown function",-0.701,0.091,not reduced,-1.130,0.113,no power,-0.109,0.066,not reduced,-0.568,0.082,not reduced,0.582,0.068,not reduced,-0.174,0.088,not reduced,-0.320,0.203,not reduced,0.995,Dispensable,,, , 
PBANKA_0901500,,"conserved Plasmodium protein, unknown function",0.215,0.049,not reduced,-0.142,0.066,not reduced,-0.144,0.049,not reduced,-0.606,0.072,not reduced,0.420,0.062,not reduced,-0.298,0.089,not reduced,-0.316,0.146,not reduced,1.005,Dispensable,,, , 
PBANKA_1207700,,"zinc finger protein, putative",-0.756,0.067,not reduced,-1.190,0.089,reduced,0.106,0.052,not reduced,-0.320,0.067,not reduced,0.264,0.078,not reduced,-0.416,0.097,not reduced,-0.313,0.175,not reduced,0.972,Dispensable,,, , 
PBANKA_0104500,,"conserved Plasmodium protein, unknown function",0.189,0.125,not reduced,-0.276,0.149,not reduced,0.236,0.111,not reduced,-0.082,0.133,not reduced,-0.131,0.115,not reduced,-0.912,0.143,no power,-0.310,0.335,not reduced,0.947,Dispensable,,, , 
PBANKA_1240200,,"G-protein coupled receptor, putative",0.506,0.426,not reduced,0.076,0.527,not reduced,-0.176,0.089,not reduced,-1.833,0.131,reduced,0.409,0.077,not reduced,-0.520,0.104,not reduced,-0.306,0.168,not reduced,0.954,Dispensable,,, , 
PBANKA_1001200,,"conserved Plasmodium protein, unknown function",0.173,0.066,not reduced,-0.238,0.086,not reduced,0.154,0.042,not reduced,-0.294,0.057,not reduced,0.417,0.047,not reduced,-0.248,0.065,not reduced,-0.305,0.154,not reduced,0.992,Dispensable,,, , 
PBANKA_0502000,,"conserved Plasmodium protein, unknown function",0.334,0.053,not reduced,-0.082,0.073,not reduced,0.078,0.037,not reduced,-0.381,0.052,not reduced,0.333,0.048,not reduced,-0.375,0.067,not reduced,-0.305,0.191,not reduced,0.988,Dispensable,,, , 
PBANKA_0916500,,"conserved Plasmodium protein, unknown function",0.793,0.290,not reduced,0.353,0.337,not reduced,-0.321,0.303,not reduced,-0.665,0.361,no power,0.416,0.361,not reduced,-0.229,0.427,no power,-0.300,0.513,no power,0.977,Dispensable,,, , 
PBANKA_1402400,,"conserved Plasmodium protein, unknown function",-0.518,0.072,not reduced,-1.029,0.092,no power,0.209,0.077,not reduced,-0.219,0.099,not reduced,0.473,0.073,not reduced,-0.276,0.095,not reduced,-0.299,0.182,not reduced,0.982,Dispensable,,, , 
PBANKA_0916000,,"conserved Plasmodium protein, unknown function",-0.265,0.088,not reduced,-0.949,0.113,no power,-0.289,0.096,not reduced,-0.697,0.121,not reduced,-0.069,0.178,not reduced,-0.715,0.215,no power,-0.290,0.334,not reduced,0.925,Dispensable,,, , 
PBANKA_0716300,,"Rab5-interacting protein, putative",-0.231,0.091,not reduced,-0.650,0.112,not reduced,0.204,0.059,not reduced,-0.248,0.074,not reduced,0.378,0.078,not reduced,-0.320,0.096,not reduced,-0.283,0.198,not reduced,0.987,Dispensable,,, , 
PBANKA_1458700,,"conserved Plasmodium protein, unknown function",0.249,0.110,not reduced,-0.014,0.137,not reduced,0.490,0.118,not reduced,-1.167,0.188,no power,-1.124,0.099,no power,-1.484,0.118,reduced,-0.281,0.358,not reduced,0.773,Slow,,, , 
PBANKA_0832000,Sel2,"selenoprotein, putative",-0.324,0.096,not reduced,-0.596,0.123,not reduced,0.506,0.098,not reduced,-1.253,0.178,no power,-0.048,0.064,not reduced,-0.409,0.082,not reduced,-0.280,0.163,not reduced,0.970,Dispensable,,, , 
PBANKA_1310700,,"glutaminyl-peptide cyclotransferase, putative",0.083,0.035,not reduced,-0.528,0.049,not reduced,-0.078,0.044,not reduced,-0.487,0.064,not reduced,0.489,0.058,not reduced,-0.275,0.081,not reduced,-0.276,0.110,not reduced,0.990,Dispensable,,, , 
PBANKA_0512700,,"conserved Plasmodium protein, unknown function",-0.178,0.052,not reduced,-0.555,0.070,not reduced,-0.056,0.056,not reduced,-0.444,0.083,not reduced,0.029,0.195,not reduced,-0.652,0.283,no power,-0.269,0.314,not reduced,0.909,Slow,,, , 
PBANKA_1364400,IMC1f,"inner membrane complex protein 1f, putative",0.159,0.063,not reduced,-0.217,0.081,not reduced,0.129,0.064,not reduced,-0.262,0.091,not reduced,-0.038,0.220,not reduced,-0.749,0.312,no power,-0.268,0.330,not reduced,0.891,Slow,,, , 
PBANKA_0007401,,NA,-0.132,0.236,not reduced,-0.640,0.281,no power,-0.260,0.274,not reduced,-0.647,0.331,no power,0.573,0.338,not reduced,-0.211,0.407,no power,-0.258,0.442,no power,0.989,Dispensable,,, , 
PBANKA_1236400,,"nucleotide binding protein, putative",-0.812,0.083,not reduced,-1.276,0.104,reduced,-0.028,0.086,not reduced,-0.198,0.109,not reduced,-0.506,0.100,not reduced,-1.089,0.132,no power,-0.256,0.369,not reduced,0.838,Dispensable,,, , 
PBANKA_1462200,PPM4,protein phosphatase PPM4,0.349,0.085,not reduced,-0.137,0.105,not reduced,0.214,0.076,not reduced,-0.080,0.095,not reduced,0.212,0.079,not reduced,-0.478,0.099,not reduced,-0.256,0.248,not reduced,0.952,Dispensable,,, , 
PBANKA_0820200,TrxL1,"thioredoxin-like protein 1, putative",0.058,0.078,not reduced,-0.384,0.103,not reduced,0.286,0.055,not reduced,-0.029,0.075,not reduced,0.619,0.095,not reduced,0.083,0.127,not reduced,-0.255,0.253,not reduced,1.047,Dispensable,,, , 
PBANKA_1202300,,"conserved Plasmodium protein, unknown function",-0.643,0.069,not reduced,-1.003,0.087,no power,-0.132,0.088,not reduced,-0.590,0.111,not reduced,0.615,0.112,not reduced,-0.159,0.140,not reduced,-0.248,0.183,not reduced,1.017,Dispensable,,, , 
PBANKA_1144300,,"conserved Plasmodium protein, unknown function",-0.025,0.436,not reduced,-0.275,0.462,no power,-0.446,0.418,no power,-0.664,0.444,no power,-2.575,0.766,reduced,-2.817,0.797,reduced,-0.248,0.856,no power,0.554,Slow,,, , 
PBANKA_1431400,,"conserved Plasmodium protein, unknown function",0.247,0.160,not reduced,-0.044,0.222,not reduced,0.045,0.133,not reduced,-0.047,0.180,not reduced,0.123,0.165,not reduced,-0.067,0.228,not reduced,-0.246,0.341,not reduced,1.034,Dispensable,,, , 
PBANKA_0708100,DLC1,dynein light chain 1,-0.326,0.109,not reduced,-0.779,0.142,no power,0.224,0.077,not reduced,-0.260,0.099,not reduced,0.384,0.185,not reduced,-0.271,0.239,not reduced,-0.243,0.339,not reduced,0.996,Dispensable,,, , 
PBANKA_0622000,,"conserved Plasmodium protein, unknown function",-0.771,0.093,not reduced,-1.130,0.111,no power,0.091,0.096,not reduced,-0.379,0.120,not reduced,0.770,0.121,not reduced,-0.072,0.152,not reduced,-0.234,0.252,not reduced,1.003,Dispensable,,, , 
PBANKA_0211400,DNMT,"DNA (cytosine-5)-methyltransferase, putative",0.216,0.072,not reduced,-0.310,0.089,not reduced,0.290,0.069,not reduced,-0.044,0.086,not reduced,0.241,0.067,not reduced,-0.451,0.086,not reduced,-0.233,0.163,not reduced,0.978,Dispensable,,, , 
PBANKA_0508300,,"conserved Plasmodium protein, unknown function",0.091,0.140,not reduced,-0.333,0.160,not reduced,-0.142,0.073,not reduced,-0.620,0.089,not reduced,0.539,0.093,not reduced,-0.198,0.113,not reduced,-0.230,0.279,not reduced,0.982,Dispensable,,, , 
PBANKA_0811200,,"SET domain protein, putative",0.561,0.063,not reduced,-0.052,0.077,not reduced,0.304,0.071,not reduced,-0.102,0.091,not reduced,0.426,0.092,not reduced,-0.346,0.116,not reduced,-0.227,0.186,not reduced,0.968,Dispensable,,, , 
PBANKA_1002500,,"conserved Plasmodium protein, unknown function",0.029,0.106,not reduced,-0.396,0.126,not reduced,-2.090,0.089,reduced,-2.587,0.106,reduced,0.551,0.126,not reduced,-0.214,0.155,not reduced,-0.206,0.200,not reduced,0.991,Dispensable,,, , 
PBANKA_0213300,AOP,"1-cys peroxiredoxin, putative",0.411,0.044,not reduced,0.024,0.059,not reduced,0.181,0.049,not reduced,-0.162,0.067,not reduced,0.105,0.052,not reduced,-0.470,0.070,not reduced,-0.201,0.147,not reduced,0.955,Dispensable,,, , 
PBANKA_1301900,,"DNA repair metallo-beta-lactamase protein, putative",0.472,0.059,not reduced,-0.270,0.080,not reduced,0.193,0.052,not reduced,-0.212,0.074,not reduced,-0.112,0.053,not reduced,-0.533,0.074,not reduced,-0.200,0.312,not reduced,0.884,Dispensable,,, , 
PBANKA_1442800,LRR13,leucine-rich repeat protein,0.381,0.295,not reduced,-0.214,0.328,not reduced,-2.050,0.249,reduced,-2.632,0.286,reduced,1.223,0.249,not reduced,0.463,0.269,not reduced,-0.199,0.374,not reduced,1.032,Dispensable,,, , 
PBANKA_0402200,Plrx,plasmoredoxin,0.501,0.052,not reduced,-0.016,0.069,not reduced,0.195,0.050,not reduced,-0.151,0.067,not reduced,0.349,0.044,not reduced,-0.337,0.062,not reduced,-0.197,0.110,not reduced,0.967,Dispensable,,, , 
PBANKA_1030100,,actin II,-0.238,0.249,not reduced,-0.764,0.267,no power,-0.163,0.336,not reduced,-0.510,0.353,no power,0.351,0.523,not reduced,-0.321,0.543,no power,-0.197,0.564,no power,0.971,Dispensable,,, , 
PBANKA_0721000,,"conserved Plasmodium protein, unknown function",0.254,0.117,not reduced,-0.103,0.134,not reduced,0.050,0.104,not reduced,-0.393,0.127,not reduced,0.596,0.156,not reduced,-0.134,0.186,not reduced,-0.195,0.260,not reduced,1.004,Dispensable,,, , 
PBANKA_1007900,,"conserved Plasmodium protein, unknown function",-0.379,0.138,not reduced,-0.884,0.157,no power,-0.074,0.142,not reduced,-0.540,0.163,not reduced,0.882,0.122,not reduced,0.025,0.146,not reduced,-0.195,0.214,not reduced,1.020,Dispensable,,, , 
PBANKA_0711200,,"conserved Plasmodium protein, unknown function",-0.485,0.120,not reduced,-0.839,0.137,no power,-0.303,0.144,not reduced,-0.795,0.169,no power,0.557,0.233,not reduced,-0.180,0.261,not reduced,-0.192,0.292,not reduced,1.011,Dispensable,,, , 
PBANKA_0718700,,"CDGSH iron-sulfur domain-containing protein, putative",0.089,0.081,not reduced,-0.401,0.101,not reduced,0.013,0.080,not reduced,-0.297,0.098,not reduced,0.386,0.084,not reduced,-0.313,0.104,not reduced,-0.189,0.164,not reduced,0.964,Dispensable,,, , 
PBANKA_0614900,,"conserved Plasmodium protein, unknown function",0.784,0.059,not reduced,0.136,0.082,not reduced,-0.401,0.064,not reduced,-0.984,0.093,no power,-0.779,0.090,not reduced,-1.163,0.122,no power,-0.185,0.300,not reduced,0.798,Slow,,, , 
PBANKA_0911500,AEP,"apical exonemal protein, putative",0.074,0.060,not reduced,-0.303,0.078,not reduced,-0.292,0.064,not reduced,-0.660,0.091,not reduced,-0.139,0.236,not reduced,-0.883,0.333,no power,-0.184,0.375,not reduced,0.842,Slow,,, , 
PBANKA_0608800,,"conserved Plasmodium protein, unknown function",0.474,0.138,not reduced,0.079,0.160,not reduced,0.099,0.109,not reduced,-0.345,0.138,not reduced,0.470,0.133,not reduced,-0.138,0.167,not reduced,-0.184,0.232,not reduced,1.014,Dispensable,,, , 
PBANKA_1227500,,"conserved Plasmodium protein, unknown function",-0.071,0.130,not reduced,-0.667,0.163,not reduced,0.633,0.113,not reduced,0.065,0.149,not reduced,0.517,0.048,not reduced,-0.184,0.064,not reduced,-0.184,0.185,not reduced,1.026,Dispensable,,, , 
PBANKA_1430300,,"conserved Plasmodium protein, unknown function",0.414,0.557,not reduced,0.119,0.668,no power,-0.491,0.089,not reduced,-2.136,0.130,reduced,0.336,0.072,not reduced,-0.566,0.101,not reduced,-0.174,0.236,not reduced,0.929,Dispensable,,, , 
PBANKA_0209200,PIESP15,parasite-infected erythrocyte surface protein,0.077,0.301,not reduced,-0.323,0.400,no power,-0.228,0.073,not reduced,-1.854,0.114,reduced,0.605,0.068,not reduced,-0.312,0.095,not reduced,-0.165,0.191,not reduced,0.974,Dispensable,,, , 
PBANKA_0518100,TLAP2,"thioredoxin-like associated protein 2, putative",0.335,0.093,not reduced,-0.143,0.118,not reduced,-0.445,0.072,not reduced,-0.785,0.091,not reduced,0.572,0.120,not reduced,0.101,0.150,not reduced,-0.159,0.279,not reduced,1.077,Dispensable,,, , 
PBANKA_1026300,,"conserved Plasmodium protein, unknown function",0.524,0.172,not reduced,-0.074,0.209,not reduced,-0.536,0.159,not reduced,-1.154,0.196,no power,0.482,0.091,not reduced,-0.250,0.106,not reduced,-0.157,0.219,not reduced,0.967,Dispensable,,, , 
PBANKA_1005500,,"AAA family ATPase, putative",0.162,0.578,not reduced,-0.167,0.688,no power,-0.651,0.175,no power,-2.263,0.216,reduced,0.610,0.194,not reduced,-0.374,0.221,not reduced,-0.156,0.257,not reduced,0.953,Dispensable,,, , 
PBANKA_0836800,EMAP1,fam-a protein,0.188,0.112,not reduced,-0.266,0.145,not reduced,-0.125,0.058,not reduced,-0.608,0.079,not reduced,0.533,0.156,not reduced,-0.130,0.210,not reduced,-0.156,0.367,not reduced,1.001,Dispensable,,, , 
PBANKA_0402400,,"IBR domain protein, putative",0.956,0.188,not reduced,0.540,0.225,not reduced,0.497,0.063,not reduced,0.014,0.085,not reduced,0.363,0.157,not reduced,-0.299,0.210,not reduced,-0.153,0.415,not reduced,0.962,Dispensable,,, , 
