"Gene ID","source_id","Product Description","Gene Type","Is Pseudo","Gene Name or Symbol","Transcript Product Description"
"PBANKA_0940700","PBANKA_0940700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0940800","PBANKA_0940800.1","ribosomal protein S15, apicoplast, putative","protein coding","No","N/A","ribosomal protein S15, apicoplast, putative"
"PBANKA_0940900","PBANKA_0940900.1","RuvB-like helicase 2, putative","protein coding","No","RUVB2","RuvB-like helicase 2, putative"
"PBANKA_0941000","PBANKA_0941000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0941100","PBANKA_0941100.1","conserved Apicomplexan protein, unknown function","protein coding","No","N/A","conserved Apicomplexan protein, unknown function"
"PBANKA_0941200","PBANKA_0941200.1","tRNA-splicing ligase RtcB, putative","protein coding","No","RTCB","tRNA-splicing ligase RtcB, putative"
"PBANKA_0941300","PBANKA_0941300.1","translocon component PTEX88","protein coding","No","PTEX88","translocon component PTEX88"
"PBANKA_0941400","PBANKA_0941400.1","centrin-4","protein coding","No","CEN4","centrin-4"
"PBANKA_0941500","PBANKA_0941500.1","40S ribosomal protein S4, putative","protein coding","No","RPS4","40S ribosomal protein S4, putative"
"PBANKA_0941600","PBANKA_0941600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0941700","PBANKA_0941700.1","WD repeat-containing protein WRAP73, putative","protein coding","No","WDR8","WD repeat-containing protein WRAP73, putative"
"PBANKA_0941800","PBANKA_0941800.1","histone H2B, putative","protein coding","No","H2B","histone H2B, putative"
"PBANKA_0941900","PBANKA_0941900.1","histone H4, putative","protein coding","No","H4","histone H4, putative"
"PBANKA_0942000","PBANKA_0942000.1","calcium/calmodulin-dependent protein kinase, putative","protein coding","No","N/A","calcium/calmodulin-dependent protein kinase, putative"
"PBANKA_0942100","PBANKA_0942100.1","metabolite/drug transporter, putative","protein coding","No","N/A","metabolite/drug transporter, putative"
"PBANKA_0942200","PBANKA_0942200.1","DNA-directed RNA polymerase III subunit RPC8, putative","protein coding","No","RPC25","DNA-directed RNA polymerase III subunit RPC8, putative"
"PBANKA_0942300","PBANKA_0942300.1","radial spoke head protein, putative","protein coding","No","N/A","radial spoke head protein, putative"
"PBANKA_0942400","PBANKA_0942400.1","WD repeat-containing protein, putative","protein coding","No","N/A","WD repeat-containing protein, putative"
"PBANKA_0942500","PBANKA_0942500.1","thioredoxin-like mero protein, putative","protein coding","No","Trx-mero","thioredoxin-like mero protein, putative"
"PBANKA_0942600","PBANKA_0942600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_0942700","PBANKA_0942700.1","chromatin remodeling protein, putative","protein coding","No","SNF2L","chromatin remodeling protein, putative"
"PBANKA_0942800","PBANKA_0942800.1","syntaxin, putative","protein coding","No","N/A","syntaxin, putative"
"PBANKA_0942900","PBANKA_0942900.1","phenylalanine--tRNA ligase beta subunit, putative","protein coding","No","N/A","phenylalanine--tRNA ligase beta subunit, putative"
"PBANKA_0943000","PBANKA_0943000.1","RIIa domain-containing protein, putative","protein coding","No","N/A","RIIa domain-containing protein, putative"
"PBANKA_0943100","PBANKA_0943100.1","CCR4-NOT transcription complex subunit 1, putative","protein coding","No","NOT1","CCR4-NOT transcription complex subunit 1, putative"
"PBANKA_0943200","PBANKA_0943200.1","casein kinase II beta chain, putative","protein coding","No","N/A","casein kinase II beta chain, putative"
"PBANKA_0943300","PBANKA_0943300.1","actin-like protein, putative","protein coding","No","ALP2a","actin-like protein, putative"
"PBANKA_0943400","PBANKA_0943400.1","CPW-WPC family protein","protein coding","No","N/A","CPW-WPC family protein"
"PBANKA_0943500","PBANKA_0943500.1","iron-sulfur cluster assembly protein SufD","protein coding","No","SufD","iron-sulfur cluster assembly protein SufD"
"PBANKA_0943541","PBANKA_0943541:tRNA","tRNA Leucine","tRNA encoding","No","N/A","tRNA Leucine"
"PBANKA_0943561","PBANKA_0943561:tRNA","tRNA Glycine","tRNA encoding","No","N/A","tRNA Glycine"
"PBANKA_0943600","PBANKA_0943600.1","60S acidic ribosomal protein P1, putative","protein coding","No","N/A","60S acidic ribosomal protein P1, putative"
"PBANKA_0943700","PBANKA_0943700.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_0943800","PBANKA_0943800.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_0943900","PBANKA_0943900.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0944000","PBANKA_0944000.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0944021","PBANKA_0944021.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_0944041","PBANKA_0944041.1","reticulocyte binding protein, putative","protein coding","No","Pb235","reticulocyte binding protein, putative"
"PBANKA_0944061","PBANKA_0944061.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0944081","PBANKA_0944081.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0944101","PBANKA_0944101.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_0944121","PBANKA_0944121.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_1000011","PBANKA_1000011.1","reticulocyte binding protein, putative","protein coding","No","N/A","reticulocyte binding protein, putative"
"PBANKA_1000021","PBANKA_1000021.1","fam-a protein, pseudogene","protein coding","Yes","N/A","fam-a protein, pseudogene"
"PBANKA_1000031","PBANKA_1000031.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_1000041","PBANKA_1000041.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_1000051","PBANKA_1000051.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_1000061","PBANKA_1000061.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_1000071","PBANKA_1000071.1","fam-b protein","protein coding","No","N/A","fam-b protein"
"PBANKA_1000081","PBANKA_1000081.1","PIR protein","protein coding","No","N/A","PIR protein"
"PBANKA_1000091","PBANKA_1000091.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_1000100","PBANKA_1000100.1","reticulocyte binding protein, putative, pseudogene","protein coding","Yes","Pb235","reticulocyte binding protein, putative, pseudogene"
"PBANKA_1000200","PBANKA_1000200.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_1000300","PBANKA_1000300.1","Plasmodium exported protein, unknown function","protein coding","No","N/A","Plasmodium exported protein, unknown function"
"PBANKA_1000400","PBANKA_1000400.1","fam-a protein","protein coding","No","N/A","fam-a protein"
"PBANKA_1000451","PBANKA_1000451.1","PIR protein, pseudogene","protein coding","Yes","N/A","PIR protein, pseudogene"
"PBANKA_1000500","PBANKA_1000500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1000600","PBANKA_1000600.1","erythrocyte membrane antigen 1","protein coding","No","N/A","erythrocyte membrane antigen 1"
"PBANKA_1000651","PBANKA_1000651:tRNA","tRNA Asparagine","tRNA encoding","No","N/A","tRNA Asparagine"
"PBANKA_1000700","PBANKA_1000700.1","regulator of chromosome condensation, putative","protein coding","No","N/A","regulator of chromosome condensation, putative"
"PBANKA_1000800","PBANKA_1000800.1","pre-mRNA splicing factor, putative","protein coding","No","N/A","pre-mRNA splicing factor, putative"
"PBANKA_1000900","PBANKA_1000900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1001000","PBANKA_1001000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1001100","PBANKA_1001100.1","ubiquitin specific protease, putative","protein coding","No","N/A","ubiquitin specific protease, putative"
"PBANKA_1001200","PBANKA_1001200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1001300","PBANKA_1001300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1001400","PBANKA_1001400.1","pre-mRNA-splicing factor CLF1, putative","protein coding","No","CLF1","pre-mRNA-splicing factor CLF1, putative"
"PBANKA_1001500","PBANKA_1001500.1","alpha/beta hydrolase, putative","protein coding","No","N/A","alpha/beta hydrolase, putative"
"PBANKA_1001600","PBANKA_1001600.1","SET domain protein, putative","protein coding","No","SET8","SET domain protein, putative"
"PBANKA_1001700","PBANKA_1001700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1001800","PBANKA_1001800.1","AP2 domain transcription factor AP2-SP2","protein coding","No","AP2-SP2","AP2 domain transcription factor AP2-SP2"
"PBANKA_1001900","PBANKA_1001900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1002000","PBANKA_1002000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1002100","PBANKA_1002100.1","6-cysteine protein P36","protein coding","No","P36","6-cysteine protein P36"
"PBANKA_1002200","PBANKA_1002200.1","6-cysteine protein P52","protein coding","No","P36p","6-cysteine protein P52"
"PBANKA_1002300","PBANKA_1002300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1002400","PBANKA_1002400.1","dipeptidyl aminopeptidase 3, putative","protein coding","No","DPAP3","dipeptidyl aminopeptidase 3, putative"
"PBANKA_1002500","PBANKA_1002500.1","sporozoite-specific protein S10","protein coding","No","S10","sporozoite-specific protein S10"
"PBANKA_1002600","PBANKA_1002600.1","6-cysteine protein P41, putative","protein coding","No","P41","6-cysteine protein P41, putative"
"PBANKA_1002700","PBANKA_1002700.1","ATP-dependent RNA helicase DDX51, putative","protein coding","No","DDX51","ATP-dependent RNA helicase DDX51, putative"
"PBANKA_1002800","PBANKA_1002800.1","protein transport protein Sec24B, putative","protein coding","No","SEC24B","protein transport protein Sec24B, putative"
"PBANKA_1002900","PBANKA_1002900.1","ag-1 blood stage membrane protein homologue","protein coding","No","N/A","ag-1 blood stage membrane protein homologue"
"PBANKA_1003000","PBANKA_1003000.1","liver specific protein 2","protein coding","No","LISP2","liver specific protein 2"
"PBANKA_1003100","PBANKA_1003100.1","pre-mRNA-processing-splicing factor 8, putative","protein coding","No","PRPF8","pre-mRNA-processing-splicing factor 8, putative"
"PBANKA_1003200","PBANKA_1003200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1003300","PBANKA_1003300.1","TMEM33 domain-containing protein, putative","protein coding","No","N/A","TMEM33 domain-containing protein, putative"
"PBANKA_1003400","PBANKA_1003400.1","lysine decarboxylase, putative","protein coding","No","UIS14","lysine decarboxylase, putative"
"PBANKA_1003500","PBANKA_1003500.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1003600","PBANKA_1003600.1","apical sushi protein, putative","protein coding","No","ASP","apical sushi protein, putative"
"PBANKA_1003700","PBANKA_1003700.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1003800","PBANKA_1003800.1","V-type proton ATPase subunit B, putative","protein coding","No","N/A","V-type proton ATPase subunit B, putative"
"PBANKA_1003900","PBANKA_1003900.1","gametocyte-specific protein","protein coding","No","N/A","gametocyte-specific protein"
"PBANKA_1004000","PBANKA_1004000.1","cytosolic glyoxalase II, putative","protein coding","No","cGLO2","cytosolic glyoxalase II, putative"
"PBANKA_1004100","PBANKA_1004100.1","NYN domain-containing protein, putative","protein coding","No","N/A","NYN domain-containing protein, putative"
"PBANKA_1004200","PBANKA_1004200.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1004300","PBANKA_1004300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1004400","PBANKA_1004400.1","ribosomal protein L25, putative","protein coding","No","N/A","ribosomal protein L25, putative"
"PBANKA_1004500","PBANKA_1004500.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1004600","PBANKA_1004600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1004700","PBANKA_1004700.1","methyltransferase, putative","protein coding","No","N/A","methyltransferase, putative"
"PBANKA_1004800","PBANKA_1004800.1","peptidyl-tRNA hydrolase 2, putative","protein coding","No","PTH2","peptidyl-tRNA hydrolase 2, putative"
"PBANKA_1004900","PBANKA_1004900.1","transcription factor, putative","protein coding","No","N/A","transcription factor, putative"
"PBANKA_1005000","PBANKA_1005000.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005100","PBANKA_1005100.1","mitochondrial carrier protein, putative","protein coding","No","N/A","mitochondrial carrier protein, putative"
"PBANKA_1005200","PBANKA_1005200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005300","PBANKA_1005300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005400","PBANKA_1005400.1","protein CINCH, putative","protein coding","No","CINCH","protein CINCH, putative"
"PBANKA_1005500","PBANKA_1005500.1","AAA family ATPase, putative","protein coding","No","N/A","AAA family ATPase, putative"
"PBANKA_1005600","PBANKA_1005600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005700","PBANKA_1005700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005800","PBANKA_1005800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1005900","PBANKA_1005900.1","zinc finger Ran-binding domain-containing protein 2, putative","protein coding","No","ZRANB2","zinc finger Ran-binding domain-containing protein 2, putative"
"PBANKA_1006000","PBANKA_1006000.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1006100","PBANKA_1006100.1","flap endonuclease 1, putative","protein coding","No","FEN1","flap endonuclease 1, putative"
"PBANKA_1006200","PBANKA_1006200.1","sporozoite invasion-associated protein 1","protein coding","No","SIAP1","sporozoite invasion-associated protein 1"
"PBANKA_1006300","PBANKA_1006300.1","perforin-like protein 1","protein coding","No","PLP1","perforin-like protein 1"
"PBANKA_1006400","PBANKA_1006400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1006500","PBANKA_1006500.1","tRNA N6-adenosine threonylcarbamoyltransferase, putative","protein coding","No","KAE1","tRNA N6-adenosine threonylcarbamoyltransferase, putative"
"PBANKA_1006600","PBANKA_1006600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1006700","PBANKA_1006700.1","U4/U6 small nuclear ribonucleoprotein PRP31, putative","protein coding","No","PRPF31","U4/U6 small nuclear ribonucleoprotein PRP31, putative"
"PBANKA_1006800","PBANKA_1006800.1","protein SOF1, putative","protein coding","No","SOF1","protein SOF1, putative"
"PBANKA_1006900","PBANKA_1006900.1","methyltransferase, putative","protein coding","No","N/A","methyltransferase, putative"
"PBANKA_1007000","PBANKA_1007000.1","chaperone protein DnaJ, putative","protein coding","No","N/A","chaperone protein DnaJ, putative"
"PBANKA_1007100","PBANKA_1007100.1","NAD(P)-binding protein, putative","protein coding","No","N/A","NAD(P)-binding protein, putative"
"PBANKA_1007200","PBANKA_1007200.1","replication protein A1, large subunit, putative","protein coding","No","RPA1","replication protein A1, large subunit, putative"
"PBANKA_1007300","PBANKA_1007300.1","peptide chain release factor 2, putative","protein coding","No","RF2","peptide chain release factor 2, putative"
"PBANKA_1007400","PBANKA_1007400.1","zinc finger protein, putative","protein coding","No","N/A","zinc finger protein, putative"
"PBANKA_1007500","PBANKA_1007500.1","actin-like protein, putative","protein coding","No","ALP5b","actin-like protein, putative"
"PBANKA_1007600","PBANKA_1007600.1","erythrocyte vesicle protein 1, putative","protein coding","No","EVP1","erythrocyte vesicle protein 1, putative"
"PBANKA_1007641","PBANKA_1007641:tRNA","tRNA Serine","tRNA encoding","No","N/A","tRNA Serine"
"PBANKA_1007661","PBANKA_1007661:tRNA","tRNA Isoleucine","tRNA encoding","No","N/A","tRNA Isoleucine"
"PBANKA_1007700","PBANKA_1007700.1","protein phosphatase PPM1","protein coding","No","PPM1","protein phosphatase PPM1"
"PBANKA_1007800","PBANKA_1007800.1","exosome complex component RRP4, putative","protein coding","No","RRP4","exosome complex component RRP4, putative"
"PBANKA_1007900","PBANKA_1007900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1008000","PBANKA_1008000.1","armadillo-type repeat protein ATRP, putative","protein coding","No","ATRP","armadillo-type repeat protein ATRP, putative"
"PBANKA_1008100","PBANKA_1008100.1","ribosome biogenesis GTPase A, putative","protein coding","No","RbgA","ribosome biogenesis GTPase A, putative"
"PBANKA_1008200","PBANKA_1008200.1","cGMP-dependent protein kinase","protein coding","No","PKG","cGMP-dependent protein kinase"
"PBANKA_1008300","PBANKA_1008300.1","GTP-binding protein, putative","protein coding","No","N/A","GTP-binding protein, putative"
"PBANKA_1008400","PBANKA_1008400.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1008500","PBANKA_1008500.1","translocon component PTEX150","protein coding","No","PTEX150","translocon component PTEX150"
"PBANKA_1008600","PBANKA_1008600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1008700","PBANKA_1008700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1008800","PBANKA_1008800.1","glucose-6-phosphate isomerase, putative","protein coding","No","N/A","glucose-6-phosphate isomerase, putative"
"PBANKA_1008900","PBANKA_1008900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1009000","PBANKA_1009000.1","GTPase Era, putative","protein coding","No","ERA","GTPase Era, putative"
"PBANKA_1009100","PBANKA_1009100.1","ataxin-2 like protein, putative","protein coding","No","N/A","ataxin-2 like protein, putative"
"PBANKA_1009200","PBANKA_1009200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1009300","PBANKA_1009300.1","clathrin light chain, putative","protein coding","No","CLC","clathrin light chain, putative"
"PBANKA_1009400","PBANKA_1009400.1","ER membrane protein complex subunit 4, putative","protein coding","No","EMC4","ER membrane protein complex subunit 4, putative"
"PBANKA_1009500","PBANKA_1009500.1","glutamate synthase [NADH], putative","protein coding","No","N/A","glutamate synthase [NADH], putative"
"PBANKA_1009600","PBANKA_1009600.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1009700","PBANKA_1009700.1","ribonuclease H2 subunit B, putative","protein coding","No","N/A","ribonuclease H2 subunit B, putative"
"PBANKA_1009800","PBANKA_1009800.1","cytochrome c oxidase assembly protein COX15, putative","protein coding","No","COX15","cytochrome c oxidase assembly protein COX15, putative"
"PBANKA_1009900","PBANKA_1009900.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1010000","PBANKA_1010000.1","mitochondrial acidic protein MAM33, putative","protein coding","No","N/A","mitochondrial acidic protein MAM33, putative"
"PBANKA_1010100","PBANKA_1010100.1","mitochondrial import inner membrane translocase subunit TIM17, putative","protein coding","No","TIM17","mitochondrial import inner membrane translocase subunit TIM17, putative"
"PBANKA_1010200","PBANKA_1010200.1","methionine aminopeptidase 2, putative","protein coding","No","METAP2","methionine aminopeptidase 2, putative"
"PBANKA_1010300","PBANKA_1010300.1","dynein-related AAA-type ATPase, putative","protein coding","No","N/A","dynein-related AAA-type ATPase, putative"
"PBANKA_1010400","PBANKA_1010400.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1010500","PBANKA_1010500.1","Hsp70/Hsp90 organizing protein, putative","protein coding","No","HOP","Hsp70/Hsp90 organizing protein, putative"
"PBANKA_1010600","PBANKA_1010600.1","calmodulin, putative","protein coding","No","CAM","calmodulin, putative"
"PBANKA_1010700","PBANKA_1010700.1","queuine tRNA-ribosyltransferase, putative","protein coding","No","N/A","queuine tRNA-ribosyltransferase, putative"
"PBANKA_1010800","PBANKA_1010800.1","CCR4-associated factor 16, putative","protein coding","No","CAF16","CCR4-associated factor 16, putative"
"PBANKA_1010900","PBANKA_1010900.1","protein kinase, putative","protein coding","No","N/A","protein kinase, putative"
"PBANKA_1011100","PBANKA_1011100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1011200","PBANKA_1011200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1011300","PBANKA_1011300.1","signal peptidase complex subunit SPC1, putative","protein coding","No","SPC1","signal peptidase complex subunit SPC1, putative"
"PBANKA_1011400","PBANKA_1011400.1","DNA topoisomerase 2, putative","protein coding","No","TOP2","DNA topoisomerase 2, putative"
"PBANKA_1011500","PBANKA_1011500.1","PHD finger protein PHD2, putative","protein coding","No","PHD2","PHD finger protein PHD2, putative"
"PBANKA_1011600","PBANKA_1011600.1","histone-binding protein RBBP7, putative","protein coding","No","RBAP46","histone-binding protein RBBP7, putative"
"PBANKA_1011700","PBANKA_1011700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1011800","PBANKA_1011800.1","HID1 domain-containing protein, putative","protein coding","No","N/A","HID1 domain-containing protein, putative"
"PBANKA_1011900","PBANKA_1011900.1","H/ACA ribonucleoprotein complex subunit 3, putative","protein coding","No","NOP10","H/ACA ribonucleoprotein complex subunit 3, putative"
"PBANKA_1012000","PBANKA_1012000.1","SF-assemblin, putative","protein coding","No","N/A","SF-assemblin, putative"
"PBANKA_1012100","PBANKA_1012100.1","HP12 protein homolog, putative","protein coding","No","N/A","HP12 protein homolog, putative"
"PBANKA_1012200","PBANKA_1012200.1","protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative","protein coding","No","N/A","protein-L-isoaspartate(D-aspartate) O-methyltransferase, putative"
"PBANKA_1012300","PBANKA_1012300.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1012400","PBANKA_1012400.1","RNA methyltransferase, putative","protein coding","No","N/A","RNA methyltransferase, putative"
"PBANKA_1012500","PBANKA_1012500.1","leucine-rich repeat protein","protein coding","No","LRR5","leucine-rich repeat protein"
"PBANKA_1012600","PBANKA_1012600.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1012700","PBANKA_1012700.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1012800","PBANKA_1012800.1","voltage-dependent anion-selective channel protein, putative","protein coding","No","N/A","voltage-dependent anion-selective channel protein, putative"
"PBANKA_1012900","PBANKA_1012900.1","SNARE protein, putative","protein coding","No","N/A","SNARE protein, putative"
"PBANKA_1013000","PBANKA_1013000.1","inner membrane complex suture component, putative","protein coding","No","ISC3","inner membrane complex suture component, putative"
"PBANKA_1013100","PBANKA_1013100.1","60S ribosomal protein L14, putative","protein coding","No","N/A","60S ribosomal protein L14, putative"
"PBANKA_1013200","PBANKA_1013200.1","succinyl-CoA ligase [ADP-forming] subunit beta, putative","protein coding","No","N/A","succinyl-CoA ligase [ADP-forming] subunit beta, putative"
"PBANKA_1013300","PBANKA_1013300.1","mitogen-activated protein kinase 1","protein coding","No","MAPK1","mitogen-activated protein kinase 1"
"PBANKA_1013400","PBANKA_1013400.1","surface-related antigen SRA, putative","protein coding","No","SRA","surface-related antigen SRA, putative"
"PBANKA_1013500","PBANKA_1013500.1","large subunit GTPase 1, putative","protein coding","No","LSG1","large subunit GTPase 1, putative"
"PBANKA_1013600","PBANKA_1013600.1","PhIL1 interacting protein PIP2, putative","protein coding","No","PIP2","PhIL1 interacting protein PIP2, putative"
"PBANKA_1013700","PBANKA_1013700.1","ribosomal protein L17, mitochondrial, putative","protein coding","No","N/A","ribosomal protein L17, mitochondrial, putative"
"PBANKA_1013800","PBANKA_1013800.1","cytochrome c oxidase subunit 2B, putative","protein coding","No","COX2B","cytochrome c oxidase subunit 2B, putative"
"PBANKA_1013900","PBANKA_1013900.1","PhIL1 interacting protein PIP3, putative","protein coding","No","PIP3","PhIL1 interacting protein PIP3, putative"
"PBANKA_1014000","PBANKA_1014000.1","NADP-specific glutamate dehydrogenase, putative","protein coding","No","GDH2","NADP-specific glutamate dehydrogenase, putative"
"PBANKA_1014100","PBANKA_1014100.1","endonuclease/exonuclease/phosphatase family protein, putative","protein coding","No","N/A","endonuclease/exonuclease/phosphatase family protein, putative"
"PBANKA_1014200","PBANKA_1014200.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1014300","PBANKA_1014300.1","autophagy protein 5, putative","protein coding","No","ATG5","autophagy protein 5, putative"
"PBANKA_1014400","PBANKA_1014400.1","acid phosphatase, putative","protein coding","No","N/A","acid phosphatase, putative"
"PBANKA_1014500","PBANKA_1014500.1","plasmepsin IX, putative","protein coding","No","PMIX","plasmepsin IX, putative"
"PBANKA_1014600","PBANKA_1014600.1","serine/threonine protein phosphatase 2A activator, putative","protein coding","No","PTPA","serine/threonine protein phosphatase 2A activator, putative"
"PBANKA_1014700","PBANKA_1014700.1","conserved protein, unknown function","protein coding","No","N/A","conserved protein, unknown function"
"PBANKA_1014800","PBANKA_1014800.1","ADP-dependent DNA helicase RecQ, putative","protein coding","No","WRN","ADP-dependent DNA helicase RecQ, putative"
"PBANKA_1014900","PBANKA_1014900.1","coatomer subunit beta, putative","protein coding","No","N/A","coatomer subunit beta, putative"
"PBANKA_1015000","PBANKA_1015000.1","ribosomal protein L15, mitochondrial, putative","protein coding","No","N/A","ribosomal protein L15, mitochondrial, putative"
"PBANKA_1015100","PBANKA_1015100.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
"PBANKA_1015200","PBANKA_1015200.1","diphthamide biosynthesis protein 2, putative","protein coding","No","DPH2","diphthamide biosynthesis protein 2, putative"
"PBANKA_1015300","PBANKA_1015300.1","rRNA (adenosine-2'-O-)-methyltransferase, putative","protein coding","No","N/A","rRNA (adenosine-2'-O-)-methyltransferase, putative"
"PBANKA_1015400","PBANKA_1015400.1","CPW-WPC family protein","protein coding","No","N/A","CPW-WPC family protein"
"PBANKA_1015500","PBANKA_1015500.1","AP2 domain transcription factor AP2-O3","protein coding","No","AP2-O3","AP2 domain transcription factor AP2-O3"
"PBANKA_1015600","PBANKA_1015600.1","ribosomal protein L15, apicoplast, putative","protein coding","No","N/A","ribosomal protein L15, apicoplast, putative"
"PBANKA_1015700","PBANKA_1015700.1","protein archease, putative","protein coding","No","N/A","protein archease, putative"
"PBANKA_1015800","PBANKA_1015800.1","conserved Plasmodium protein, unknown function","protein coding","No","N/A","conserved Plasmodium protein, unknown function"
