feature_symbol,product_description,gene_name,Unique_Core
PBANKA_1028900,"diphthamide biosynthesis protein 1, putative",DPH1,NA
PBANKA_1029000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1029100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1029200,FeS assembly ATPase SufC,SufC,NA
PBANKA_1029300,"30S ribosomal protein S9, putative",null,NA
PBANKA_1029600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1029700,"ubiquitin-conjugating enzyme E2, putative",null,NA
PBANKA_1029800,"glycylpeptide N-tetradecanoyltransferase, putative",NMT,NA
PBANKA_1029900,"AAA family ATPase, putative",null,NA
PBANKA_1030000,deoxyhypusine synthase,DHS,NA
PBANKA_1030200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1030300,"nuclear transport factor 2, putative",NTF2,NA
PBANKA_1030500,"mini-chromosome maintenance complex-binding protein, putative",MCMBP,NA
PBANKA_1030600,"p1/s1 nuclease, putative",null,NA
PBANKA_1030700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1030900,"GTP-binding protein Obg1, putative",Obg1,NA
PBANKA_1031000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1031100,"plastid replication-repair enzyme, putative",PREX,NA
PBANKA_1031200,"DnaJ protein, putative",null,NA
PBANKA_1031300,rhomboid protease ROM8,ROM8,NA
PBANKA_1031400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1031600,"ribosome maturation protein SBDS, putative",null,NA
PBANKA_1031700,"ankyrin-repeat protein, putative",null,NA
PBANKA_1031900,"eukaryotic translation initiation factor 2 subunit gamma, putative",eIF2gamma,NA
PBANKA_1032000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1032200,"WD repeat-containing protein, putative",null,NA
PBANKA_1032500,"ER membrane protein complex subunit 2, putative",EMC2,NA
PBANKA_1032600,"cytidine diphosphate-diacylglycerol synthase, putative",CDS,NA
PBANKA_1032900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1033000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1033100,"conserved protein, unknown function",null,NA
PBANKA_1033200,"DNA damage-inducible protein 1, putative",DDI1,NA
PBANKA_1033300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1033400,"aldo-keto reductase, putative",null,NA
PBANKA_1033600,"tRNA-dihydrouridine synthase, putative",null,NA
PBANKA_1033800,"conserved protein, unknown function",null,NA
PBANKA_1033900,"40S ribosomal protein S8e, putative",null,NA
PBANKA_1034000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1034200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1034300,AP2 domain transcription factor AP2-G2,AP2-G2,NA
PBANKA_1034400,plasmepsin IV,PM4,NA
PBANKA_1034600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1034800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1034900,"pre-mRNA-splicing factor 38B, putative",PRP38B,NA
PBANKA_1035000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1035100,"rRNA 2'-O-methyltransferase fibrillarin, putative",NOP1,NA
PBANKA_1035300,"radical SAM protein, putative",RlmN,NA
PBANKA_1035600,"ATP-dependent Clp protease regulatory subunit ClpC, putative",ClpC,NA
PBANKA_1035800,"pentatricopeptide repeat domain-containing protein, putative",null,NA
PBANKA_1035900,"glycerophosphodiester phosphodiesterase, putative",GDPD,NA
PBANKA_1036000,"transcription elongation factor SPT6, putative",SPT6,NA
PBANKA_1036100,"tubby domain-containing protein, putative",null,NA
PBANKA_1036200,"RNA-binding protein 8A, putative",RBM8A,NA
PBANKA_1036300,"RNA-binding protein, putative",null,NA
PBANKA_1036400,"ribosome biogenesis protein BOP1, putative",BOP1,NA
PBANKA_1036500,"RING zinc finger protein, putative",null,NA
PBANKA_1036600,"ribonucleoside-diphosphate reductase small chain, putative",null,NA
PBANKA_1036900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1037000,"trafficking protein particle complex subunit 1, putative",BET5,NA
PBANKA_1037100,"GTPase-activating protein, putative",null,NA
PBANKA_1037200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1037300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1037400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1037600,"rRNA biogenesis protein RRP5, putative",RRP5,NA
PBANKA_1037700,"ribosomal protein L16, mitochondrial, putative",null,NA
PBANKA_1037800,secreted ookinete adhesive protein,SOAP,NA
PBANKA_1038000,"cytochrome c, putative",null,NA
PBANKA_1038100,"DNA-directed RNA polymerase II subunit RPB4, putative",null,NA
PBANKA_1038300,"translocation associated membrane protein, putative",TRAM,NA
PBANKA_1038400,"selenoprotein, putative",Sel1,NA
PBANKA_1038900,"condensin complex subunit 1, putative",CND1,NA
PBANKA_1039100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1039200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1039300,"U2 snRNP-associated SURP motif-containing protein, putative",SR140,NA
PBANKA_1039400,"ribosomal protein S27a, putative",null,NA
PBANKA_1039450,small nucleolar RNA snoR22,null,NA
PBANKA_1039500,"zinc finger protein, putative",null,NA
PBANKA_1039600,"26S proteasome regulatory subunit RPN6, putative",RPN6,NA
PBANKA_1039700,"cytochrome c oxidase subunit ApiCOX19, putative",null,NA
PBANKA_1039800,"pseudouridine synthase, putative",null,NA
PBANKA_1040000,"conserved protein, unknown function",null,NA
PBANKA_1040151,"fam-a protein, pseudogene",null,NA
PBANKA_1040200,PIR protein,null,NA
PBANKA_1040300,fam-b protein,null,NA
PBANKA_1040400,PIR protein,null,NA
PBANKA_1040500,"PIR protein, pseudogene",null,NA
PBANKA_1040561,PIR protein,null,NA
PBANKA_1040581,PIR protein,null,NA
PBANKA_1040621,fam-b protein,null,NA
PBANKA_1100300,"PIR protein, pseudogene",null,NA
PBANKA_1100351,PIR protein,null,NA
PBANKA_1100400,PIR protein,null,NA
PBANKA_1100461,PIR protein,null,NA
PBANKA_1100500,fam-b protein,null,NA
PBANKA_1100600,"PIR protein, pseudogene",null,NA
PBANKA_1100750,fam-a protein,null,NA
PBANKA_1100781,PIR protein,null,NA
PBANKA_1100821,"fam-a protein, pseudogene",null,NA
PBANKA_1100850,"PIR protein, pseudogene",null,NA
PBANKA_1101000,fam-a protein,null,NA
PBANKA_1101100,"Plasmodium exported protein, unknown function",null,NA
PBANKA_1101300,skeleton-binding protein 1,SBP1,NA
PBANKA_1101400,rhoptry-associated protein 2/3,RAP2/3,NA
PBANKA_1101600,"chromatin assembly factor 1 subunit A, putative",CAF1,NA
PBANKA_1101700,"conserved protein, unknown function",null,NA
PBANKA_1102000,"protein Mpv17, putative",MPV17,NA
PBANKA_1102200,merozoite surface protein 8,MSP8,NA
PBANKA_1102400,"conserved protein, unknown function",null,NA
PBANKA_1102600,"Tim10/DDP family zinc finger protein, putative",null,NA
PBANKA_1102700,"50S ribosomal protein L28, apicoplast, putative",null,NA
PBANKA_1102800,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative",IspE,NA
PBANKA_1103000,"serine/arginine-rich splicing factor 12, putative",SRSF12,NA
PBANKA_1103100,actin-depolymerizing factor 1,ADF1,NA
PBANKA_1103200,"protein kinase, putative",null,NA
PBANKA_1103400,"60S ribosomal protein L31, putative",RPL31,NA
PBANKA_1103500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1103600,"cation transporting P-ATPase, putative",ATPase3,NA
PBANKA_1103700,"AN1-type zinc finger protein, putative",null,NA
PBANKA_1103800,"ATP-dependent RNA helicase DDX27, putative",DDX27,NA
PBANKA_1103900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1104000,"ATP-dependent helicase, putative",null,NA
PBANKA_1104200,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial, putative",BCKDHB,NA
PBANKA_1104300,"centrosomal protein CEP120, putative",CEP120,NA
PBANKA_1104400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1104500,"conserved protein, unknown function",null,NA
PBANKA_1104600,"MMS19-like protein, putative",null,NA
PBANKA_1104700,"trafficking protein particle complex subunit 8, putative",TRS85,NA
PBANKA_1104800,"actin-like protein, putative",ALP2b,NA
PBANKA_1104900,"UDP-N-acetylglucosamine transporter, putative",null,NA
PBANKA_1105000,"conserved protein, unknown function",null,NA
PBANKA_1105100,"DNA mismatch repair protein MSH6, putative",MSH6,NA
PBANKA_1105200,"conserved protein, unknown function",null,NA
PBANKA_1105300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1105400,"small ubiquitin-related modifier, putative",SUMO,NA
PBANKA_1105500,"mediator of RNA polymerase II transcription subunit 11, putative",MED11,NA
PBANKA_1105600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1105700,"60S ribosomal subunit protein L24, putative",null,NA
PBANKA_1105800,"TATA-box binding protein, putative",TBP,NA
PBANKA_1105900,"conserved protein, unknown function",null,NA
PBANKA_1106100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1106300,"GTPase-activating protein, putative",null,NA
PBANKA_1106400,"transcription factor 25, putative",TCF25,NA
PBANKA_1106600,"conserved protein, unknown function",null,NA
PBANKA_1106700,"60S ribosomal protein L4, putative",RPL4,NA
PBANKA_1106800,"subtilisin-like protease 3, putative",SUB3,NA
PBANKA_1107200,"protein CAF40, putative",CAF40,NA
PBANKA_1107300,"nuclear protein localization protein 4, putative",NPL4,NA
PBANKA_1107400,"conserved protein, unknown function",null,NA
PBANKA_1107500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1107600,6-cysteine protein,P38,NA
PBANKA_1107700,"SET domain protein, putative",SET9,NA
PBANKA_1107900,triose phosphate transporter,TPT,NA
PBANKA_1108100,"guanidine nucleotide exchange factor, putative",null,NA
PBANKA_1108200,"conserved protein, unknown function",null,NA
PBANKA_1108300,"pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative",PRP5,NA
PBANKA_1108400,"single-stranded DNA-binding protein, putative",SSB,NA
PBANKA_1108600,"alpha-soluble NSF attachment protein, putative",null,NA
PBANKA_1108900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1109000,"RNA polymerase I, putative",null,NA
PBANKA_1109100,"ERCC4 domain-containing protein, putative",null,NA
PBANKA_1109200,"asparagine--tRNA ligase, putative",null,NA
PBANKA_1109400,"phosphatidylinositol 4-kinase, putative",PI4K,NA
PBANKA_1109500,"conserved protein, unknown function",null,NA
PBANKA_1109700,"conserved protein, unknown function",null,NA
PBANKA_1109800,"peptidyl-prolyl cis-trans isomerase, putative",CYP87,NA
PBANKA_1110100,"topoisomerase I, putative",null,NA
PBANKA_1110121,tRNA Leucine,null,NA
PBANKA_1110350,small nucleolar RNA snoR04,null,NA
PBANKA_1110500,translationally-controlled tumor protein homolog,TCTP,NA
PBANKA_1110700,"stearoyl-CoA desaturase, putative",SCD,NA
PBANKA_1110800,"MORN repeat protein, putative",null,NA
PBANKA_1110900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1111000,"RNA pseudouridylate synthase, putative",null,NA
PBANKA_1111300,"EKC/KEOPS complex subunit CGI121, putative",CGI121,NA
PBANKA_1111400,"inositol-3-phosphate synthase, putative",INO1,NA
PBANKA_1111500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1111600,"prefoldin subunit 6, putative",null,NA
PBANKA_1111700,"conserved protein, unknown function",null,NA
PBANKA_1111800,glutathione synthetase,GS,NA
PBANKA_1111900,"CDK-activating kinase assembly factor MAT1, putative",MAT1,NA
PBANKA_1112000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1112100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1112200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1112300,"ras-related protein Rab-1B, putative",RAB1b,NA
PBANKA_1112400,"orotate phosphoribosyltransferase, putative",OPRT,NA
PBANKA_1112500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1112800,"conserved protein, unknown function",null,NA
PBANKA_1112900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1113000,"purine nucleoside phosphorylase, putative",PNP,NA
PBANKA_1113100,"GTP-binding protein, putative",null,NA
PBANKA_1113200,"mitochondrial import inner membrane translocase subunit TIM16, putative",PAM16,NA
PBANKA_1113300,"deoxyribodipyrimidine photo-lyase, putative",null,NA
PBANKA_1113500,"ras-related protein Rab-1A, putative",RAB1a,NA
PBANKA_1113600,"conserved protein, unknown function",null,NA
PBANKA_1113700,"tubulin--tyrosine ligase, putative",null,NA
PBANKA_1113800,"ATP-dependent DNA helicase UvrD, putative",UvrD,NA
PBANKA_1113900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1114000,"aspartate--tRNA ligase, putative",null,NA
PBANKA_1114051:tRNA,tRNA Phenylalanine,null,NA
PBANKA_1114400,"inositol polyphosphate multikinase, putative",null,NA
PBANKA_1114500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1114600,"pre-mRNA-splicing factor CWC2, putative",CWC2,NA
PBANKA_1114700,rhomboid protease ROM9,ROM9,NA
PBANKA_1114900,"phosphatidylinositol 3-kinase, putative",PI3K,NA
PBANKA_1115100,"amino acid transporter, putative",null,NA
PBANKA_1115200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1115400,"BolA-like protein, putative",null,NA
PBANKA_1115500,NLI interacting factor-like phosphatase,NIF2,NA
PBANKA_1115600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1115700,"kinetochore protein NDC80, putative",NDC80,NA
PBANKA_1115800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1115900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1116100,"conserved protein, unknown function",null,NA
PBANKA_1116200,"ras GTPAse, putative",null,NA
PBANKA_1116300,"malate:quinone oxidoreductase, putative",MQO,NA
PBANKA_1116400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1116500,"mitochondrial import receptor subunit TOM40, putative",TOM40,NA
PBANKA_1116700,"AP-2 complex subunit alpha, putative",null,NA
PBANKA_1116800,"conserved protein, unknown function",null,NA
PBANKA_1116900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1117000,"histone H2A, putative",H2A,NA
PBANKA_1117100,"histone H3 variant, putative",H3.3,NA
PBANKA_1117200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1117300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1117400,"conserved protein, unknown function",null,NA
PBANKA_1117500,"ribosomal protein L27a, putative",null,NA
PBANKA_1117600,"LMBR1 domain-containing protein, putative",null,NA
PBANKA_1117700,"malate dehydrogenase, putative",MDH,NA
PBANKA_1117800,rhomboid protease ROM10,ROM10,NA
PBANKA_1117900,"trafficking protein particle complex subunit 6A, putative",null,NA
PBANKA_1118100,"phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1, putative",GPI1,NA
PBANKA_1118200,"conserved protein, unknown function",null,NA
PBANKA_1118400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1118500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1118600,"cell division cycle protein 48 homologue, putative",null,NA
PBANKA_1118700,"acyl-CoA synthetase, putative",ACS12,NA
PBANKA_1118800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1118900,"conserved protein, unknown function",null,NA
PBANKA_1119000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1119100,"splicing factor 3A subunit 2, putative",SF3A2,NA
PBANKA_1119200,secreted ookinete protein 25,PSOP25,NA
PBANKA_1119300,"ATP synthase-associated protein, putative",null,NA
PBANKA_1119400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1119700,"cleavage stimulation factor subunit 1, putative",null,NA
PBANKA_1119900,"DnaJ protein, putative",null,NA
PBANKA_1119921:tRNA,tRNA Alanine,null,NA
PBANKA_1119941:tRNA,tRNA Leucine,null,NA
PBANKA_1120000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1120100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1120500,"ribonuclease P/MRP protein subunit RPP1, putative",RPP1,NA
PBANKA_1120551:tRNA,tRNA Serine,null,NA
PBANKA_1120600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1120700,"nascent polypeptide-associated complex subunit alpha, putative",null,NA
PBANKA_1120800,"signal recognition particle subunit SRP68, putative",SRP68,NA
PBANKA_1120900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1121100,"radical SAM protein, putative",null,NA
PBANKA_1121200,"vacuolar transporter chaperone, putative",null,NA
PBANKA_1121400,"RNA methyltransferase, putative",null,NA
PBANKA_1121500,"cytochrome b-c1 complex subunit 9, putative",QCR9,NA
PBANKA_1121600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1121700,"leucine--tRNA ligase, putative",null,NA
PBANKA_1121800,AP2 domain transcription factor AP2-SP3,AP2-SP3,NA
PBANKA_1121900,chorismate synthase,CS,NA
PBANKA_1122000,"nuclear polyadenylated RNA-binding protein NAB2, putative",NAB2,NA
PBANKA_1122100,"ferredoxin--NADP reductase, putative",FNR,NA
PBANKA_1122200,"EGF-like membrane protein, putative",null,NA
PBANKA_1122400,"superoxide dismutase [Fe], putative",SOD2,NA
PBANKA_1122500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1122600,"ATP-dependent RNA helicase SUV3, putative",SUV3,NA
PBANKA_1122700,"tyrosine kinase-like protein, putative",TKL4,NA
PBANKA_1122800,"ribonuclease H2 subunit A, putative",null,NA
PBANKA_1122900,"hexokinase, putative",HK,NA
PBANKA_1123000,"conserved protein, unknown function",null,NA
PBANKA_1123100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1123300,"conserved protein, unknown function",null,NA
PBANKA_1123400,"anaphase-promoting complex subunit 11, putative",APC11,NA
PBANKA_1123500,"SNF2 helicase, putative",ISWI,NA
PBANKA_1123600,"N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase, putative",PIGL,NA
PBANKA_1123800,"GAS8-like protein, putative",null,NA
PBANKA_1124100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1124200,"DNA polymerase 1, putative",null,NA
PBANKA_1124300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1124500,"poly(A) polymerase PAP, putative",PAP,NA
PBANKA_1124600,"conserved protein, unknown function",null,NA
PBANKA_1124700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1124800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1125100,"3-oxoacyl-acyl-carrier protein synthase, putative",FabB/FabF,NA
PBANKA_1125200,"CRAL/TRIO domain-containing protein, putative",null,NA
PBANKA_1125500,"ATPase, putative",null,NA
PBANKA_1125600,"pyruvate kinase, putative",null,NA
PBANKA_1125700,"mitochondrial ribosomal protein L46 precursor, putative",null,NA
PBANKA_1125900,"ankyrin-repeat protein, putative",null,NA
PBANKA_1126000,"E3 ubiquitin-protein ligase RNF5, putative",RNF5,NA
PBANKA_1126100,"mitochondrial import inner membrane translocase subunit TIM22, putative",TIM22,NA
PBANKA_1126200,"protein DJ-1, putative",DJ1,NA
PBANKA_1126300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1126400,"transportin, putative",null,NA
PBANKA_1126500,"acetyl-CoA synthetase, putative",ACS,NA
PBANKA_1126600,"ribonuclease P protein subunit p29, putative",POP4,NA
PBANKA_1126900,eukaryotic translation initiation factor 2-alpha kinase,PK4,NA
PBANKA_1127000,choline/ethanolaminephosphotransferase,CEPT,NA
PBANKA_1127300,"DNA methyltransferase 1-associated protein 1, putative",null,NA
PBANKA_1127400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1127500,"glutamyl-tRNA(Gln) amidotransferase subunit B, putative",GATB,NA
PBANKA_1127800,"DnaJ protein, putative",null,NA
PBANKA_1127900,"RAP protein, putative",null,NA
PBANKA_1128100,phospholipase,PL,NA
PBANKA_1128300,"amino acid transporter AAT1, putative",AAT1,NA
PBANKA_1128500,"SET domain protein, putative",null,NA
PBANKA_1128600,"cullin-like protein, putative",null,NA
PBANKA_1128900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1129100,"DNA polymerase epsilon catalytic subunit A, putative",null,NA
PBANKA_1129300,"ribosome biogenesis protein YTM1, putative",YTM1,NA
PBANKA_1129400,"conserved protein, unknown function",null,NA
PBANKA_1129500,"bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative",null,NA
PBANKA_1129700,"ATP-dependent RNA helicase HAS1, putative",HAS1,NA
PBANKA_1129800,"tetratricopeptide repeat protein, putative",null,NA
PBANKA_1129900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1130000,"Ran-binding protein, putative",null,NA
PBANKA_1130100,"RNA polymerase II transcription factor B subunit 4, putative",TFB4,NA
PBANKA_1130200,"ER lumen protein retaining receptor, putative",ERD2,NA
PBANKA_1130300,"reactive oxygen species modulator 1, putative",ROMO1,NA
PBANKA_1130400,"proteasome subunit alpha type-4, putative",null,NA
PBANKA_1130500,"proteasome subunit alpha type-7, putative",null,NA
PBANKA_1130600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1130700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1130800,"phosphoinositide phosphatase SAC1, putative",SAC1,NA
PBANKA_1130900,"large subunit rRNA methyltransferase, putative",null,NA
PBANKA_1131000,"V-type proton ATPase 21 kDa proteolipid subunit, putative",null,NA
PBANKA_1131100,"adenylosuccinate synthetase, putative",ADSS,NA
PBANKA_1131200,"60S ribosomal protein L7-2, putative",null,NA
PBANKA_1131300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1131500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1131600,"DNA replication licensing factor MCM6, putative",MCM6,NA
PBANKA_1131700,"RAP protein, putative",null,NA
PBANKA_1131900,serine/threonine protein phosphatase 5,PP5,NA
PBANKA_1132100,"splicing factor 3B subunit 5, putative",SF3B5,NA
PBANKA_1132200,"RWD domain-containing protein, putative",null,NA
PBANKA_1132400,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1132600,"ubiquitin-conjugating enzyme E2, putative",null,NA
PBANKA_1132800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1132900,"regulator of chromosome condensation, putative",null,NA
PBANKA_1133200,cdc2-related kinase 2,CRK2,NA
PBANKA_1133300,elongation factor 1-alpha,EF-1alpha,NA
PBANKA_1133400,elongation factor 1-alpha,EF-1alpha,NA
PBANKA_1133500,glutamate--tRNA ligase,GluRS,NA
PBANKA_1133700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1133900,"conserved protein, unknown function",null,NA
PBANKA_1134000,"U3 small nucleolar RNA-associated protein 21, putative",UTP21,NA
PBANKA_1134100,"T-complex protein 1 subunit delta, putative",CCT4,NA
PBANKA_1134200,"pyrroline-5-carboxylate reductase, putative",null,NA
PBANKA_1134300,"patatin-like phospholipase, putative",null,NA
PBANKA_1134400,"Sas10 domain-containing protein, putative",null,NA
PBANKA_1134500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1134600,rhomboid protease ROM7,ROM7,NA
PBANKA_1134700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1135000,"YOP1-like protein, putative",YOP1L,NA
PBANKA_1135100,"40S ribosomal protein S15, putative",RPS15,NA
PBANKA_1135200,"GTP-binding protein, putative",null,NA
PBANKA_1135300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1135500,"high mobility group protein B4, putative",HMGB4,NA
PBANKA_1135600,"exosome complex exonuclease RRP44, putative",DIS3,NA
PBANKA_1135700,"CUGBP Elav-like family member 1, putative",CELF1,NA
PBANKA_1135900,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1136000,"ADP-ribosylation factor, putative",null,NA
PBANKA_1136100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1136200,"ATP synthase-associated protein, putative",null,NA
PBANKA_1136300,"RNA-binding protein, putative",RRM1,NA
PBANKA_1136400,"ER membrane protein complex subunit 3, putative",EMC3,NA
PBANKA_1136500,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1136600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1136900,"E3 SUMO-protein ligase PIAS, putative",PIAS,NA
PBANKA_1137000,bergheilysin,BLN,NA
PBANKA_1137200,"protein transport protein Sec24A, putative",SEC24A,NA
PBANKA_1137300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1137600,"Fe-S assembly protein IscX, putative",YfhJ,NA
PBANKA_1137700,"cytochrome c oxidase subunit 2, putative",null,NA
PBANKA_1137800,glideosome-associated connector,GAC,NA
PBANKA_1137900,"proliferating cell nuclear antigen 1, putative",PCNA1,NA
PBANKA_1138000,"cytochrome c oxidase subunit ApiCOX24, putative",null,NA
PBANKA_1138100,"14-3-3 protein, putative",14-3-3II,NA
PBANKA_1138300,"transmembrane and coiled-coil domain-containing protein 1, putative",TMCO1,NA
PBANKA_1138400,"calpain, putative",Pcalp,NA
PBANKA_1138700,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1139000,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1139100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1139200,"bifunctional polynucleotide phosphatase/kinase, putative",PNKP,NA
PBANKA_1139300,"50S ribosomal protein L9, mitochondrial, putative",null,NA
PBANKA_1139500,"CCR4 domain-containing protein 2, putative",CCR4-2,NA
PBANKA_1139700,"protein AMR1, putative",null,NA
PBANKA_1139900,"reticulon-like protein, putative",RTN1,NA
PBANKA_1140000,"conserved protein, unknown function",null,NA
PBANKA_1140100,nucleoporin NUP205,NUP205,NA
PBANKA_1140200,"pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative",PRP16,NA
PBANKA_1140300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1140500,"aldehyde reductase, putative",null,NA
PBANKA_1140600,"DNA-directed RNA polymerases I, II, and III subunit RPABC1, putative",RPB5,NA
PBANKA_1140800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1141000,"conserved protein, unknown function",null,NA
PBANKA_1141100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1141300,"aminomethyltransferase, mitochondrial",GCVT,NA
PBANKA_1141400,"DNA topoisomerase 6 subunit B, putative",TOP6B,NA
PBANKA_1141500,"SNARE associated Golgi protein, putative",null,NA
PBANKA_1141600,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1141700,"ubiquitin-60S ribosomal protein L40, putative",null,NA
PBANKA_1141800,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1142100,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1142300,"rhoptry protein RHOP148, putative",RHOP148,NA
PBANKA_1142400,"nucleoside diphosphate kinase b, putative",null,NA
PBANKA_1142500,"signal recognition particle receptor subunit alpha, putative",null,NA
PBANKA_1142700,"phosphatidylserine synthase, putative",null,NA
PBANKA_1142800,"conserved protein, unknown function",null,NA
PBANKA_1142900,"suppressor of kinetochore protein 1, putative",SKP1,NA
PBANKA_1143000,"U1 small nuclear ribonucleoprotein 70 kDa homolog, putative",SNP1,NA
PBANKA_1143200,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1143300,"conserved Plasmodium protein, unknown function",null,NA
PBANKA_1143500,"ribosome biogenesis protein MRT4, putative",null,NA
PBANKA_1143600,"alanine--tRNA ligase, putative",AlaRS,NA
PBANKA_1143700,"secreted ookinete protein, putative",PSOP2,NA
PBANKA_1143900,"conserved protein, unknown function",null,NA
PBANKA_1144000,"26S proteasome regulatory subunit RPN11, putative",RPN11,NA
PBANKA_1144100,"ABC transporter E family member 1, putative",ABCE1,NA
