P. berghei current ID,P. berghei previous ID,P. falciparum ID,Name,Product,Phenotype,Relative growth rate,Confidence,Expected variance,RGR CI low,RGR CI high,Times analysed,Construct
PBANKA_1014000,PBANKA_101400,,GDH2,"NADP-specific glutamate dehydrogenase, putative",Slow,0.31,6.5,0.002,0.23,0.39,2,PbGEM-096343
PBANKA_1014100,PBANKA_101410,PF3D7_1430600,,"exodeoxyribonuclease III, putative",Dispensable,0.95,6,0.003,0.85,1.05,2,PbGEM-294448
PBANKA_1014300,PBANKA_101430,PF3D7_1430400,ATG5,"autophagy protein 5, putative",Essential,0.13,5.3,0.005,-0.01,0.27,2,PbGEM-294480
PBANKA_1014400,PBANKA_101440,PF3D7_1430300,,"acid phosphatase, putative",Dispensable,0.68,3.4,0.032,0.33,1.04,2,PbGEM-265348
PBANKA_1014500,PBANKA_101450,PF3D7_1430200,,"plasmepsin IX, putative",Essential,0.31,2.6,0.074,-0.24,0.85,2,PbGEM-333835
PBANKA_1014700,PBANKA_101470,PF3D7_1430000,,"conserved Plasmodium protein, unknown function",Dispensable,0.99,5,0.006,0.83,1.16,1,PbGEM-294520
PBANKA_1014800,PBANKA_101480,PF3D7_1429900,WRN,"ADP-dependent DNA helicase RecQ, putative",Slow,0.71,5.2,0.005,0.56,0.86,2,PbGEM-263084
PBANKA_1014900,PBANKA_101490,PF3D7_1429800,,"coatamer protein, beta subunit, putative",Essential,0.1,1,0.198,-0.47,1.31,3,PbGEM-263092
PBANKA_1015000,PBANKA_101500,,,"mitochondrial ribosomal protein L15 precursor, putative",Essential,0.06,8.2,0,0.03,0.09,2,PbGEM-294536
PBANKA_1015200,PBANKA_101520,PF3D7_1429500,DPH2,"diphthamide biosynthesis protein 2, putative",Slow,0.63,6,0.003,0.52,0.73,2,PbGEM-263108
PBANKA_1015300,PBANKA_101530,PF3D7_1429400,,"rRNA (adenosine-2'-O-)-methyltransferase, putative",Dispensable,0.77,3.8,0.023,0.46,1.07,2,PbGEM-036523
PBANKA_1015600,PBANKA_101560,,,"apicoplast ribosomal protein L15 precursor, putative",Essential,0.07,7.3,0.001,0.02,0.12,2,PbGEM-333875
PBANKA_1015700,PBANKA_101570,PF3D7_1429000,,"protein archease, putative",Essential,0.06,7.3,0.001,0.01,0.11,2,PbGEM-333883
PBANKA_1015800,PBANKA_101580,PF3D7_1428900,,"conserved Plasmodium protein, unknown function",Essential,0.07,5.6,0.004,-0.05,0.19,2,PbGEM-333891
PBANKA_1015900,PBANKA_101590,PF3D7_1428800.1,,"transcription initiation TFIID-like, putative",Essential,0.09,5.4,0.004,-0.04,0.23,3,PbGEM-263156
PBANKA_1016100,PBANKA_101610,PF3D7_1428600,,"peptide chain release factor 1, putative",Dispensable,1.03,6.1,0.002,0.93,1.12,2,PbGEM-036651
PBANKA_1016200,PBANKA_101620,PF3D7_1428500,,"protein kinase, putative",Dispensable,0.93,5.1,0.006,0.78,1.09,3,PbGEM-036667
PBANKA_1016400,PBANKA_101640,PF3D7_1428200,,"metabolite/drug transporter, putative",Dispensable,0.87,4.1,0.016,0.62,1.12,1,PbGEM-263196
PBANKA_1016500,PBANKA_101650,PF3D7_1428100,,"WW domain-binding protein 11, putative",Slow,0.37,5.1,0.006,0.22,0.53,2,PbGEM-294664
PBANKA_1016800,PBANKA_101680,PF3D7_1427800,RRP41,"exosome complex exonuclease RRP41, putative",Slow,0.6,5,0.007,0.43,0.77,2,PbGEM-036749
PBANKA_1017000,PBANKA_101700,PF3D7_1427600,,"CorA-like Mg2+ transporter protein, putative",Dispensable,1.01,6.3,0.002,0.93,1.1,1,PbGEM-036774
PBANKA_1017100,PBANKA_101710,PF3D7_1427500,MSH2-1,"DNA mismatch repair protein MSH2, putative",Slow,0.43,4.5,0.011,0.22,0.63,2,PbGEM-096468
PBANKA_1017500,PBANKA_101750,PF3D7_1427100,UIS28,"lipase, putative",Dispensable,0.87,4.9,0.008,0.7,1.05,1,PbGEM-096504
PBANKA_1017700,PBANKA_101770,PF3D7_1426900,,"ubiquinol-cytochrome c reductase hinge protein, putative",Essential,0.21,4.6,0.01,0.01,0.41,2,PbGEM-294798
PBANKA_1017800,PBANKA_101780,PF3D7_1426800,,"conserved Plasmodium protein, unknown function",Essential,0.21,4.5,0.011,0,0.42,2,PbGEM-333955
PBANKA_1018000,PBANKA_101800,PF3D7_1426600,,"conserved Plasmodium protein, unknown function",Slow,0.33,5.6,0.004,0.21,0.46,2,PbGEM-036911
PBANKA_1018100,PBANKA_101810,PF3D7_1426500,ABCG2,"ABC transporter G family member 2, putative",Slow,0.83,5.2,0.005,0.69,0.98,2,PbGEM-121258
PBANKA_1018300,PBANKA_101830,PF3D7_1426300,,"dynein-associated protein, putative",Dispensable,0.96,5.7,0.003,0.84,1.08,2,PbGEM-263324
PBANKA_1018400,PBANKA_101840,PF3D7_1426200,PRMT1,"protein arginine N-methyltransferase 1, putative",Slow,0.81,5.2,0.005,0.66,0.95,1,PbGEM-294894
PBANKA_1018500,PBANKA_101850,PF3D7_1426100,,"transcription factor 3b, putative",Essential,0.22,4.5,0.011,0.01,0.42,2,PbGEM-333963
PBANKA_1019000,PBANKA_101900,PF3D7_1425500,,"conserved Plasmodium protein, unknown function",Dispensable,1.07,4.9,0.008,0.89,1.24,1,PbGEM-294982
PBANKA_1019100,PBANKA_101910,PF3D7_1425400,,"DEAD/DEAH box helicase, putative",Dispensable,1,5.8,0.003,0.88,1.11,2,PbGEM-263388
,PBANKA_101935,,,,Dispensable,1.06,5.2,0.006,0.91,1.21,1,PbGEM-333995
PBANKA_1019800,PBANKA_101980,PF3D7_1423600,,"calcium-dependent protein kinase, putative",Dispensable,0.85,4.3,0.014,0.61,1.08,5,"PbGEM-263460,PbGEM-111858"
PBANKA_1020100,PBANKA_102010,PF3D7_1423300,PP7,serine/threonine protein phosphatase 7,Essential,0.12,4.9,0.007,-0.05,0.29,3,PbGEM-096670
PBANKA_1020200,PBANKA_102020,PF3D7_1423200,CYP52,"peptidyl-prolyl cis-trans isomerase, putative",Dispensable,1.03,6.4,0.002,0.95,1.11,1,PbGEM-263492
PBANKA_1020300,PBANKA_102030,,,"ankyrin, putative",Dispensable,0.95,5.6,0.004,0.82,1.07,1,PbGEM-037288
PBANKA_1020400,PBANKA_102040,PF3D7_1423000,NOG2,"nucleolar GTP-binding protein 2, putative",Essential,0.29,4.2,0.016,0.04,0.54,2,PbGEM-264908
PBANKA_1020600,PBANKA_102060,PF3D7_1422800,ARP4a,"actin-related protein, putative",Essential,0.1,4.5,0.012,-0.11,0.32,2,PbGEM-263524
PBANKA_1020700,PBANKA_102070,PF3D7_1422700,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,5.2,0.006,0.75,1.06,1,PbGEM-334035
PBANKA_1021000,PBANKA_102100,PF3D7_1422400,,"conserved Plasmodium protein, unknown function",Essential,0.07,5.3,0.005,-0.07,0.21,2,PbGEM-295238
PBANKA_1021200,PBANKA_102120,PF3D7_1422200,,"conserved Plasmodium protein, unknown function",Essential,0.13,7.3,0.001,0.08,0.18,2,PbGEM-295270
PBANKA_1021900,PBANKA_102190,PF3D7_1421400,RPC34,"DNA-directed RNA polymerase III subunit RPC6, putative",Essential,0.06,5.8,0.003,-0.05,0.18,2,PbGEM-295366
PBANKA_1022100,PBANKA_102210,PF3D7_1421100,,"conserved Plasmodium protein, unknown function",Dispensable,0.93,6.1,0.002,0.83,1.02,2,PbGEM-295390
PBANKA_1022200,PBANKA_102220,PF3D7_1421000,,"conserved Plasmodium protein, unknown function",Essential,0.16,4.1,0.016,-0.09,0.41,2,PbGEM-295406
PBANKA_1022300,PBANKA_102230,PF3D7_1420900,,"mannose-1-phosphate guanyltransferase, putative",Slow,0.4,5.6,0.004,0.27,0.52,2,PbGEM-037559
PBANKA_1022600,PBANKA_102260,PF3D7_1420600,PANK,"pantothenate kinase, putative",Dispensable,1.01,6.1,0.002,0.91,1.11,1,PbGEM-342468
PBANKA_1022800,PBANKA_102280,PF3D7_1420400,GlyRS,"glycine--tRNA ligase, putative",Essential,0.1,1,0.089,-0.21,0.98,2,PbGEM-295438
PBANKA_1023200,PBANKA_102320,PF3D7_1420000,SF3B4,"splicing factor 3B subunit 4, putative",Slow,0.44,3.7,0.024,0.12,0.75,2,PbGEM-263692
PBANKA_1023400,PBANKA_102340,PF3D7_1419800.1,GR,"glutathione reductase, putative",Dispensable,0.99,5.1,0.006,0.83,1.15,1,PbGEM-096918
PBANKA_1023800,PBANKA_102380,PF3D7_1419400,,"conserved Plasmodium protein, unknown function",Essential,0.05,5.3,0.005,-0.09,0.19,2,PbGEM-334083
PBANKA_1023900,PBANKA_102390,,GST,"glutathione S-transferase, putative",Dispensable,0.88,4.8,0.008,0.7,1.06,1,PbGEM-334091
PBANKA_1024000,PBANKA_102400,PF3D7_1419200,,"thioredoxin-like protein, putative",Essential,0.06,7,0.001,0,0.12,2,PbGEM-334099
PBANKA_1024100,PBANKA_102410,PF3D7_1419100,SPB4,"ATP-dependent rRNA helicase SPB4, putative",Dispensable,0.89,5.2,0.005,0.74,1.03,1,PbGEM-263764
PBANKA_1024300,PBANKA_102430,PF3D7_1418900,DBP4,"ATP-dependent RNA helicase DBP4, putative",Essential,0.18,4.9,0.007,0.01,0.35,2,PbGEM-342476
PBANKA_1024500,PBANKA_102450,PF3D7_1418200,,"conserved Plasmodium protein, unknown function",Essential,0.14,6.1,0.002,0.04,0.23,2,PbGEM-295694
PBANKA_1024600,PBANKA_102460,PF3D7_1418100,LISP1,liver specific protein 1,Dispensable,0.98,5.2,0.006,0.83,1.12,1,PbGEM-334115
PBANKA_1024800,PBANKA_102480,PF3D7_1417900,,"conserved Plasmodium protein, unknown function",Dispensable,0.9,5.4,0.005,0.76,1.04,1,PbGEM-295742
PBANKA_1024900,PBANKA_102490,PF3D7_1417800,MCM2,"DNA replication licensing factor MCM2;DNA replication licensing factor MCM2, putative",Essential,0.15,4.2,0.015,-0.09,0.4,3,PbGEM-263820
PBANKA_1025200,PBANKA_102520,PF3D7_1417500,CBF5,"H/ACA ribonucleoprotein complex subunit 4, putative",Essential,0.18,4.2,0.014,-0.06,0.42,2,PbGEM-097010
PBANKA_1025500,PBANKA_102550,PF3D7_1417200,,"NOT family protein, putative",Essential,0.1,1,Inf,NA,NA,1,PbGEM-334155
PBANKA_1025900,PBANKA_102590,PF3D7_1416800,,"lysine--tRNA ligase, putative",Essential,0.22,4.3,0.013,-0.02,0.45,2,PbGEM-295886
PBANKA_1026000,PBANKA_102600,PF3D7_1416700,,"conserved Plasmodium protein, unknown function",Dispensable,1,5.4,0.005,0.86,1.13,1,PbGEM-263908
PBANKA_1026200,PBANKA_102620,,GDH1,"NADP-specific glutamate dehydrogenase, putative",Insufficient data,0.5,2.7,0.066,-0.02,1.01,1,PbGEM-295934
PBANKA_1026300,PBANKA_102630,PF3D7_1416400,,"conserved Plasmodium protein, unknown function",Dispensable,0.97,5.2,0.005,0.82,1.11,2,PbGEM-097088
PBANKA_1026500,PBANKA_102650,PF3D7_1416200,MCA3,metacaspase-like protein,Slow,0.64,4.2,0.015,0.4,0.89,3,PbGEM-263948
PBANKA_1027200,PBANKA_102720,PF3D7_1415500,,"conserved Plasmodium protein, unknown function",Dispensable,1.06,5,0.007,0.89,1.22,2,PbGEM-334219
PBANKA_1027300,PBANKA_102730,PF3D7_1415400,,"conserved Plasmodium protein, unknown function",Dispensable,1,5,0.007,0.83,1.16,2,PbGEM-296110
PBANKA_1027600,PBANKA_102760,PF3D7_1415100,,"conserved Plasmodium protein, unknown function",Slow,0.93,7,0.001,0.87,0.99,2,PbGEM-296182
PBANKA_1027800,PBANKA_102780,PF3D7_1414900,,"ATP-dependent protease, putative",Essential,0.05,6.6,0.001,-0.03,0.12,2,PbGEM-334251
PBANKA_1028800,PBANKA_102880,PF3D7_1413900,,"DnaJ protein, putative",Essential,0.21,4.9,0.007,0.03,0.38,2,PbGEM-342492
PBANKA_1029100,PBANKA_102910,,,"conserved Plasmodium protein, unknown function",Dispensable,1.02,5.6,0.004,0.89,1.14,1,PbGEM-296326
PBANKA_1029200,PBANKA_102920,PF3D7_1413500,SufC,FeS assembly ATPase SufC;ABC transporter I family member 1,Essential,0.09,4.6,0.01,-0.11,0.29,2,PbGEM-241423
PBANKA_1029700,PBANKA_102970,PF3D7_1412900.1,,"ubiquitin-conjugating enzyme, putative",Dispensable,1.02,5.5,0.004,0.9,1.15,1,PbGEM-241496
PBANKA_1029800,PBANKA_102980,PF3D7_1412800,NMT,"glycylpeptide N-tetradecanoyltransferase, putative",Essential,0.03,6.9,0.001,-0.03,0.1,2,PbGEM-342508
PBANKA_1029900,PBANKA_102990,PF3D7_1412700,,"AAA family ATPase, putative",Essential,0.09,3.9,0.02,-0.19,0.37,2,PbGEM-241559
PBANKA_1030000,PBANKA_103000,PF3D7_1412600,DHS,"deoxyhypusine synthase, putative",Essential,0.37,3.8,0.022,0.07,0.66,2,PbGEM-038613
PBANKA_1030100,PBANKA_103010,PF3D7_1412500,,actin II,Dispensable,0.97,6,0.003,0.87,1.07,1,PbGEM-241608
PBANKA_1030200,PBANKA_103020,PF3D7_1412400,,"conserved Plasmodium protein, unknown function",Essential,0.06,6.4,0.002,-0.02,0.15,2,PbGEM-334307
PBANKA_1030400,PBANKA_103040,PF3D7_1412200,,"conserved Plasmodium protein, unknown function",Dispensable,1,4.7,0.009,0.82,1.19,1,PbGEM-334315
PBANKA_1030500,PBANKA_103050,PF3D7_1412100,,"conserved Plasmodium protein, unknown function",Essential,0.05,4.5,0.011,-0.16,0.26,2,PbGEM-296422
PBANKA_1030800,PBANKA_103080,PF3D7_1411700,,"conserved protein, unknown function",Slow,0.78,5.1,0.006,0.63,0.94,1,PbGEM-296470
PBANKA_1031000,PBANKA_103100,PF3D7_1411500,,"conserved Plasmodium protein, unknown function",Essential,0.18,4.7,0.009,-0.01,0.37,2,PbGEM-296510
PBANKA_1031100,PBANKA_103110,PF3D7_1411400,PREX,"plastid replication-repair enzyme, putative",Essential,0.27,3.6,0.026,-0.06,0.59,3,PbGEM-097373
PBANKA_1031200,PBANKA_103120,PF3D7_1411300,,"conserved Plasmodium protein, unknown function",Essential,0.05,5.6,0.004,-0.07,0.17,2,PbGEM-296526
PBANKA_1031300,PBANKA_103130,PF3D7_1411200,ROM8,rhomboid protease ROM8,Essential,0.1,3.8,0.022,-0.2,0.4,3,PbGEM-242021
PBANKA_1031400,PBANKA_103140,PF3D7_1411100.1,,"conserved Plasmodium protein, unknown function",Slow,0.58,3.3,0.037,0.2,0.96,2,PbGEM-296542
PBANKA_1031500,PBANKA_103150,PF3D7_1411000.1,,"conserved Plasmodium protein, unknown function",Dispensable,0.69,3.2,0.042,0.28,1.1,2,PbGEM-296558
PBANKA_1031700,PBANKA_103170,PF3D7_1410800,,"conserved Plasmodium protein, unknown function",Slow,0.79,5.3,0.005,0.65,0.94,2,PbGEM-334339
PBANKA_1032000,PBANKA_103200,PF3D7_1410500,,"conserved Plasmodium protein, unknown function",Essential,0.06,7,0.001,0,0.12,2,PbGEM-334347
PBANKA_1032100,PBANKA_103210,PF3D7_1410400,RAP1,"rhoptry-associated protein 1, putative",Slow,0.71,5,0.007,0.55,0.88,2,PbGEM-334355
PBANKA_1032200,PBANKA_103220,PF3D7_1410300,,"WD repeat-containing protein, putative",Dispensable,0.77,4.2,0.015,0.52,1.02,1,PbGEM-535555
PBANKA_1032300,PBANKA_103230,PF3D7_1410200,,"cytidine triphosphate synthetase, putative",Essential,0.19,4.7,0.009,-0.01,0.38,2,PbGEM-296702
PBANKA_1032400,PBANKA_103240,PF3D7_1410100,,"alpha/beta hydrolase, putative",Dispensable,1.08,5.8,0.003,0.96,1.19,1,PbGEM-038941
PBANKA_1032600,PBANKA_103260,PF3D7_1409900,CDS,"cytidine diphosphate-diacylglycerol synthase, putative",Essential,0.09,3.7,0.025,-0.22,0.41,2,PbGEM-038966
PBANKA_1032700,PBANKA_103270,PF3D7_1409800,CELF2,"CUGBP Elav-like family member 2, putative",Dispensable,1.03,5.5,0.004,0.9,1.16,1,PbGEM-334379
PBANKA_1032800,PBANKA_103280,PF3D7_1409700,,"conserved Plasmodium protein, unknown function",Essential,0.13,5.7,0.003,0.01,0.24,2,PbGEM-296766
PBANKA_1033100,PBANKA_103310,PF3D7_1409400,,"conserved Plasmodium protein, unknown function",Essential,0.17,5.9,0.003,0.06,0.27,2,PbGEM-039046
PBANKA_1033200,PBANKA_103320,PF3D7_1409300,DDI1,"DNA damage-inducible protein 1, putative",Essential,0.12,4.6,0.01,-0.08,0.32,2,PbGEM-097527
PBANKA_1033300,PBANKA_103330,PF3D7_1409200.1,,"conserved Plasmodium protein, unknown function",Dispensable,0.98,4.5,0.012,0.77,1.2,2,PbGEM-334403
PBANKA_1033400,PBANKA_103340,PF3D7_1409100,,"aldo-keto reductase, putative",Essential,0.21,4.5,0.011,0,0.42,2,PbGEM-039094
PBANKA_1033600,PBANKA_103360,PF3D7_1408900,,"tRNA-dihydrouridine synthase, putative",Dispensable,0.99,5.8,0.003,0.88,1.1,1,PbGEM-242532
PBANKA_1033800,PBANKA_103380,PF3D7_1408700,,"conserved Plasmodium protein, unknown function",Essential,0.07,5.6,0.004,-0.05,0.19,2,PbGEM-334443
PBANKA_1033900,PBANKA_103390,PF3D7_1408600,,"40S ribosomal protein S8e, putative",Essential,0.05,6.8,0.001,-0.02,0.11,2,PbGEM-334451
PBANKA_1034000,PBANKA_103400,PF3D7_1408500,,"conserved Plasmodium protein, unknown function",Essential,0.12,6.2,0.002,0.03,0.21,2,PbGEM-296910
PBANKA_1034100,PBANKA_103410,PF3D7_1408400,,"DNA repair helicase, putative",Slow,0.78,6.4,0.002,0.7,0.87,2,PbGEM-242674
PBANKA_1034300,PBANKA_103430,PF3D7_1408200,AP2-G2,transcription factor with AP2 domain(s),Slow,0.69,5.9,0.003,0.59,0.79,1,PbGEM-334459
PBANKA_1034400,PBANKA_103440,PF3D7_1407800,PM4,plasmepsin IV,Slow,0.67,10,0,0.66,0.69,58,PbGEM-039254
PBANKA_1034500,PBANKA_103450,PF3D7_1407700,,"conserved Plasmodium protein, unknown function",Dispensable,0.99,6.2,0.002,0.91,1.08,1,PbGEM-296942
PBANKA_1034600,PBANKA_103460,PF3D7_1407600,,"conserved Plasmodium protein, unknown function",Dispensable,1.06,4.7,0.009,0.87,1.25,2,PbGEM-334467
PBANKA_1034700,PBANKA_103470,PF3D7_1407500,,"multifunctional methyltransferase subunit TRM112, putative",Essential,0.09,6.1,0.002,-0.01,0.18,3,PbGEM-242813
PBANKA_1034800,PBANKA_103480,PF3D7_1407400,,"conserved Plasmodium protein, unknown function",Dispensable,1,5.2,0.006,0.85,1.15,1,PbGEM-334475
PBANKA_1034900,PBANKA_103490,PF3D7_1407300,PRP38B,"pre-mRNA-splicing factor 38B, putative",Slow,0.28,4.8,0.008,0.1,0.45,2,PbGEM-334483
PBANKA_1035100,PBANKA_103510,PF3D7_1407100,NOP1,"rRNA 2'-O-methyltransferase fibrillarin, putative",Essential,0.35,4,0.019,0.08,0.63,2,PbGEM-242902
PBANKA_1035200,PBANKA_103520,PF3D7_1407000,CCp3,LCCL domain-containing protein;scavenger receptor-like protein;LCCL/lectin adhesive-like protein 1,Dispensable,0.87,5.2,0.006,0.72,1.02,2,PbGEM-097658
PBANKA_1035300,PBANKA_103530,PF3D7_1406900,,"radical SAM protein, putative",Essential,0.13,5,0.007,-0.03,0.3,2,PbGEM-242943
PBANKA_1035400,PBANKA_103540,PF3D7_1406800,GAPM3,"glideosome associated protein with multiple membrane spans 3, putative",Essential,0.08,5.3,0.005,-0.07,0.22,3,"PbGEM-039414,PbGEM-242962"
PBANKA_1035500,PBANKA_103550,PF3D7_1406700,VPS29,"vacuolar protein sorting-associated protein 29, putative",Essential,0.27,4.6,0.01,0.08,0.47,2,PbGEM-297062
PBANKA_1035600,PBANKA_103560,PF3D7_1406600,ClpC,"ATP-dependent Clp protease, putative",Essential,0.11,4.4,0.012,-0.11,0.33,2,PbGEM-039446
PBANKA_1035800,PBANKA_103580,PF3D7_1406400,,"pentatricopeptide repeat domain-containing protein, putative",Essential,0.16,6.7,0.001,0.09,0.23,2,PbGEM-297102
PBANKA_1036200,PBANKA_103620,PF3D7_1406000,RBM8A,"RNA-binding protein 8A, putative",Slow,0.19,7.3,0.001,0.14,0.24,2,PbGEM-264132
PBANKA_1036400,PBANKA_103640,PF3D7_1405800,BOP1,"ribosome biogenesis protein BOP1, putative",Slow,0.32,5.8,0.003,0.21,0.43,3,PbGEM-243206
PBANKA_1036600,PBANKA_103660,PF3D7_1405600,,"ribonucleotide reductase small subunit, putative",Essential,0.15,2.9,0.055,-0.32,0.62,2,PbGEM-297222
PBANKA_1036800,PBANKA_103680,PF3D7_1405400,,"DNA mismatch repair protein, putative",Dispensable,1,6.7,0.001,0.92,1.07,1,PbGEM-243303
PBANKA_1037600,PBANKA_103760,PF3D7_1404500,RRP5,"rRNA biogenesis protein RRP5, putative",Slow,0.61,4.9,0.007,0.44,0.78,2,PbGEM-243448
PBANKA_1037700,PBANKA_103770,PF3D7_1404400,,"mitochondrial ribosomal protein L16 precursor, putative",Essential,0.04,6.8,0.001,-0.03,0.11,1,PbGEM-535611
PBANKA_1037800,PBANKA_103780,PF3D7_1404300,SOAP,secreted ookinete adhesive protein,Dispensable,1,10,0,0.99,1.01,54,PbGEM-097822
PBANKA_1038000,PBANKA_103800,PF3D7_1404100,,"cytochrome c, putative",Essential,0.07,6.6,0.001,0,0.14,2,PbGEM-297398
PBANKA_1038100,PBANKA_103810,PF3D7_1404000,,"DNA-directed RNA polymerase II subunit RPB4, putative",Essential,0.33,4.1,0.016,0.07,0.58,1,PbGEM-297422
PBANKA_1038200,PBANKA_103820,PF3D7_1403800,MISFIT,nuclear formin-like protein,Dispensable,0.98,4.7,0.009,0.79,1.17,1,PbGEM-342532
PBANKA_1038300,PBANKA_103830,PF3D7_1403700,TRAM,"translocation associated membrane protein, putative",Dispensable,0.99,6.5,0.001,0.91,1.06,1,PbGEM-243678
PBANKA_1038500,PBANKA_103850,PF3D7_1403500,,"conserved Plasmodium protein, unknown function",Dispensable,1.08,5.5,0.004,0.96,1.21,2,PbGEM-297446
PBANKA_1038700,PBANKA_103870,PF3D7_1403300,,"conserved Plasmodium protein, unknown function",Dispensable,1.08,5.3,0.005,0.94,1.22,1,PbGEM-334571
PBANKA_1039100,PBANKA_103910,PF3D7_1402900,,"conserved Plasmodium protein, unknown function",Essential,0.11,7.5,0.001,0.06,0.16,2,PbGEM-334587
PBANKA_1039300,PBANKA_103930,PF3D7_1402700,SR140,"U2 snRNP-associated SURP motif-containing protein, putative",Slow,0.39,6.3,0.002,0.31,0.48,3,PbGEM-243939
PBANKA_1039400,PBANKA_103940,PF3D7_1402500,,"ubiquitin-40S ribosomal protein S27a, putative",Essential,0.04,7.5,0.001,0,0.09,2,PbGEM-297550
PBANKA_1039500,PBANKA_103950,PF3D7_1402400,,"U1 small nuclear ribonucleoprotein C, putative",Essential,0.07,5,0.007,-0.1,0.23,2,PbGEM-297566
PBANKA_1039700,PBANKA_103970,PF3D7_1402200,,"conserved Plasmodium protein, unknown function",Essential,0.08,8.7,0,0.06,0.11,3,PbGEM-297582
PBANKA_1039800,PBANKA_103980,PF3D7_1402100,,"conserved Plasmodium protein, unknown function",Dispensable,0.95,5.3,0.005,0.81,1.1,2,PbGEM-334603
PBANKA_1040000,PBANKA_104000,PF3D7_1401900,,"conserved Plasmodium protein, unknown function",Dispensable,0.96,4.7,0.009,0.77,1.16,2,PbGEM-334611
PBANKA_1040100,PBANKA_104010,PF3D7_1401800,CK,choline kinase,Slow,0.16,7.1,0.001,0.1,0.22,2,PbGEM-342540
PBANKA_1040200,PBANKA_104020,,,BIR protein;PIR protein,Dispensable,0.88,4.8,0.009,0.7,1.07,2,PbGEM-297662
PBANKA_1040300,PBANKA_104030,,,fam-b protein,Slow,0.68,4.6,0.01,0.48,0.88,1,PbGEM-297678
PBANKA_1100700,PBANKA_110070,,,fam-a protein,Essential,0.39,3.3,0.036,0.01,0.77,1,PbGEM-535635
PBANKA_1100900,PBANKA_110090,,,fam-a protein,Dispensable,0.95,4.7,0.009,0.76,1.13,1,PbGEM-297805
PBANKA_1101000,PBANKA_110100,,,fam-a protein,Dispensable,1.1,5.3,0.005,0.96,1.24,2,PbGEM-297821
PBANKA_1101300,PBANKA_110130,,,"conserved rodent malaria protein, unknown function",Slow,0.5,4.7,0.009,0.31,0.69,2,PbGEM-456598
PBANKA_1101400,PBANKA_110140,,RAP2/3,rhoptry-associated protein 2/3,Slow,0.73,6.3,0.002,0.64,0.82,3,PbGEM-334659
PBANKA_1101500,PBANKA_110150,PF3D7_0501700,,"anaphase-promoting complex subunit, putative",Dispensable,1,5.1,0.006,0.84,1.16,1,PbGEM-334667
PBANKA_1101700,PBANKA_110170,PF3D7_0501900,,"conserved protein, unknown function",Slow,0.79,4.7,0.009,0.6,0.98,2,PbGEM-297933
PBANKA_1102000,PBANKA_110200,PF3D7_0502200,,"conserved Plasmodium protein, unknown function",Essential,0.07,7.7,0,0.02,0.11,2,PbGEM-297989
PBANKA_1102200,PBANKA_110220,PF3D7_0502400,MSP8,merozoite surface protein 8,Dispensable,0.86,4.8,0.008,0.68,1.04,1,PbGEM-298005
PBANKA_1102300,PBANKA_110230,PF3D7_0502600,,"conserved Plasmodium protein, unknown function",Dispensable,0.91,5.4,0.005,0.77,1.04,2,PbGEM-334675
PBANKA_1102800,PBANKA_110280,PF3D7_0503100,IspE,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative",Essential,0.13,5.1,0.006,-0.03,0.28,2,PbGEM-298117
PBANKA_1102900,PBANKA_110290,PF3D7_0503200,,"conserved Plasmodium protein, unknown function",Essential,0.23,4.8,0.008,0.05,0.4,2,PbGEM-298133
PBANKA_1103000,PBANKA_110300,PF3D7_0503300,SRSF12,"serine/arginine-rich splicing factor 12, putative",Essential,0.14,4.4,0.012,-0.08,0.36,2,PbGEM-244820
PBANKA_1103100,PBANKA_110310,PF3D7_0503400,ADF1,actin-depolymerizing factor 1,Essential,0.09,5.9,0.003,-0.01,0.2,2,PbGEM-298157
PBANKA_1103200,PBANKA_110320,PF3D7_0503500,,"protein kinase, putative",Dispensable,1.01,6.4,0.002,0.93,1.09,1,PbGEM-264084
PBANKA_1103300,PBANKA_110330,PF3D7_0503600,MyoB,myosin B,Dispensable,0.99,6.4,0.002,0.91,1.07,2,PbGEM-298173
PBANKA_1103400,PBANKA_110340,PF3D7_0503800,RPL31,"60S ribosomal protein L31, putative",Essential,0.1,6.4,0.002,0.02,0.18,2,PbGEM-334707
PBANKA_1103500,PBANKA_110350,PF3D7_0503900,,"conserved Plasmodium protein, unknown function",Essential,0.09,8,0,0.05,0.12,2,PbGEM-334715
PBANKA_1103600,PBANKA_110360,PF3D7_0504000,ATPase3,"cation transporting P-ATPase, putative",Essential,0.01,7.6,0,-0.03,0.05,2,PbGEM-342548
PBANKA_1103800,PBANKA_110380,PF3D7_0504200,DDX27,"ATP-dependent RNA helicase DDX27, putative",Essential,0.13,6.6,0.001,0.06,0.21,2,PbGEM-245058
PBANKA_1103900,PBANKA_110390,PF3D7_0504300,,"conserved Plasmodium protein, unknown function",Dispensable,1.03,6.4,0.002,0.95,1.11,1,PbGEM-298253
PBANKA_1104000,PBANKA_110400,PF3D7_0504400,,"ATP-dependent helicase, putative",Essential,0.09,4.1,0.017,-0.17,0.35,2,PbGEM-245127
PBANKA_1104100,PBANKA_110410,PF3D7_0504500,,"conserved Plasmodium protein, unknown function",Dispensable,0.94,6.6,0.001,0.87,1.02,1,PbGEM-334747
