GeneId	ProductDescription	TranscriptLength	ProteinLength	MolecularWeight
PBANKA_1321300.1	"conserved Plasmodium protein, unknown function"	1629	542	64823
PBANKA_0606100.1	"tRNA delta(2)-isopentenylpyrophosphate transferase, putative"	1644	547	64865
PBANKA_0820900.1	"long chain fatty acid elongation enzyme, putative"	1632	543	64900
PBANKA_0519800.1	"acetyl-CoA transporter, putative"	1674	557	64941
PBANKA_1460700.1	dipeptidyl aminopeptidase 2	1668	555	64942
PBANKA_1027000.1	"serine C-palmitoyltransferase, putative"	1710	569	65080
PBANKA_1335800.1	"protein disulfide-isomerase, putative"	1632	543	65082
PBANKA_1351500.1	calcium-dependent protein kinase 5	1689	562	65107
PBANKA_1232700.1	"zinc finger protein, putative"	1689	562	65122
PBANKA_1211400.1	"zinc finger protein, putative"	1665	554	65179
PBANKA_0301600.1	"conserved Plasmodium protein, unknown function"	1677	558	65194
PBANKA_0506700.1	"citrate synthase, mitochondrial, putative"	1701	566	65199
PBANKA_1345900.1	"protein kinase, putative"	1644	547	65207
PBANKA_1210000.1	"conserved Plasmodium protein, unknown function"	1641	546	65225
PBANKA_1445500.1	"pre-mRNA-splicing regulator, putative"	1620	539	65234
PBANKA_1104900.1	"UDP-N-acetylglucosamine transporter, putative"	1647	548	65300
PBANKA_1439300.1	"conserved Plasmodium protein, unknown function"	1656	551	65316
PBANKA_1010200.1	"methionine aminopeptidase 2, putative"	1716	571	65364
PBANKA_1351200.1	"conserved Plasmodium protein, unknown function"	1641	546	65368
PBANKA_1449000.1	"aspartyl protease, putative"	1734	577	65381
PBANKA_0502900.1	"conserved Plasmodium protein, unknown function"	1641	546	65393
PBANKA_0313300.1	MtN3-like protein	1743	580	65396
PBANKA_0212800.1	"alpha/beta hydrolase, putative"	1686	561	65401
PBANKA_1304900.1	"cytoplasmic tRNA 2-thiolation protein 2, putative"	1674	557	65415
PBANKA_1313200.1	"transcription factor with AP2 domain(s), putative"	1695	564	65506
PBANKA_0831900.1	"nucleolar protein Nop52, putative"	1641	546	65509
PBANKA_0203800.1	"phenylalanine--tRNA ligase alpha subunit, putative"	1668	555	65580
PBANKA_1134800.1	"zinc finger protein, putative"	1716	571	65583
PBANKA_1010500.1	"Hsp70/Hsp90 organizing protein, putative"	1680	559	65643
PBANKA_0519400.1	"conserved Plasmodium protein, unknown function"	1794	597	65656
PBANKA_0818100.1	"N-glycosylase/DNA lyase, putative"	1683	560	65658
PBANKA_1000700.1	"regulator of chromosome condensation, putative"	1695	564	65689
PBANKA_0209400.1	"L-seryl-tRNA(Sec) kinase, putative"	1623	540	65698
PBANKA_1359400.1	"conserved Plasmodium protein, unknown function"	1683	560	65701
PBANKA_0411300.1	"conserved Plasmodium protein, unknown function"	1689	562	65713
PBANKA_0208100.1	"RAP protein, putative"	1671	556	65718
PBANKA_0311200.1	"conserved Plasmodium protein, unknown function"	1686	561	65767
PBANKA_1426400.1	"mitochondrial carrier protein, putative"	1659	552	65792
PBANKA_1242900.1	"conserved Plasmodium protein, unknown function"	1689	562	65801
PBANKA_1027600.1	"conserved Plasmodium protein, unknown function"	1692	563	65822
PBANKA_1228700.1	"nucleolar protein 10, putative"	1704	567	65957
PBANKA_1349800.1	thrombospondin-related anonymous protein	1821	606	65958
PBANKA_1337400.1	"adenosine-diphosphatase, putative"	1674	557	65971
PBANKA_1031200.1	"conserved Plasmodium protein, unknown function"	1710	569	66033
PBANKA_1403900.1	"AAR2 protein, putative"	1677	558	66103
PBANKA_0503900.1	"conserved Plasmodium protein, unknown function"	1698	565	66144
PBANKA_0608800.1	"conserved Plasmodium protein, unknown function"	1656	551	66151
PBANKA_0913400.1	protein phosphatase PPM8	1734	577	66193
PBANKA_1431700.1	"serine--tRNA ligase, putative"	1707	568	66221
PBANKA_0513200.1	"WD repeat-containing protein, putative"	1698	565	66234
PBANKA_0713400.1	"phosphatase, putative"	1659	552	66261
PBANKA_1002700.1	"ATP-dependent RNA helicase DDX51, putative"	1692	563	66268
PBANKA_1363700.1	"transcription factor with AP2 domain(s), putative"	1692	563	66274
PBANKA_0405900.1	"conserved Plasmodium protein, unknown function"	1671	556	66284
PBANKA_0826100.1	"proline--tRNA ligase, putative"	1668	555	66324
PBANKA_0834800.1	"histidine--tRNA ligase, putative"	1662	553	66327
PBANKA_1454700.1	"conserved Plasmodium protein, unknown function"	1662	553	66337
PBANKA_1460300.1	"GPI mannosyltransferase 2, putative"	1650	549	66362
PBANKA_1032600.1	"cytidine diphosphate-diacylglycerol synthase, putative"	1704	567	66363
PBANKA_0407600.1	asparagine synthetase [glutamine-hydrolyzing]	1746	581	66378
PBANKA_0308600.1	"asparagine--tRNA ligase, putative"	1728	575	66453
PBANKA_1119700.1	"cleavage stimulation factor subunit 1, putative"	1722	573	66468
PBANKA_1133500.1	glutamate--tRNA ligase	1683	560	66469
PBANKA_0216000.1	PIR protein	1713	570	66480
PBANKA_1030800.1	"methyltransferase, putative"	1662	553	66500
PBANKA_0104900.1	"RNA-binding protein, putative"	1701	566	66507
PBANKA_1428500.1	"glycerol-3-phosphate 1-O-acyltransferase, putative"	1752	583	66562
PBANKA_1429200.1	"conserved Plasmodium protein, unknown function"	1752	583	66568
PBANKA_0810800.1	"conserved Plasmodium protein, unknown function"	1689	562	66628
PBANKA_0303000.1	"conserved Plasmodium protein, unknown function"	1704	567	66706
PBANKA_1002500.1	"conserved Plasmodium protein, unknown function"	1707	568	66722
PBANKA_1228800.1	"protein kinase, putative"	1710	569	66745
PBANKA_0512800.1	"merozoite TRAP-like protein, putative"	1857	618	66778
PBANKA_1131500.1	"conserved Plasmodium protein, unknown function"	1680	559	66814
PBANKA_0512600.1	"conserved Plasmodium protein, unknown function"	1713	570	66850
PBANKA_0942300.1	"radial spoke head protein, putative"	1710	569	66929
PBANKA_0603800.1	"O-phosphoseryl-tRNA(Sec) selenium transferase, putative"	1746	581	66934
PBANKA_0936400.1	"conserved Plasmodium protein, unknown function"	1662	553	66959
PBANKA_1333900.1	"conserved Plasmodium protein, unknown function"	1734	577	67026
PBANKA_1036700.1	"COBW domain-containing protein 1, putative"	1737	578	67042
PBANKA_0909500.1	"AAA family ATPase, putative"	1743	580	67081
PBANKA_1356600.1	"UDP-N-acetylglucosamine pyrophosphorylase, putative"	1716	571	67112
PBANKA_1362900.1	"lysine--tRNA ligase, putative"	1737	578	67151
PBANKA_1110900.1	"conserved Plasmodium protein, unknown function"	1710	569	67163
PBANKA_0813800.1	"tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative"	1725	574	67256
PBANKA_0943400.1	CPW-WPC family protein	1758	585	67265
PBANKA_1107100.1	subtilisin-like protease 1	1800	599	67312
PBANKA_1216200.1	"diacylglycerol O-acyltransferase, putative"	1683	560	67315
PBANKA_1035800.1	"pentatricopeptide repeat domain-containing protein, putative"	1728	575	67355
PBANKA_1340600.1	"conserved Plasmodium protein, unknown function"	1719	572	67396
PBANKA_1465821.1	PIR protein	1773	590	67496
PBANKA_0710500.1	"conserved Plasmodium protein, unknown function"	1701	566	67544
PBANKA_0703000.1	"magnesium transporter, putative"	1734	577	67564
PBANKA_0942400.1	"WD repeat-containing protein, putative"	1764	587	67627
PBANKA_0110400.1	"eukaryotic translation initiation factor 3 subunit L, putative"	1707	568	67669
PBANKA_1365000.1	"conserved Plasmodium protein, unknown function"	1674	557	67729
PBANKA_1040561.1	PIR protein	1755	584	67754
PBANKA_0811800.1	"actin-like protein, putative"	1725	574	67759
PBANKA_1400061.1	PIR protein	1755	584	67768
PBANKA_1417100.1	"conserved Plasmodium protein, unknown function"	1725	574	67773
PBANKA_1204100.1	"conserved Plasmodium protein, unknown function"	1704	567	67797
PBANKA_1129700.1	"ATP-dependent RNA helicase HAS1, putative"	1776	591	67799
PBANKA_0709200.1	"clp1-related protein, putative"	1743	580	67820
PBANKA_0512100.1	"methyltransferase, putative"	1734	577	67840
PBANKA_1345500.1	"conserved Plasmodium protein, unknown function"	1731	576	67933
PBANKA_0514600.1	"tRNA N6-adenosine threonylcarbamoyltransferase, putative"	1743	580	67942
PBANKA_0112500.1	"major facilitator superfamily-related transporter, putative"	1800	599	68026
PBANKA_1008800.1	"glucose-6-phosphate isomerase, putative"	1761	586	68074
PBANKA_1117600.1	"conserved Plasmodium protein, unknown function"	1710	569	68081
PBANKA_1363200.1	"ubiquitin-activating enzyme E1, putative"	1710	569	68130
PBANKA_1210900.1	"phosphoglucomutase, putative"	1782	593	68160
PBANKA_1464700.1	"tryptophan--tRNA ligase, putative"	1719	572	68197
PBANKA_0923800.1	pyruvate dehydrogenase E1 component subunit alpha	1770	589	68230
PBANKA_1345700.1	"GPI transamidase subunit PIG-U, putative"	1719	572	68320
PBANKA_1410400.1	"V-type proton ATPase catalytic subunit A, putative"	1836	611	68350
PBANKA_1451000.1	"conserved Plasmodium protein, unknown function"	1704	567	68367
PBANKA_1127400.1	"conserved Plasmodium protein, unknown function"	1710	569	68400
PBANKA_1023300.1	"YTH domain-containing protein, putative"	1755	584	68441
PBANKA_0719900.1	cdc2-related protein kinase 1	1737	578	68472
PBANKA_0925000.1	"RING zinc finger protein, putative"	1773	590	68475
PBANKA_1106800.1	"subtilisin-like protease 3, putative"	1779	592	68497
PBANKA_1434200.1	"arginine--tRNA ligase, putative"	1767	588	68501
PBANKA_1464600.1	"conserved Plasmodium protein, unknown function"	1725	574	68515
PBANKA_1100900.1	fam-a protein	1830	609	68549
PBANKA_0402400.1	"IBR domain protein, putative"	1722	573	68566
PBANKA_0935000.1	"conserved Plasmodium protein, unknown function"	1773	590	68626
PBANKA_0409800.1	"conserved protein, unknown function"	1719	572	68784
PBANKA_0814300.1	"conserved Plasmodium protein, unknown function"	1764	587	68807
PBANKA_1229300.1	"conserved Plasmodium protein, unknown function"	1704	567	68832
PBANKA_1116100.1	"conserved protein, unknown function"	1776	591	68843
PBANKA_0719300.1	"bifunctional dihydrofolate reductase-thymidylate synthase, putative"	1764	587	68883
PBANKA_API00160.1	"RNA polymerase beta subunit, putative"	1725	574	68897
PBANKA_1307100.1	"conserved Plasmodium protein, unknown function"	1749	582	68930
PBANKA_0203750.1	"phosphatidate cytidylyltransferase, putative"	1758	585	68959
PBANKA_0921800.1	"steryl ester hydrolase, putative"	1779	592	69031
PBANKA_1106500.1	rhomboid protease ROM4	1827	608	69042
PBANKA_1227200.1	"peptidyl-prolyl cis-trans isomerase, putative"	1749	582	69229
PBANKA_1115700.1	"kinetochore protein NDC80, putative"	1770	589	69252
PBANKA_1224900.1	"conserved Plasmodium protein, unknown function"	1749	582	69282
PBANKA_0521400.1	"serine/threonine protein kinase RIO2, putative"	1767	588	69290
PBANKA_1142800.1	"conserved Plasmodium protein, unknown function"	1809	602	69365
PBANKA_1007000.1	"chaperone protein DnaJ, putative"	1869	622	69442
PBANKA_1309100.1	"mitochondrial ribosomal protein S29 precursor, putative"	1749	582	69511
PBANKA_1106300.1	"GTPase-activating protein, putative"	1752	583	69560
PBANKA_0825600.1	"splicing factor 3A subunit 3, putative"	1731	576	69572
PBANKA_1431600.1	"serpentine receptor, putative"	1779	592	69592
PBANKA_1122500.1	"conserved Plasmodium protein, unknown function"	1833	610	69595
PBANKA_1131400.1	metacaspase 1	1788	595	69603
PBANKA_1443300.1	"merozoite surface protein 9, putative"	1857	618	69608
PBANKA_1103500.1	"conserved Plasmodium protein, unknown function"	1755	584	69618
PBANKA_1018300.1	"dynein-associated protein, putative"	1779	592	69652
PBANKA_1111400.1	"inositol-3-phosphate synthase, putative"	1824	607	69671
PBANKA_0620100.1	"U3 small nucleolar RNA-associated protein 7, putative"	1812	603	69717
PBANKA_0912500.1	"conserved Plasmodium protein, unknown function"	1800	599	69794
PBANKA_1016500.1	"WW domain-binding protein 11, putative"	1782	593	69811
PBANKA_1336700.1	"conserved Plasmodium protein, unknown function"	1824	607	69862
PBANKA_1465600.1	PIR protein	1827	608	69923
PBANKA_0400100.1	PIR protein	1827	608	69977
PBANKA_1207600.1	"conserved Plasmodium protein, unknown function"	1767	588	70041
PBANKA_0705900.1	"lipase maturation factor, putative"	1752	583	70050
PBANKA_1020300.1	"ankyrin, putative"	1806	601	70060
PBANKA_0505400.1	"conserved Plasmodium protein, unknown function"	1761	586	70067
PBANKA_1144100.1	"ABC transporter E family member 1, putative"	1860	619	70141
PBANKA_1427100.1	"aquaporin, putative"	1788	595	70185
PBANKA_1214600.1	"Rab3 GTPase-activating protein non-catalytic subunit, putative"	1791	596	70263
PBANKA_0710600.1	"phosphatidylglycerophosphate synthase, putative"	1791	596	70305
PBANKA_0904000.1	"conserved Plasmodium protein, unknown function"	1791	596	70425
PBANKA_0831300.1	"peptidyl-prolyl cis-trans isomerase, putative"	1782	593	70429
PBANKA_0518200.1	"flavoprotein subunit of succinate dehydrogenase, putative"	1896	631	70445
PBANKA_1400200.1	PIR protein	1830	609	70462
PBANKA_0518100.1	"thioredoxin-like associated protein 2, putative"	1797	598	70487
PBANKA_0943900.1	PIR protein	1827	608	70500
PBANKA_0108000.1	"mitochondrial cardiolipin synthase, putative"	1809	602	70512
PBANKA_1433900.1	"AP-2 complex subunit mu, putative"	1803	600	70529
PBANKA_1013300.1	mitogen-activated protein kinase 1	1800	599	70533
PBANKA_0716700.1	"GTP-binding protein, putative"	1806	601	70577
PBANKA_0909400.1	"conserved Plasmodium protein, unknown function"	1785	594	70648
PBANKA_1211700.1	"conserved Plasmodium protein, unknown function"	1800	599	70671
PBANKA_1032100.1	"rhoptry-associated protein 1, putative"	1815	604	70686
PBANKA_0708800.1	"mitochondrial ribosomal protein L4 precursor, putative"	1800	599	70687
PBANKA_0612700.1	"conserved Plasmodium protein, unknown function"	1782	593	70700
PBANKA_1128300.1	"amino acid transporter, putative"	1845	614	70729
PBANKA_1321000.1	"conserved Plasmodium protein, unknown function"	1776	591	70786
PBANKA_1227000.1	"SF-assemblin, putative"	1827	608	70925
PBANKA_1324500.1	"snRNA-activating protein complex subunit 3, putative"	1803	600	70926
PBANKA_1424500.1	"conserved Plasmodium protein, unknown function"	1806	601	70934
PBANKA_1301700.1	"splicing factor 3A subunit 1, putative"	1809	602	70939
PBANKA_1118900.1	"conserved Plasmodium protein, unknown function"	1794	597	70998
PBANKA_0505700.1	"ATP-dependent RNA helicase ROK1, putative"	1830	609	71006
PBANKA_1029300.1	"30S ribosomal protein S9, putative"	1794	597	71058
PBANKA_0701900.1	"GPI-anchored micronemal antigen, putative"	1878	625	71063
PBANKA_0404800.1	"FAD-dependent glycerol-3-phosphate dehydrogenase, putative"	1884	627	71138
PBANKA_1203800.1	"DnaJ protein, putative"	1764	587	71157
PBANKA_0939800.1	"nucleic acid binding protein, putative"	1812	603	71213
PBANKA_1002000.1	"conserved Plasmodium protein, unknown function"	1842	613	71288
PBANKA_0401000.1	"pre-mRNA-splicing factor PRP46, putative"	1857	618	71342
PBANKA_0515700.1	"conserved Plasmodium protein, unknown function"	1803	600	71392
PBANKA_0824700.1	"thioredoxin reductase, putative"	1929	642	71400
PBANKA_0722921.1	PIR protein	1893	630	71413
PBANKA_0104300.1	"cyclin dependent kinase binding protein, putative"	1797	598	71429
PBANKA_1014500.1	"plasmepsin IX, putative"	1824	607	71451
PBANKA_0505000.1	"dihydrolipoamide acyltransferase, putative"	1875	624	71481
PBANKA_1031600.1	"ribosome maturation protein SBDS, putative"	1854	617	71485
PBANKA_1441500.1	"U3 small nucleolar RNA-interacting protein 2, putative"	1845	614	71517
PBANKA_1300061.1	PIR protein	1884	627	71560
PBANKA_1246921.1	PIR protein	1884	627	71574
PBANKA_1466201.1	PIR protein	1884	627	71574
PBANKA_0825000.1	"conserved Plasmodium protein, unknown function"	1791	596	71650
PBANKA_1324800.1	"conserved Plasmodium protein, unknown function"	1830	609	71734
PBANKA_1356900.1	"U4/U6 small nuclear ribonucleoprotein PRP4, putative"	1848	615	71804
PBANKA_1242500.1	"ATP-dependent RNA helicase DDX41, putative"	1899	632	71847
PBANKA_0918800.1	"rRNA (cytosine-C(5))-methyltransferase, putative"	1854	617	71966
PBANKA_0919400.1	"conserved Plasmodium protein, unknown function"	1833	610	71977
PBANKA_1337000.1	"conserved Plasmodium protein, unknown function"	1836	611	71987
PBANKA_1426100.1	"conserved protein, unknown function"	1830	609	72001
PBANKA_0800500.1	chitinase	1947	648	72002
PBANKA_1336300.1	"GTPase-activating protein, putative"	1824	607	72069
PBANKA_0100400.1	"reticulocyte binding protein, putative"	1842	613	72085
PBANKA_1309900.1	"M17 leucyl aminopeptidase, putative"	1908	635	72092
PBANKA_1446700.1	"phenylalanine--tRNA ligase, putative"	1827	608	72106
PBANKA_0208400.1	"major facilitator superfamily-related transporter, putative"	1875	624	72115
PBANKA_0818900.1	"heat shock protein 70, putative"	1956	651	72146
PBANKA_1124500.1	"poly(A) polymerase PAP, putative"	1842	613	72154
PBANKA_1416100.1	"conserved Plasmodium protein, unknown function"	1836	611	72189
PBANKA_0829600.1	"serine/threonine protein kinase, putative"	1803	600	72205
PBANKA_0216761.1	"reticulocyte binding protein, putative"	1839	612	72334
PBANKA_0722100.1	"PIR protein, pseudogene"	1884	627	72428
PBANKA_1209700.1	"protein ARV1, putative"	1800	599	72448
PBANKA_1235000.1	"conserved Plasmodium protein, unknown function"	1827	608	72463
PBANKA_0300600.1	"Plasmodium exported protein, unknown function"	1953	650	72473
PBANKA_1000500.1	"conserved rodent malaria protein, unknown function"	1911	636	72474
PBANKA_0806800.1	"conserved Plasmodium protein, unknown function"	1839	612	72496
PBANKA_1239800.1	"zinc finger protein, putative"	1944	647	72512
PBANKA_0109900.1	"conserved Plasmodium protein, unknown function"	1854	617	72516
PBANKA_0918700.1	"A/G-specific adenine glycosylase, putative"	1851	616	72529
PBANKA_0712700.1	"zinc finger protein, putative"	1839	612	72568
PBANKA_0942900.1	"phenylalanine--tRNA ligase beta subunit, putative"	1878	625	72639
PBANKA_0406100.1	"conserved Plasmodium protein, unknown function"	1851	616	72737
PBANKA_1120400.1	"inner membrane complex protein 1j, putative"	1872	623	72757
PBANKA_1005500.1	"AAA family ATPase, putative"	1875	624	72760
PBANKA_1435300.1	"pre-mRNA-processing factor 17, putative"	1881	626	72765
PBANKA_0610800.1	"eukaryotic initiation factor 2a, putative"	1893	630	72943
PBANKA_0402000.1	"palmitoyltransferase DHHC1, putative"	1836	611	73032
PBANKA_0836981.1	PIR protein	1935	644	73102
PBANKA_1323800.1	"kelch domain-containing protein, putative"	1863	620	73116
PBANKA_1039600.1	"26S proteasome regulatory subunit RPN6, putative"	1869	622	73144
PBANKA_0914400.1	"heat shock protein 70, putative"	1992	663	73165
PBANKA_1448900.1	"DNA polymerase epsilon subunit B, putative"	1872	623	73233
PBANKA_1352400.1	"conserved Plasmodium protein, unknown function"	1890	629	73234
PBANKA_1123300.1	"conserved Plasmodium protein, unknown function"	1857	618	73235
PBANKA_0505600.1	"endomembrane protein 70, putative"	1860	619	73268
PBANKA_1309800.1	"conserved Plasmodium protein, unknown function"	1854	617	73328
PBANKA_0411500.1	"conserved Plasmodium protein, unknown function"	1830	609	73330
PBANKA_0913600.1	"conserved Plasmodium protein, unknown function"	1863	620	73330
PBANKA_1111800.1	glutathione synthetase	1878	625	73334
PBANKA_1110300.1	"WD repeat-containing protein, putative"	1911	636	73471
PBANKA_1351400.1	"conserved Plasmodium protein, unknown function"	1851	616	73472
PBANKA_1205500.1	"RING zinc finger protein, putative"	1896	631	73474
PBANKA_0940700.1	"conserved Plasmodium protein, unknown function"	1857	618	73540
PBANKA_0914800.1	"conserved Plasmodium protein, unknown function"	1839	612	73649
PBANKA_0810300.1	"conserved Plasmodium protein, unknown function"	1827	608	73741
PBANKA_1420700.1	"conserved Plasmodium protein, unknown function"	1857	618	73757
PBANKA_0819500.1	"ATP-dependent DNA helicase Q1, putative"	1902	633	73780
PBANKA_1459200.1	delta-aminolevulinic acid synthetase	1923	640	73840
PBANKA_1451600.1	"SUMO-activating enzyme subunit 2, putative"	1905	634	73841
PBANKA_0506400.1	"conserved Plasmodium membrane protein, unknown function"	1872	623	73893
PBANKA_1327400.1	"YL1 nuclear protein, putative"	1857	618	73899
PBANKA_0830100.1	"conserved Plasmodium protein, unknown function"	1830	609	73992
PBANKA_1114600.1	"pre-mRNA-splicing factor CWC2, putative"	1941	646	74003
PBANKA_1415200.1	"conserved Plasmodium protein, unknown function"	1884	627	74067
PBANKA_1031300.1	rhomboid protease ROM8	1911	636	74088
PBANKA_0517800.1	"Sec1 family protein, putative"	1929	642	74092
PBANKA_0933300.1	"conserved Plasmodium protein, unknown function"	1842	613	74133
PBANKA_1024000.1	"thioredoxin-like protein, putative"	1887	628	74167
PBANKA_1222100.1	"regulator of chromosome condensation, putative"	1953	650	74254
PBANKA_0814700.1	"conserved Plasmodium protein, unknown function"	1857	618	74318
PBANKA_0939200.1	"pescadillo homolog, putative"	1860	619	74378
PBANKA_1415500.1	"U4/U6.U5 tri-snRNP-associated protein 2, putative"	1929	642	74424
PBANKA_0303300.1	"conserved Plasmodium protein, unknown function"	1860	619	74425
PBANKA_1417400.1	"conserved Plasmodium protein, unknown function"	1938	645	74491
PBANKA_1216400.1	"mRNA-capping enzyme subunit beta, putative"	1920	639	74516
PBANKA_1232000.1	"conserved Plasmodium protein, unknown function"	1914	637	74522
PBANKA_0617900.1	"ferrodoxin reductase-like protein, putative"	1968	655	74616
PBANKA_0929400.1	"myosin light chain B, putative"	1890	629	74666
PBANKA_0705100.1	"protein KRI1, putative"	1893	630	74779
PBANKA_1234400.1	"zinc finger protein, putative"	1890	629	74857
PBANKA_1128900.1	"conserved Plasmodium protein, unknown function"	1944	647	74886
PBANKA_0713600.1	"conserved Plasmodium protein, unknown function"	1881	626	74972
PBANKA_1146761.1	PIR protein	1971	656	75020
PBANKA_1107200.1	"cell differentiation protein, putative"	2034	677	75026
PBANKA_0907000.1	"conserved Plasmodium protein, unknown function"	1899	632	75054
PBANKA_1300600.1	"bromodomain protein, putative"	1905	634	75112
PBANKA_0711900.1	heat shock protein 70	2082	693	75220
PBANKA_0909000.1	"carbonic anhydrase, putative"	1902	633	75225
PBANKA_1012100.1	"HP12 protein homolog, putative"	1929	642	75358
PBANKA_0706800.1	"DnaJ protein, putative"	1941	646	75395
PBANKA_0607800.1	"cytosolic iron-sulfur protein assembly protein 1, putative"	1920	639	75474
PBANKA_1018100.1	"ABC transporter G family member 2, putative"	1971	656	75478
PBANKA_0912400.1	"conserved Plasmodium protein, unknown function"	2034	677	75479
PBANKA_0109100.1	"transketolase, putative"	2013	670	75511
PBANKA_0903000.1	"ribosome assembly protein 4, putative"	1989	662	75535
PBANKA_0503100.1	"conserved Plasmodium protein, unknown function"	1905	634	75540
PBANKA_0804200.1	"conserved Plasmodium protein, unknown function"	1893	630	75585
PBANKA_1423100.1	"phospholipase, putative"	1911	636	75622
PBANKA_0830900.1	leucine-rich repeat protein	1914	637	75661
PBANKA_1305500.1	"acid cluster protein 33 homologue, putative"	1941	646	75668
PBANKA_1334400.1	"inorganic anion antiporter, putative"	2010	669	75726
PBANKA_0718100.1	glutamyl-tRNA(Gln) amidotransferase subunit A	1971	656	75739
PBANKA_0917100.1	"conserved Plasmodium protein, unknown function"	1887	628	75761
PBANKA_0837021.1	"PIR protein, pseudogene"	2007	668	75773
PBANKA_1109200.1	"asparagine--tRNA ligase, putative"	1941	646	75776
PBANKA_1025900.1	"lysine--tRNA ligase, putative"	1935	644	75779
PBANKA_0804600.1	"AAA family ATPase, putative"	1950	649	75832
PBANKA_0105200.1	"polypyrimidine tract-binding protein, putative"	1965	654	75841
PBANKA_0106000.1	"G-protein associated signal transduction protein, putative"	1902	633	75866
PBANKA_1407700.1	protein phosphatase PPM6	1968	655	75952
PBANKA_1455600.1	"queuine tRNA-ribosyltransferase, putative"	1959	652	75953
PBANKA_0936000.1	"endonuclease/exonuclease/phosphatase family protein, putative"	1944	647	75977
PBANKA_1320500.1	"V-type H(+)-translocating pyrophosphatase, putative"	2151	716	76116
PBANKA_0720400.1	"conserved Plasmodium protein, unknown function"	2004	667	76189
PBANKA_1214800.1	"U4/U6.U5 tri-snRNP-associated protein 1, putative"	1932	643	76209
PBANKA_1450100.1	"mRNA methyltransferase, putative"	1983	660	76327
PBANKA_0804500.1	"rhoptry-associated membrane antigen, putative"	1965	654	76426
PBANKA_0206400.1	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, putative"	1929	642	76433
PBANKA_1405800.1	"ATP-dependent RNA helicase DBP6, putative"	1968	655	76455
PBANKA_1444400.1	"conserved Plasmodium protein, unknown function"	1896	631	76499
PBANKA_0829000.1	"conserved Plasmodium protein, unknown function"	1899	632	76509
PBANKA_1236400.1	"nucleotide binding protein, putative"	1920	639	76512
PBANKA_1350700.1	"tryptophan--tRNA ligase, putative"	1989	662	76579
PBANKA_0112000.1	"syntaxin binding protein, putative"	1947	648	76589
PBANKA_0919700.1	"conserved Plasmodium protein, unknown function"	1956	651	76681
PBANKA_1445400.1	"protein transport protein SEC13, putative"	2064	687	76699
PBANKA_0939700.1	"conserved Plasmodium protein, unknown function"	1977	658	76732
PBANKA_1417500.1	"conserved Plasmodium protein, unknown function"	1950	649	76735
PBANKA_1464500.1	"ATP-dependent RNA helicase DRS1, putative"	1953	650	76741
PBANKA_1026300.1	"conserved Plasmodium protein, unknown function"	1950	649	76747
PBANKA_1411600.1	"methionyl-tRNA formyltransferase, putative"	1950	649	76748
PBANKA_1239900.1	"acyl-CoA synthetase, putative"	2025	674	76841
PBANKA_0504500.1	"cytoplasmic dynein intermediate chain, putative"	1980	659	76900
PBANKA_0911400.1	"CLPTM1 domain-containing protein, putative"	1947	648	76926
PBANKA_0613300.1	"conserved Plasmodium protein, unknown function"	1965	654	76976
PBANKA_1034900.1	"pre-mRNA-splicing factor 38B, putative"	1965	654	76976
PBANKA_1304600.1	adaptor complexes medium subunit family	2004	667	77005
PBANKA_0828100.1	"fumarate hydratase, putative"	2028	675	77036
PBANKA_0603700.1	"conserved Plasmodium protein, unknown function"	1989	662	77048
PBANKA_0919600.1	"CCR4-NOT transcription complex subunit 2, putative"	1998	665	77085
PBANKA_1336600.1	"conserved Plasmodium protein, unknown function"	1989	662	77158
PBANKA_1112100.1	"conserved Plasmodium protein, unknown function"	1944	647	77249
PBANKA_1322700.1	"ATP-dependent RNA helicase DBP5, putative"	2037	678	77265
PBANKA_1015200.1	"diphthamide biosynthesis protein 2, putative"	1977	658	77304
PBANKA_0714900.1	"dihydrolipoyl dehydrogenase, apicoplast, putative"	2058	685	77344
PBANKA_1424200.1	"conserved Plasmodium protein, unknown function"	1986	661	77345
PBANKA_0515400.1	"conserved Plasmodium protein, unknown function"	1971	656	77377
PBANKA_0832500.1	"PIH1 domain-containing protein, putative"	1962	653	77420
PBANKA_0515800.1	"ribosome maturation factor RimM, putative"	1971	656	77425
PBANKA_1429300.1	"integral membrane protein GPR180, putative"	1953	650	77496
PBANKA_1007600.1	"erythrocyte vesicle protein 1, putative"	1968	655	77506
PBANKA_0825300.1	"conserved Plasmodium protein, unknown function"	1965	654	77516
PBANKA_1146000.1	tryptophan-rich protein	1929	642	77579
PBANKA_0818500.1	"conserved Plasmodium protein, unknown function"	1998	665	77586
PBANKA_1325300.1	"splicing factor 3B subunit 2, putative"	2016	671	77612
PBANKA_1419300.1	"conserved Plasmodium protein, unknown function"	1992	663	77641
PBANKA_1417300.1	"translocation protein SEC63, putative"	2010	669	77763
PBANKA_1111500.1	"conserved Plasmodium protein, unknown function"	1944	647	77818
PBANKA_1038600.1	"conserved Plasmodium protein, unknown function"	1944	647	77976
PBANKA_1463300.1	"conserved Plasmodium protein, unknown function"	1953	650	77984
PBANKA_0409900.1	"conserved Plasmodium protein, unknown function"	1971	656	78029
