Stanway_2019_B1-MG_data_normalized,,,,,
Gene ID,gene_name,gene_product,Log2-FC,SD,Power
PBANKA_1107600,P38,6-cysteine protein,-0.251,0.080,not reduced
PBANKA_0929800,,"insulinase, putative",0.048,0.223,not reduced
PBANKA_0522300,,"conserved Plasmodium protein, unknown function",0.341,0.074,not reduced
PBANKA_0302100,,"conserved Plasmodium protein, unknown function",-0.895,0.121,no power
PBANKA_0937500,,"conserved Plasmodium protein, unknown function",0.119,0.131,not reduced
PBANKA_1234900,PPM9,protein phosphatase PPM9,-0.724,0.083,not reduced
PBANKA_0410500,,"transporter, putative",-1.128,0.178,no power
PBANKA_1346400,,"conserved Plasmodium protein, unknown function",0.025,0.088,not reduced
PBANKA_1316000,,"degradation in the ER (DER1) like protein, putative",0.100,0.135,not reduced
PBANKA_1322000,,"conserved Plasmodium protein, unknown function",-0.225,0.071,not reduced
PBANKA_0807200,,"conserved Plasmodium protein, unknown function",-0.980,0.232,no power
PBANKA_1211400,,"zinc finger protein, putative",0.154,0.158,not reduced
PBANKA_1012400,,"RNA methyltransferase, putative",-0.443,0.444,no power
PBANKA_1218300,,"CPW-WPC family protein, putative",-0.341,0.144,not reduced
PBANKA_1108900,,"conserved Plasmodium protein, unknown function",-0.419,0.146,not reduced
PBANKA_0801300,,"conserved Plasmodium protein, unknown function",0.792,0.127,not reduced
PBANKA_1311400,,"conserved Plasmodium protein, unknown function",-0.272,0.088,not reduced
PBANKA_1426100,,"conserved protein, unknown function",-0.089,0.070,not reduced
PBANKA_0212000,,"conserved Plasmodium protein, unknown function",-0.610,0.396,no power
PBANKA_1216900,DDX42,"ATP-dependent RNA helicase DDX42, putative",-0.612,0.051,not reduced
PBANKA_1129200,,"conserved Plasmodium protein, unknown function",-0.678,0.161,no power
PBANKA_0412400,,"zinc finger protein, putative",-0.407,0.072,not reduced
PBANKA_1244400,,"conserved Plasmodium protein, unknown function",-0.130,0.090,not reduced
PBANKA_0711300,,"conserved protein, unknown function",-0.509,0.129,not reduced
PBANKA_1214400,,"conserved Plasmodium protein, unknown function",-0.814,0.155,no power
PBANKA_0902000,,"dynein light chain, putative",-0.806,0.084,not reduced
PBANKA_0835700,,"conserved Plasmodium protein, unknown function",-0.342,0.116,not reduced
PBANKA_1101500,,"anaphase-promoting complex subunit, putative",-0.673,0.309,no power
PBANKA_1330900,,"conserved Plasmodium protein, unknown function",-0.459,0.124,not reduced
PBANKA_1361800,,"conserved Plasmodium protein, unknown function",-0.129,0.070,not reduced
PBANKA_0603900,HADO,HAD domain ookinete protein,0.126,0.111,not reduced
PBANKA_1434400,PSOP17,"secreted ookinete protein, putative",0.423,0.462,not reduced
PBANKA_1203600,,"conserved Plasmodium protein, unknown function",-0.266,0.114,not reduced
PBANKA_0708500,,"conserved Plasmodium protein, unknown function",-0.525,0.164,not reduced
PBANKA_1412300,,"conserved Plasmodium protein, unknown function",-0.740,0.269,no power
PBANKA_0905300,,"conserved Plasmodium protein, unknown function",-0.745,0.113,not reduced
PBANKA_1128900,,"conserved Plasmodium protein, unknown function",-0.225,0.068,not reduced
PBANKA_1211800,,"conserved Plasmodium protein, unknown function",0.040,0.171,not reduced
PBANKA_1034600,,"conserved Plasmodium protein, unknown function",0.025,0.204,not reduced
PBANKA_1116100,,"conserved Plasmodium protein, unknown function",-0.298,0.104,not reduced
PBANKA_0832100,,"conserved Plasmodium protein, unknown function",-0.550,0.118,not reduced
PBANKA_1435200,,"zinc finger protein, putative",-1.522,0.123,reduced
PBANKA_0714400,,"conserved Plasmodium protein, unknown function",-0.272,0.068,not reduced
PBANKA_1101400,RAP2/3,rhoptry-associated protein 2/3,0.018,0.098,not reduced
PBANKA_1106400,TCF25,"transcription factor 25, putative",-0.275,0.093,not reduced
PBANKA_0101500,,"conserved Plasmodium protein, unknown function",-0.789,0.068,not reduced
PBANKA_0609200,,"conserved Plasmodium protein, unknown function",-0.356,0.071,not reduced
PBANKA_1210400,,"E3 ubiquitin-protein ligase, putative",-0.704,0.195,no power
PBANKA_1009900,,"conserved Plasmodium protein, unknown function",-0.054,0.105,not reduced
PBANKA_0800300,,"conserved Plasmodium protein, unknown function",-0.468,0.131,not reduced
PBANKA_0916700,,"conserved Plasmodium protein, unknown function",-0.450,0.096,not reduced
PBANKA_0932600,,"conserved Plasmodium protein, unknown function",-0.370,0.054,not reduced
PBANKA_0929000,,"tRNA m(1)G methyltransferase, putative",-0.072,0.134,not reduced
PBANKA_1418600,,"conserved Plasmodium protein, unknown function",0.030,0.105,not reduced
PBANKA_1425300,,"trypsin-like serine protease, putative",-0.075,0.060,not reduced
PBANKA_1013900,,"conserved Plasmodium protein, unknown function",-0.170,0.088,not reduced
PBANKA_0934700,,"conserved Plasmodium protein, unknown function",-0.706,0.140,not reduced
PBANKA_1205700,,"conserved Plasmodium protein, unknown function",-0.104,0.108,not reduced
PBANKA_1109300,,"conserved Plasmodium protein, unknown function",-0.886,0.127,no power
PBANKA_0933600,,"dynein light chain 2, putative",-1.199,0.077,reduced
PBANKA_0515000,P25,25 kDa ookinete surface antigen precursor,0.009,0.067,not reduced
PBANKA_0303400,,"RNA-binding protein, putative",0.289,0.069,not reduced
PBANKA_0933500,ROM1,rhomboid protease ROM1,-0.987,0.070,no power
PBANKA_1358200,,"conserved Plasmodium protein, unknown function",-0.665,0.070,not reduced
PBANKA_1405000,,"conserved Plasmodium protein, unknown function",-0.018,0.562,no power
PBANKA_0702100,FT1,"folate transporter 1, putative",-0.381,0.077,not reduced
PBANKA_0802500,,"conserved Plasmodium protein, unknown function",0.048,0.128,not reduced
PBANKA_1002600,P41,6-cysteine protein,-0.134,0.070,not reduced
PBANKA_1463700,,"DNA repair protein rhp16, putative",-0.480,0.206,not reduced
PBANKA_1012100,,"conserved Plasmodium protein, unknown function",-0.709,0.294,no power
PBANKA_0906000,,"alpha/beta hydrolase, putative",-1.257,0.086,reduced
PBANKA_1304500,,"conserved Plasmodium protein, unknown function",-1.093,0.091,no power
PBANKA_1201100,,"conserved Plasmodium protein, unknown function",-0.334,0.101,not reduced
PBANKA_1408600,,"conserved Plasmodium protein, unknown function",-0.173,0.088,not reduced
PBANKA_0207300,,"conserved Plasmodium protein, unknown function",-0.106,0.149,not reduced
PBANKA_1407900,,"HORMA domain protein, putative",-0.242,0.123,not reduced
PBANKA_1006900,,"conserved Plasmodium protein, unknown function",-0.692,0.169,no power
PBANKA_0418500,,"Plasmodium exported protein, unknown function",0.148,0.095,not reduced
PBANKA_1323800,,"conserved Plasmodium protein, unknown function",-0.350,0.281,not reduced
PBANKA_0714300,HSP20,small heat shock protein HSP20,-0.094,0.101,not reduced
PBANKA_0913000,,"conserved Plasmodium protein, unknown function",-1.042,0.110,no power
PBANKA_1436300,,"conserved Plasmodium protein, unknown function",0.047,0.370,not reduced
PBANKA_1101000,,fam-a protein,-0.504,0.067,not reduced
PBANKA_1329000,,"conserved Plasmodium protein, unknown function",-1.022,0.213,no power
PBANKA_1002300,,"conserved Plasmodium protein, unknown function",0.700,0.461,not reduced
PBANKA_0819100,,"cytochrome b5, putative",0.638,0.121,not reduced
PBANKA_0902500,NFYB,"CCAAT-box DNA binding protein subunit B, putative",-1.310,0.173,no power
PBANKA_1027200,,"conserved Plasmodium protein, unknown function",-0.427,0.139,not reduced
PBANKA_0713300,,"protein kinase c inhibitor-like protein, putative",-0.740,0.058,not reduced
PBANKA_0705500,,"conserved Plasmodium protein, unknown function",-0.572,0.129,not reduced
PBANKA_1019100,,"DEAD/DEAH box helicase, putative",0.116,0.129,not reduced
PBANKA_1117600,,"conserved Plasmodium protein, unknown function",0.116,0.075,not reduced
PBANKA_1359700,P47,6-cysteine protein,-1.314,0.094,reduced
PBANKA_1342500,,"conserved Plasmodium protein, unknown function",-0.226,0.244,not reduced
PBANKA_0817600,,"methyltransferase, putative",-0.068,0.072,not reduced
PBANKA_0708200,,"conserved Plasmodium protein, unknown function",-0.949,0.075,no power
PBANKA_1243800,TIC22,"apicoplast TIC22 protein, putative",-0.294,0.072,not reduced
PBANKA_0313300,,MtN3-like protein,-0.932,0.088,no power
PBANKA_0519700,PhLP2,"phosducin-like protein, putative",-1.050,0.137,no power
PBANKA_1207100,,"Plasmodium exported protein, unknown function",-0.627,0.133,not reduced
PBANKA_0930100,,"conserved Plasmodium protein, unknown function",-0.253,0.075,not reduced
PBANKA_1361900,,"nucleoside diphosphate hydrolase, putative",1.490,0.835,not reduced
PBANKA_0413400,,"zinc finger protein, putative",-0.926,0.259,no power
PBANKA_0911000,,"calcium-binding protein, putative",-0.190,0.089,not reduced
PBANKA_0836600,,fam-b protein,-0.244,0.092,not reduced
PBANKA_0806400,,"conserved protein, unknown function",-0.115,0.148,not reduced
PBANKA_0712500,,"dynactin subunit 6, putative",-0.192,0.158,not reduced
PBANKA_0517000,ETRAMP10.2,early transcribed membrane protein,-0.726,0.191,no power
PBANKA_1138600,,"conserved Plasmodium protein, unknown function",-1.130,0.113,no power
PBANKA_0901500,,"conserved Plasmodium protein, unknown function",-0.142,0.066,not reduced
PBANKA_1207700,,"zinc finger protein, putative",-1.190,0.089,reduced
PBANKA_0104500,,"conserved Plasmodium protein, unknown function",-0.276,0.149,not reduced
PBANKA_1240200,,"G-protein coupled receptor, putative",0.076,0.527,not reduced
PBANKA_1001200,,"conserved Plasmodium protein, unknown function",-0.238,0.086,not reduced
PBANKA_0502000,,"conserved Plasmodium protein, unknown function",-0.082,0.073,not reduced
PBANKA_0916500,,"conserved Plasmodium protein, unknown function",0.353,0.337,not reduced
PBANKA_1402400,,"conserved Plasmodium protein, unknown function",-1.029,0.092,no power
PBANKA_0916000,,"conserved Plasmodium protein, unknown function",-0.949,0.113,no power
PBANKA_0716300,,"Rab5-interacting protein, putative",-0.650,0.112,not reduced
PBANKA_1458700,,"conserved Plasmodium protein, unknown function",-0.014,0.137,not reduced
PBANKA_0832000,Sel2,"selenoprotein, putative",-0.596,0.123,not reduced
PBANKA_1310700,,"glutaminyl-peptide cyclotransferase, putative",-0.528,0.049,not reduced
PBANKA_0512700,,"conserved Plasmodium protein, unknown function",-0.555,0.070,not reduced
PBANKA_1364400,IMC1f,"inner membrane complex protein 1f, putative",-0.217,0.081,not reduced
PBANKA_0007401,,NA,-0.640,0.281,no power
PBANKA_1236400,,"nucleotide binding protein, putative",-1.276,0.104,reduced
PBANKA_1462200,PPM4,protein phosphatase PPM4,-0.137,0.105,not reduced
PBANKA_0820200,TrxL1,"thioredoxin-like protein 1, putative",-0.384,0.103,not reduced
PBANKA_1202300,,"conserved Plasmodium protein, unknown function",-1.003,0.087,no power
PBANKA_1144300,,"conserved Plasmodium protein, unknown function",-0.275,0.462,no power
PBANKA_1431400,,"conserved Plasmodium protein, unknown function",-0.044,0.222,not reduced
PBANKA_0708100,DLC1,dynein light chain 1,-0.779,0.142,no power
PBANKA_0622000,,"conserved Plasmodium protein, unknown function",-1.130,0.111,no power
PBANKA_0211400,DNMT,"DNA (cytosine-5)-methyltransferase, putative",-0.310,0.089,not reduced
PBANKA_0508300,,"conserved Plasmodium protein, unknown function",-0.333,0.160,not reduced
PBANKA_0811200,,"SET domain protein, putative",-0.052,0.077,not reduced
PBANKA_1002500,,"conserved Plasmodium protein, unknown function",-0.396,0.126,not reduced
PBANKA_0213300,AOP,"1-cys peroxiredoxin, putative",0.024,0.059,not reduced
PBANKA_1301900,,"DNA repair metallo-beta-lactamase protein, putative",-0.270,0.080,not reduced
PBANKA_1442800,LRR13,leucine-rich repeat protein,-0.214,0.328,not reduced
PBANKA_0402200,Plrx,plasmoredoxin,-0.016,0.069,not reduced
PBANKA_1030100,,actin II,-0.764,0.267,no power
PBANKA_0721000,,"conserved Plasmodium protein, unknown function",-0.103,0.134,not reduced
PBANKA_1007900,,"conserved Plasmodium protein, unknown function",-0.884,0.157,no power
PBANKA_0711200,,"conserved Plasmodium protein, unknown function",-0.839,0.137,no power
PBANKA_0718700,,"CDGSH iron-sulfur domain-containing protein, putative",-0.401,0.101,not reduced
PBANKA_0614900,,"conserved Plasmodium protein, unknown function",0.136,0.082,not reduced
PBANKA_0911500,AEP,"apical exonemal protein, putative",-0.303,0.078,not reduced
PBANKA_0608800,,"conserved Plasmodium protein, unknown function",0.079,0.160,not reduced
PBANKA_1227500,,"conserved Plasmodium protein, unknown function",-0.667,0.163,not reduced
PBANKA_1430300,,"conserved Plasmodium protein, unknown function",0.119,0.668,no power
PBANKA_0209200,PIESP15,parasite-infected erythrocyte surface protein,-0.323,0.400,no power
PBANKA_0518100,TLAP2,"thioredoxin-like associated protein 2, putative",-0.143,0.118,not reduced
PBANKA_1026300,,"conserved Plasmodium protein, unknown function",-0.074,0.209,not reduced
PBANKA_1005500,,"AAA family ATPase, putative",-0.167,0.688,no power
PBANKA_0836800,EMAP1,fam-a protein,-0.266,0.145,not reduced
PBANKA_0402400,,"IBR domain protein, putative",0.540,0.225,not reduced
PBANKA_1364100,,"conserved Plasmodium protein, unknown function",-0.242,0.129,not reduced
PBANKA_1212200,,"conserved Plasmodium protein, unknown function",0.045,0.108,not reduced
PBANKA_0507200,,"conserved Plasmodium protein, unknown function",-0.686,0.134,not reduced
PBANKA_0515350,,"OTU-like cysteine protease, putative",-0.341,0.114,not reduced
PBANKA_1000600,,erythrocyte membrane antigen 1,-0.793,0.231,no power
PBANKA_1207400,,"conserved Plasmodium protein, unknown function",0.008,0.222,not reduced
PBANKA_1220900,,"conserved Plasmodium protein, unknown function",0.010,0.128,not reduced
PBANKA_1005900,,"zinc finger, RAN binding protein, putative",-0.063,0.124,not reduced
PBANKA_1007600,EVP1,"erythrocyte vesicle protein 1, putative",-0.308,0.094,not reduced
PBANKA_0507800,,"conserved Plasmodium protein, unknown function",-0.699,0.132,not reduced
PBANKA_0810700,SPM1,"subpellicular microtubule protein 1, putative",-1.079,0.069,no power
PBANKA_0616400,,"conserved Plasmodium protein, unknown function",-0.223,0.125,not reduced
PBANKA_1107000,,"conserved Plasmodium protein, unknown function",0.004,0.684,no power
PBANKA_1444800,TLAP1,"thioredoxin-like associated protein 1, putative",-0.140,0.222,not reduced
PBANKA_0111600,ROP14,"rhoptry protein ROP14, putative",-0.269,0.124,not reduced
PBANKA_1400071,,BIR protein,0.618,0.440,not reduced
PBANKA_0704400,,"alpha/beta hydrolase, putative",-0.428,0.123,not reduced
PBANKA_0515200,MORN1,"MORN repeat-containing protein 1, putative",-0.148,0.104,not reduced
PBANKA_0214500,,"conserved Plasmodium protein, unknown function",-0.517,0.119,not reduced
PBANKA_0400500,,BIR protein,-0.800,0.195,no power
PBANKA_1014700,,"conserved Plasmodium protein, unknown function",-0.419,0.134,not reduced
PBANKA_0411900,,"conserved Plasmodium protein, unknown function",0.097,0.546,not reduced
PBANKA_0206100,,"carbon catabolite repressor protein 4, putative",-0.040,0.148,not reduced
PBANKA_0909500,,"AAA family ATPase, putative",-0.265,0.204,not reduced
PBANKA_0401700,,"conserved Plasmodium protein, unknown function",-0.359,0.120,not reduced
PBANKA_1030800,,"conserved protein, unknown function",-1.334,0.121,reduced
PBANKA_1032200,,"WD repeat-containing protein, putative",-0.360,0.189,not reduced
PBANKA_1234300,CCR4,"carbon catabolite repressor protein 4, putative",-0.244,0.155,not reduced
PBANKA_1230300,,"conserved Plasmodium protein, unknown function",0.554,0.186,not reduced
PBANKA_1034800,,"conserved Plasmodium protein, unknown function",-1.074,0.155,no power
PBANKA_0210100,,"vacuolar protein sorting-associated protein VTA1, putative",-0.225,0.148,not reduced
PBANKA_0806100,,"conserved Plasmodium protein, unknown function",-0.565,0.173,not reduced
PBANKA_0606200,,"blood stage antigen 41-3 precursor, putative",0.198,0.221,not reduced
PBANKA_0409500,,"conserved Plasmodium protein, unknown function",0.043,0.153,not reduced
PBANKA_0309700,,"multidrug efflux pump, putative",-0.764,0.267,no power
PBANKA_1420400,NELFA,"negative elongation factor A, putative",-0.976,0.155,no power
PBANKA_1029700,,"ubiquitin-conjugating enzyme, putative",-0.841,0.094,no power
PBANKA_0702700,ROM3,rhomboid protease ROM3,0.467,0.041,not reduced
PBANKA_0522100,,"conserved Plasmodium protein, unknown function",-0.416,0.690,no power
PBANKA_1337300,,"conserved Plasmodium protein, unknown function",-0.549,0.081,not reduced
PBANKA_1410200,,"cytochrome c2 precursor,putative",0.144,0.129,not reduced
PBANKA_1245700,,"conserved Plasmodium protein, unknown function",-0.174,0.141,not reduced
PBANKA_1312800,,"conserved Plasmodium protein, unknown function",-0.147,0.222,not reduced
PBANKA_1110800,,"conserved Plasmodium protein, unknown function",-0.287,0.164,not reduced
PBANKA_0306000,P230p,6-cysteine protein,-0.439,0.356,no power
PBANKA_1246600,CP1,fam-b protein,-0.157,0.141,not reduced
PBANKA_0410100,,"E3 ubiquitin-protein ligase, putative",-0.678,0.104,not reduced
PBANKA_0311900,,"RING zinc finger protein, putative",-1.220,0.131,no power
PBANKA_1233600,PSOP13,"secreted ookinete protein, putative",0.298,0.107,not reduced
PBANKA_0906100,,"conserved Plasmodium protein, unknown function",-0.273,0.101,not reduced
PBANKA_1144700,ERCC4,"DNA repair endonuclease, putative",-0.037,0.113,not reduced
PBANKA_0821600,,"conserved Plasmodium protein, unknown function",-0.167,0.155,not reduced
PBANKA_0931500,FT2,"folate transporter 2, putative",1.223,0.119,not reduced
PBANKA_1315300,LAP5,LCCL domain-containing protein,0.070,0.639,no power
PBANKA_1225200,,"acetyltransferase, putative",-0.151,0.386,not reduced
PBANKA_1422800,,"conserved Plasmodium protein, unknown function",-0.397,0.192,not reduced
PBANKA_1000800,,"conserved Plasmodium protein, unknown function",-1.077,0.117,no power
PBANKA_1338100,,"conserved Plasmodium protein, unknown function",0.093,0.084,not reduced
PBANKA_0619200,PSOP1,"secreted ookinete protein, putative",-1.036,0.074,no power
PBANKA_1139500,,"conserved Plasmodium protein, unknown function",0.005,0.079,not reduced
PBANKA_0203500,,"selenocysteine-specific elongation factor selB homologue, putative",-0.185,0.109,not reduced
PBANKA_1427500,,"acyl-CoA binding protein, putative",-0.320,0.114,not reduced
PBANKA_0700700,,"Plasmodium exported protein, unknown function",-1.101,0.145,no power
PBANKA_1407000,,"conserved Plasmodium protein, unknown function",-0.040,0.153,not reduced
PBANKA_1019000,,"conserved Plasmodium protein, unknown function",-0.991,0.255,no power
PBANKA_0705900,LMF1,"lipase maturation factor, putative",-1.065,0.112,no power
PBANKA_1403000,,"small heat shock protein, putative",0.550,0.078,not reduced
PBANKA_0407800,SBP2,"SECIS-binding protein 2, putative",0.007,0.119,not reduced
PBANKA_0623200,,"lysophospholipase, putative",-0.557,0.240,no power
PBANKA_1447200,,"CG2-related protein, putative",-0.054,0.082,not reduced
PBANKA_0706600,,"conserved Plasmodium protein, unknown function",0.060,0.171,not reduced
PBANKA_1316900,,"conserved Plasmodium protein, unknown function",-0.512,0.179,not reduced
PBANKA_0513500,,"conserved Plasmodium protein, unknown function",-0.042,0.527,no power
PBANKA_1421500,,"conserved Plasmodium protein, unknown function",-0.292,0.761,no power
PBANKA_0707100,IMC1i,inner membrane complex protein 1i,-0.220,0.341,not reduced
PBANKA_1208500,,"conserved Plasmodium protein, unknown function",-1.271,0.193,no power
PBANKA_0310500,,"conserved Plasmodium protein, unknown function",-0.424,0.291,no power
PBANKA_0519000,,"S-antigen, putative",0.133,0.519,not reduced
PBANKA_0510500,,"conserved Plasmodium protein, unknown function",-0.101,0.064,not reduced
PBANKA_0908400,,"conserved Plasmodium protein, unknown function",-0.293,0.754,no power
PBANKA_0400600,,BIR protein,-0.112,0.122,not reduced
PBANKA_0829300,,"conserved Plasmodium protein, unknown function",-0.228,0.107,not reduced
PBANKA_0515600,,"conserved Plasmodium protein, unknown function",-0.041,0.625,no power
PBANKA_1200600,,"Plasmodium exported protein, unknown function",-0.141,0.091,not reduced
PBANKA_1433500,,"PPPDE peptidase domain-containing protein, putative",-0.215,0.188,not reduced
PBANKA_0112641,,fam-b protein,-0.405,0.407,no power
PBANKA_0417100,,"conserved protein, unknown function",0.154,0.370,not reduced
PBANKA_1018300,,"dynein-associated protein, putative",-0.026,0.689,no power
PBANKA_1101700,,"conserved protein, unknown function",-0.154,0.113,not reduced
PBANKA_0307700,,"conserved Plasmodium protein, unknown function",-0.951,0.132,no power
PBANKA_0706800,,"DnaJ protein, putative",-1.039,0.163,no power
PBANKA_1102200,MSP8,merozoite surface protein 8,-0.551,0.261,no power
PBANKA_1112100,,"conserved Plasmodium protein, unknown function",0.239,0.059,not reduced
PBANKA_0835500,,"conserved Plasmodium protein, unknown function",-0.287,0.163,not reduced
PBANKA_1204200,,"conserved Plasmodium protein, unknown function",-0.893,0.203,no power
PBANKA_0312000,,"conserved Plasmodium protein, unknown function",-0.013,0.085,not reduced
PBANKA_0620700,,"conserved Plasmodium protein, unknown function",-0.061,0.131,not reduced
PBANKA_0605100,,"Tat binding protein 1(TBP-1)-interacting protein, putative",-0.805,0.145,no power
PBANKA_0812800,,"GTP-binding protein, putative",0.021,0.106,not reduced
PBANKA_0313600,,"conserved Plasmodium protein, unknown function",-0.672,0.074,not reduced
PBANKA_0608600,,"zinc finger protein, putative",-0.581,0.408,no power
PBANKA_1040561,,NA,0.778,0.554,not reduced
PBANKA_1229600,,"conserved Plasmodium protein, unknown function",-0.114,0.182,not reduced
PBANKA_1342300,,"conserved Plasmodium protein, unknown function",-0.300,0.422,no power
PBANKA_1451900,,"conserved Plasmodium protein, unknown function",-0.513,0.162,not reduced
PBANKA_1102300,,"conserved Plasmodium protein, unknown function",-0.232,0.244,not reduced
PBANKA_0812400,CRMP1,cysteine repeat modular protein 1,0.173,0.142,not reduced
PBANKA_1361500,WDR16,"WD repeat-containing protein 16, putative",-0.174,0.288,not reduced
PBANKA_0809100,,"subunit of proteaseome activator complex, putative",0.254,0.076,not reduced
PBANKA_1339500,,"conserved Plasmodium protein, unknown function",0.061,0.119,not reduced
PBANKA_0214600,,"Plasmodium exported protein, unknown function",-0.663,0.094,not reduced
PBANKA_1031500,,"conserved Plasmodium protein, unknown function",-0.338,0.645,no power
PBANKA_0301000,ROPE,"repetitive organellar protein, putative",-0.683,0.200,no power
PBANKA_1242200,,"conserved Plasmodium protein, unknown function",-0.100,0.282,not reduced
PBANKA_1000300,,"Plasmodium exported protein, unknown function",-1.079,0.077,no power
PBANKA_1442200,,"cyclin-related protein, putative",-0.277,0.431,no power
PBANKA_0930800,,"conserved Plasmodium protein, unknown function",0.971,0.627,not reduced
PBANKA_1422100,,"drug metabolite transporter, putative",0.151,0.868,no power
PBANKA_1312000,,"conserved Plasmodium protein, unknown function",-1.241,0.346,no power
PBANKA_0411700,,"co-chaperone p23, putative",-0.486,0.094,not reduced
PBANKA_1143700,PSOP2,"secreted ookinete protein, putative",-0.052,0.173,not reduced
PBANKA_1022100,,"conserved Plasmodium protein, unknown function",-0.248,0.177,not reduced
PBANKA_1012300,,"conserved Plasmodium protein, unknown function",-0.806,0.092,not reduced
PBANKA_0606900,,"amino acid transporter, putative",-0.194,0.231,not reduced
PBANKA_0928900,,"conserved protein, unknown function",-1.375,1.299,no power
PBANKA_0825300,,"conserved Plasmodium protein, unknown function",0.317,0.084,not reduced
PBANKA_0800100,,BIR protein,0.292,0.741,no power
PBANKA_0302400,,"conserved Plasmodium protein, unknown function",-0.067,0.164,not reduced
PBANKA_0911400,,"conserved Plasmodium protein, unknown function",-0.597,0.113,not reduced
PBANKA_0701200,,"conserved Plasmodium protein, unknown function",-0.301,0.103,not reduced
PBANKA_0800400,,"conserved Plasmodium protein, unknown function",-0.832,0.253,no power
PBANKA_0109700,,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin,-0.980,0.119,no power
PBANKA_0615900,CRMP2,cysteine repeat modular protein 2,0.031,0.172,not reduced
PBANKA_0300600,,"Plasmodium exported protein, unknown function",0.514,0.238,not reduced
PBANKA_0111100,P12p,6-cysteine protein,-0.555,0.123,not reduced
PBANKA_0705700,,"conserved Plasmodium protein, unknown function",0.145,0.186,not reduced
PBANKA_0101600,,"conserved Plasmodium protein, unknown function",-1.105,0.100,no power
PBANKA_1106500,ROM4,rhomboid protease ROM4,-0.589,0.187,not reduced
PBANKA_0510800,,"conserved Plasmodium protein, unknown function",0.763,0.134,not reduced
PBANKA_1300800,CRMP4,cysteine repeat modular protein 4,-0.206,0.158,not reduced
PBANKA_1244900,,"conserved Plasmodium protein, unknown function",0.472,0.528,not reduced
PBANKA_0520100,,"conserved Plasmodium protein, unknown function",0.427,0.287,not reduced
PBANKA_0203000,,"chromatin assembly factor 1 protein WD40 domain, putative",-0.929,0.281,no power
PBANKA_0209600,,"conserved Plasmodium protein, unknown function",-0.132,0.232,not reduced
PBANKA_1131900,PP5,serine/threonine protein phosphatase 5,-1.044,0.164,no power
PBANKA_1123300,,"conserved Plasmodium protein, unknown function",0.542,0.778,no power
PBANKA_0209000,,"conserved Plasmodium protein, unknown function",0.516,0.222,not reduced
PBANKA_1118500,,"conserved Plasmodium protein, unknown function",-0.621,0.220,no power
PBANKA_0916600,,"oxysterol-binding protein, putative",-0.015,0.138,not reduced
PBANKA_1329600,,"conserved Plasmodium protein, unknown function",-1.245,0.132,no power
PBANKA_1343500,,"conserved Plasmodium protein, unknown function",1.154,0.127,not reduced
PBANKA_1450800,,"conserved Plasmodium protein, unknown function",-0.148,0.159,not reduced
PBANKA_0618000,,"conserved Plasmodium protein, unknown function",-0.418,0.474,no power
PBANKA_1114300,,"conserved Plasmodium protein, unknown function",-0.296,0.134,not reduced
PBANKA_0502500,PPP8,serine/threonine protein phosphatase 8,-0.780,0.197,no power
PBANKA_1109100,,"conserved Plasmodium protein, unknown function",-0.199,0.604,no power
PBANKA_0108200,,"conserved Plasmodium protein, unknown function",-0.410,0.156,not reduced
PBANKA_0504400,,"conserved Plasmodium protein, unknown function",0.369,0.649,not reduced
PBANKA_1322400,,"exonuclease V, mitochondrial, putative",0.686,0.929,no power
PBANKA_1031400,,"conserved Plasmodium protein, unknown function",-0.163,0.214,not reduced
PBANKA_0802800,,"conserved Plasmodium protein, unknown function",0.623,0.442,not reduced
PBANKA_1226700,,"AAA family ATPase, putative",-0.200,0.907,no power
PBANKA_0414700,,"zinc finger protein, putative",-0.292,1.466,no power
PBANKA_1309700,DDX5,"ATP-dependent RNA helicase DDX5, putative",-0.031,1.466,no power
PBANKA_1341200,,"WD repeat-containing protein, putative",-0.031,1.466,no power
PBANKA_1224800,,"conserved protein, unknown function",-0.384,0.280,not reduced
PBANKA_1126800,,"HECT-domain (ubiquitin-transferase), putative",-0.031,1.466,no power
PBANKA_0519500,,"conserved Plasmodium protein, unknown function",0.281,0.082,not reduced
PBANKA_1117000,H2A,"histone H2A, putative",-0.292,1.466,no power
PBANKA_1445600,RIO1,"serine/threonine protein kinase RIO1, putative",0.803,0.778,not reduced
PBANKA_1009700,,"ribonuclease H2 subunit B, putative",-0.810,1.466,no power
PBANKA_1010100,TIM17,"mitochondrial import inner membrane translocase subunit TIM17, putative",-0.031,1.466,no power
PBANKA_1117100,H3.3,"histone H3 variant, putative",-0.031,1.466,no power
PBANKA_1127300,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_0908200,,"conserved Plasmodium protein, unknown function",0.542,0.778,no power
PBANKA_1340500,,"conserved Plasmodium protein, unknown function",1.127,0.724,not reduced
PBANKA_0806600,,"cleavage and polyadenylation specificity factor, putative",-0.031,1.466,no power
PBANKA_1316100,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_0805100,,"ribosomal protein S8e, putative",-0.031,1.466,no power
PBANKA_0822500,,"conserved Plasmodium protein, unknown function",-0.031,1.466,no power
PBANKA_1244100,,"conserved Plasmodium protein, unknown function",0.186,0.778,no power
PBANKA_0829100,,"conserved Plasmodium protein, unknown function",-0.504,1.459,no power
