GeneID,Old GeneID,Description,3D7 Gam Specific Transcription,3D7 Gam Specific Stabilization,Gametocyte transcription,Gametocyte stabilzation,mRNA Control,"Stage I-II transcript (Silvestrini et al., 2005)","Gametocyte transcript (Young et al., 2005)","Stage I-II transcript (Eksi et al., 2005)","Stage I-II transcript (Eksi et al., 2012)","Transcript downregulated in DOZI/CITH KO (Mair et al., 2010)","Stage II transcript enriched 2-fold (Lopez-Barragan et al., 2011)","Stage V tranascript enriched 2-fold (Lopez-Barragan et al., 2011)","Ookinete transcript enriched 20-fold (Lopez-Barragan et al., 2011)","Gameotcyte-Ookinete transcript present (Lopez-Barragan et al., 2011)","Stage I-II transcript in HP1off (Brancucci et al., 2014)","Stage I-II peptide (Silvestrini et al., 2010)","Stage V peptide (Silvestrini et al., 2010)","Male-Female Gametocyte Peptide (Tao et al., 2014)","Male-Female Stage V Gametocyte Peptide (Tao et al., 2014)",Times previously identified,Identified in this study,Previously identified as enriched,NEW,,
PF3D7_0531300,PFE1565w,"conserved Plasmodium protein, unknown function",1.462737,-0.087859,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0716600,PF07_0068,"cysteine desulfurase, putative (SufS)",-0.1325625,-0.0924005,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0202900,PFB0140w,"zinc finger protein, putative",0.522154,-0.0954975,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0904600,PFI0225w,"ubiquitin specific protease, putative",-0.963623,-0.095906,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1245300,PFL2175w,"ubiquitin conjugating enzyme E2, putative",0.6021615,-0.098663,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1034200,PF10_0332,"apicoplast ribosomal protein L27 precursor, putative",0.032918,-0.1002075,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0108400.1,PFA0415c,"mitochondrial carrier protein, putative",0.736343,-0.10101,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1303800,MAL13P1.19,"conserved Plasmodium protein, unknown function",-0.6615025,-0.1021355,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_0935300,PFI1705w,"phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative",0.6643545,-0.1037455,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1343300,PF13_0237,"conserved Plasmodium protein, unknown function",-0.0535125,-0.106172,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0512400,PFE0615w,"conserved Plasmodium protein, unknown function",0.846019,-0.1065585,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0934200,PFI1655c,"conserved Plasmodium protein, unknown function",0.099931,-0.117971,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1326600,PF13_0148,"conserved Plasmodium protein, unknown function",0.422416,-0.1199435,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_0518000,PFE0900w,"conserved protein, unknown function",-0.709458,-0.1224935,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1112300,PF11_0129,"conserved Plasmodium protein, unknown function",0.0702405,-0.1242515,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_0913500,PFI0660c,"protease, putative",-0.211552,-0.124785,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1339800,PF13_0217,"conserved Plasmodium protein, unknown function",0.210829,-0.12603,,,,,,,,,√,,,√,,√,,,,3,NO,YES,,,
PF3D7_0321000,PFC0925w,"conserved Plasmodium protein, unknown function",-0.0028495,-0.1310245,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0810100,MAL8P1.110,"apicoplast ribosomal protein L33 precursor, putative",-0.340803,-0.137651,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0611200,PFF0550w,"transcription factor with AP2 domain(s), putative (ApiAP2)",0.254043,-0.1390105,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0727000,PF07_0111,"conserved Plasmodium protein, unknown function",-0.1505195,-0.1391365,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0615500,PFF0750w,cdc2-related protein kinase 5 (CRK5),0.9867715,-0.142229,,,,,,,,,,,√,√,,,√,,,3,NO,YES,,,
PF3D7_0526400,PFE1315w,"conserved Plasmodium protein, unknown function",-0.7499645,-0.152214,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1416300,PF14_0161,"conserved protein, unknown function",-1.0606775,-0.160997,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1013700,PF10_0134,"conserved Plasmodium protein, unknown function",0.3758185,-0.164168,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1448800,PF14_0466,Appr-1-p processing domain protein,-0.9265325,-0.16852,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0929100,PFI1430w,"conserved Plasmodium protein, unknown function",0.46635,-0.1693115,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0819500,MAL8P1.63,"conserved protein, unknown function",-0.9259365,-0.171238,,,,,,,,,,√,,√,,,√,,,3,NO,YES,,,
PF3D7_0825600,PF08_0025,"cytochrome c oxidase assembly protein, putative",1.401647,-0.174595,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0622000,PFF1060w,"conserved Plasmodium protein, unknown function",0.2114965,-0.1749095,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0907100,PFI0340c,"conserved Plasmodium protein, unknown function",1.0049085,-0.1755615,√,,transcribed,,,,,,,√,√,√,,,,,,3,YES,YES,,,
PF3D7_1369100,PF13_0360,"conserved Plasmodium protein, unknown function",-0.2507115,-0.178367,,,,,,,,,,,√,√,,,√,,,3,NO,YES,,,
PF3D7_0936200,PFI1750c,"Plasmodium exported protein (hyp11), unknown function",0.3053715,-0.1801985,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1324600,PF13_0139,"conserved Plasmodium protein, unknown function",0.499506,-0.1807145,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1405800,PF14_0055,"large subunit rRNA processing protein, putative",-0.8822355,-0.183412,,,,,,,,,,,√,√,,√,,,,3,NO,YES,,,
PF3D7_0821900,MAL8P1.50,"conserved Plasmodium protein, unknown function",0.1790745,-0.1838885,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1119500,PF11_0202,"clathrin coat assembly protein, putative",-1.5457345,-0.1878535,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1237000,PFL1790w,"ubiquitin-activating enzyme, putative (Uba2)",-0.433178,-0.189687,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1474600,PF14_0714,"conserved Plasmodium membrane protein, unknown function",-1.5281535,-0.195558,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0606500,PFF0320c,"polypyrimidine tract binding protein, putative",-0.7192495,-0.1969285,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0705900,MAL7P1.340,"ATP synthase subunit C, putative",0.350036,-0.2060025,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1006400,PF10_0064,"conserved Plasmodium protein, unknown function",-0.6348815,-0.2062075,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_1428600,PF14_0265,"peptide chain release factor 1, putative",-0.113079,-0.210619,,,,,√,,,,,,√,√,,,,,,3,NO,YES,,,
PF3D7_0521000,PFE1055c,"conserved Plasmodium protein, unknown function",0.1464615,-0.2152645,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_1025700,PF10_0253,"conserved Plasmodium protein, unknown function",0.1442285,-0.2171075,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_1130700,PF11_0317,"structural maintenance of chromosome protein, putative",0.157746,-0.217504,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1473100,PF14_0699,"GTPase activator, putative",-0.8812405,-0.219973,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0521200,PFE1065w,"conserved Plasmodium protein, unknown function",1.1635605,-0.227642,√,,transcribed,,,,,,,√,√,√,,,,,,3,YES,YES,,,
PF3D7_0628600,PFF1385c,"conserved Plasmodium protein, unknown function",-0.632656,-0.2298985,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_0502100,PFE0105c,HCNGP-like protein,-1.179169,-0.2320565,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_1357600,MAL13P1.282,"conserved Plasmodium protein, unknown function",-0.3138915,-0.2360485,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0613000.3,PFF0630c-a,"conserved Plasmodium protein, unknown function",-1.4503365,-0.246237,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0528600,PFE1425c,"conserved Plasmodium protein, unknown function",-0.9957285,-0.2483785,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0204800,PFB0215c,"3'-5' exonuclease, putative",0.9604425,-0.2494905,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0608000,PFF0395c,"conserved protein, unknown function",-0.195818,-0.258002,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1119200,PF11_0199,"conserved Plasmodium protein, unknown function",0.629806,-0.25976,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0730900,MAL7P1.171,"Plasmodium exported protein, unknown function",-1.4015125,-0.26106,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0522700,PFE1135w,"iron-sulfur assembly protein, putative (SufA)",0.268137,-0.262141,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_1033200,PF10_0323,early transcribed membrane protein 10.2 (ETRAMP10.2),-0.5821865,-0.270747,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1005500,PF10_0057,"regulator of nonsense transcripts, putative",-1.136817,-0.2770425,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0821300,PF08_0042,"ATP-dependent RNA helicase prh1, putative",-0.949009,-0.282453,,,,,,,,,,,√,√,,,√,,,3,NO,YES,,,
PF3D7_1112400,PF11_0130,"conserved Plasmodium protein, unknown function",-0.539415,-0.283673,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0628500,PFF1380c,"conserved Plasmodium protein, unknown function",1.2061295,-0.287292,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0212000,PFB0535w,"GDP-fructose:GMP antiporter, putative",0.928568,-0.287525,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1009200,PF10_0089,"small subunit rRNA synthesis-associated protein, putative",-0.3640315,-0.289202,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0531200,PFE1560c,"mitochondrial ribosomal protein S16 precursor, putative",1.3166165,-0.289698,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0928300,PFI1390w,"conserved Plasmodium protein, unknown function",-0.1577885,-0.2948125,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1476700,PF14_0737,"lysophospholipase, putative",0.340306,-0.297767,,,,,√,,,,√,,,√,,,,,,3,NO,YES,,,
PF3D7_0629400,PFF1425w,"RNA binding protein, putative",0.251715,-0.3021665,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0321200,PFC0935c,"N-acetylglucosamine-1-phosphate transferase, putative",0.138414,-0.303066,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0934700,PFI1680w,"UBX domain, putative",-0.2177935,-0.30496,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1002100,PF10_0025,PF70 protein (PF70),-1.5432865,-0.3062745,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1250600,PFL2430c,"eukaryotic translation initiation factor 2b, subunit 2, putative",-0.0352175,-0.3082145,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0615300,PFF0740c,"conserved Plasmodium membrane protein, unknown function",0.5807555,-0.3107585,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1455200.1,PF14_0526-a,"conserved Plasmodium protein, unknown function",0.686084,-0.312472,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0715900,PF07_0065,"zinc transporter, putative",0.6123145,-0.3184895,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0301900,PFC0095c,"conserved Plasmodium protein, unknown function",-0.400753,-0.3196415,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0102800,PFA0140c,"conserved Plasmodium protein, unknown function",0.365625,-0.325589,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1319500,PF13_0112,"conserved Plasmodium protein, unknown function",-0.665651,-0.329115,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_1106400,PF11_0075,"conserved Plasmodium protein, unknown function",0.67215,-0.333144,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_1337500,PF13_0210,"conserved Plasmodium protein, unknown function",-0.5955035,-0.3340155,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0526100,PFE1300w,"conserved Plasmodium membrane protein, unknown function",-0.1674095,-0.334507,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0218300,PFB0855c,"apicoplast RNA methyltransferase precursor, putative",-0.1591625,-0.337562,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0111200,PFA0540c,"conserved Plasmodium protein, unknown function",1.319943,-0.345102,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_1127000,PF11_0281,"protein phosphatase, putative",-1.048926,-0.34525,,,,,,,,,,,,√,,√,,√,,3,NO,YES,,,
PF3D7_0830900,PF08_0001,"Plasmodium exported protein, unknown function",0.070493,-0.345778,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1462200,PF14_0592,"conserved Plasmodium protein, unknown function",1.4820475,-0.346136,√,,transcribed,,,,,,√,,√,√,,,,,,3,YES,YES,,,
PF3D7_1226900,PFL1300c,"conserved Plasmodium protein, unknown function",-1.624004,-0.3502855,,,,,,,,,,,√,√,,√,,,,3,NO,YES,,,
PF3D7_0921100,PFI1035w,"conserved Plasmodium protein, unknown function",-0.2757765,-0.3533745,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1004400,PF10_0047,"RNA binding protein, putative",-0.054056,-0.3537705,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0724400,PF07_0103,"mitochondrial import inner membrane translocase subunit tim14, putative",-0.338977,-0.355571,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1471900,PF14_0686,"conserved Plasmodium protein, unknown function",0.93117,-0.362168,,,,,,,,,,,√,√,,,√,,,3,NO,YES,,,
PF3D7_0710700,PF07_0044,"conserved Plasmodium protein, unknown function",-1.7557555,-0.362932,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_1337000,MAL13P1.184,"endopeptidase, putative",-0.3716515,-0.3631455,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1421400,PF14_0207,"DNA-directed RNA polymerase III subunit C, putative",-0.3423555,-0.3637585,,,,,,,,,√,,,√,,√,,,,3,NO,YES,,,
PF3D7_1027500,PF10_0270,"conserved Plasmodium protein, unknown function",-0.6438815,-0.3700715,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0929000,PFI1425w,"conserved Plasmodium protein, unknown function",-1.3392575,-0.370907,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_0724300,MAL7P1.130,"3-demethylubiquinone-9 3-methyltransferase, putative",-1.1963145,-0.3733325,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0315000,PFC0630w,"zinc finger protein, putative",1.002957,-0.3739405,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0620600,PFF1005w,"conserved Plasmodium protein, unknown function",0.3048955,-0.3740885,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1006500,PF10_0065,"conserved Plasmodium protein, unknown function",0.4332575,-0.3757875,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0212700,PFB0575c,"conserved Plasmodium protein, unknown function",-0.859069,-0.378232,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0521700,PFE1085w,"DEAD/DEAH box ATP-dependent RNA helicase, putative",-0.345764,-0.3799075,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1236000,PFL1740w,"conserved Plasmodium protein, unknown function",-0.9674275,-0.384009,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1120900,PF11_0216,"heat shock factor binding protein 1, putative",1.314182,-0.3913345,√,,transcribed,,,,,,√,,√,√,,,,,,3,YES,YES,,,
PF3D7_1107500,PF11_0088,"prefoldin, putative",-1.1316065,-0.392118,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1002400.1,PF10_0028-a,"RNA binding protein, putative",0.2381015,-0.393902,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0405500,PFD0270c,"conserved Plasmodium protein, unknown function",-0.6190595,-0.39735,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0928500,PFI1400c,"conserved Plasmodium protein, unknown function",0.260249,-0.4001645,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0501900,PFE0095c,"conserved Plasmodium protein, unknown function",-0.2755815,-0.400565,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0806900,PF08_0112,"conserved Plasmodium protein, unknown function",-0.3442735,-0.418577,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0825500,PF08_0026,"conserved protein, unknown function",0.054502,-0.420671,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1248500,PFL2325c,"conserved protein, unknown function",0.444126,-0.420983,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_0530600,PFE1530c,"XAP-5 DNA binding protein, putative",0.40046,-0.424854,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1348200,MAL13P1.242,"step II splicing factor, putative",0.3785875,-0.425567,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0522000,PFE1100w,"conserved Plasmodium protein, unknown function",0.508073,-0.4278855,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0403400,PFD0160w,"conserved Plasmodium protein, unknown function",0.4133975,-0.43321,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_1402000,PF14_0022,"conserved Plasmodium protein, unknown function",-0.445886,-0.4349555,,,,,√,,,,√,,,√,,,,,,3,NO,YES,,,
PF3D7_1361000,PF13_0323,"arginine methyltransferase 5, putative (PRMT5)",-0.071312,-0.435383,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0933400,PFI1617w,"conserved Plasmodium protein, unknown function",1.1529225,-0.4354195,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0313500,PFC0565w,"GTP-binding protein EngA, putative",-0.0327425,-0.4437025,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_0814100,MAL8P1.93,"conserved Plasmodium protein, unknown function",0.1924915,-0.444511,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0319300,PFC0855w,"ubiquitin conjugating enzyme, putative",0.134142,-0.446653,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0214400,PFB0655c,"conserved Plasmodium protein, unknown function",0.335715,-0.4555655,,,,,,,,,,,√,√,,√,,,,3,NO,YES,,,
PF3D7_1429000,PF14_0269,"conserved protein, unknown function",-0.3408095,-0.4556635,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_1409600,PF14_0094,"conserved Plasmodium protein, unknown function",-0.5046815,-0.4573295,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0210800,PFB0485c,"conserved Plasmodium protein, unknown function",-0.690417,-0.4657695,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1353700,PF13_0281,"conserved Plasmodium protein, unknown function",-1.1803035,-0.4731305,,,,,,,,,√,,,√,,√,,,,3,NO,YES,,,
PF3D7_1473600,PF14_0705,"conserved Plasmodium protein, unknown function",1.5657635,-0.4778095,√,,transcribed,,,,,,√,,√,√,,,,,,3,YES,YES,,,
PF3D7_0419500,PFD0945c,"conserved Plasmodium membrane protein, unknown function",-0.742113,-0.482211,,,,,,,,,,√,,√,,,√,,,3,NO,YES,,,
PF3D7_0607400,PFF0365c,"G-protein associated signal transduction protein, putative",-1.536518,-0.485355,,,,,,,,,,√,,√,,,√,,,3,NO,YES,,,
PF3D7_0818700,MAL8P1.65,"DNA helicase, putative",-1.174203,-0.4994415,,,,,,,,,,,,√,,,√,√,,3,NO,YES,,,
PF3D7_0703300,MAL7P1.11,"conserved Plasmodium protein, unknown function",-1.7258445,-0.501891,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1406000,PF14_0057,"RNA binding protein, putative",0.7546445,-0.507608,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_0214500,PFB0660w,"conserved Plasmodium protein, unknown function",0.392975,-0.5095965,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0715800,PF07_0064,"drug/metabolite exporter, drug/metabolite transporter",0.8757155,-0.5151345,,,,,,,,,,√,,√,,,√,,,3,NO,YES,,,
PF3D7_0910300,PFI0500w,"conserved Plasmodium protein, unknown function",0.572776,-0.5167945,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1468300,PF14_0651,leucine-rich repeat protein (LLR14.1),0.306462,-0.517488,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_0403300,PFD0155c,"conserved Plasmodium protein, unknown function",0.4689475,-0.5189685,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0501100.1,PFE0055c,"heat shock protein 40, type II (HSP40)",-1.2605345,-0.520777,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0616300,PFF0790c,"conserved Plasmodium protein, unknown function",0.181495,-0.522393,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_0215300,PFB0695c,acyl-CoA synthetase (ACS8),-1.0932885,-0.525301,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_1032900,PF10_0320,"RNA polymerase II-associated protein 1, putative",0.180542,-0.5388455,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1355300,PF13_0293,"histone-lysine N-methyltransferase, putative (SET6)",-1.0664685,-0.5393375,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0205700.1,PFB0255w-a,"conserved Plasmodium protein, unknown function",-0.6948535,-0.5433225,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0201500,PFB0075c,"Plasmodium exported protein (hyp9), unknown function",1.4298125,-0.544333,√,,transcribed,,,,,,√,√,,√,,,,,,3,YES,YES,,,
PF3D7_0820200,MAL8P1.58,phosphatidylglycerophosphate synthase (PGPS),-1.2006225,-0.5530545,,,,,,,,,,,,√,,,√,√,,3,NO,YES,,,
PF3D7_0523900,PFE1190c,"conserved Plasmodium membrane protein, unknown function",-0.1467415,-0.555541,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1458900,PF14_0562,"conserved protein, unknown function",-0.399319,-0.5562745,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1330300,MAL13P1.162,"DnaJ protein, putative",-1.149124,-0.5584835,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1118200,PF11_0188,"heat shock protein 90, putative",-0.942907,-0.5596385,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0622700,PFF1090c,"conserved Plasmodium membrane protein, unknown function",-0.4898195,-0.574294,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0531400,PFE1570c,"conserved Plasmodium protein, unknown function",-1.0974755,-0.5766475,,,,,,,,,,√,,√,,,√,,,3,NO,YES,,,
PF3D7_1209000,PFL0450c,"conserved Plasmodium protein, unknown function",-0.1977675,-0.582482,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1327700,PF13_0158,"regulator of nonsense transcripts 3B, putative (UPF3B)",1.0113755,-0.590711,√,,transcribed,,,,,,,,,√,,√,√,,,3,YES,YES,,,
PF3D7_0613100,PFF0635w,"conserved Plasmodium protein, unknown function",-1.5726085,-0.6057015,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_1007600,PF10_0074,"conserved Plasmodium protein, unknown function",0.473905,-0.606568,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0514900,PFE0745w,"conserved Plasmodium protein, unknown function",-0.734529,-0.608699,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_1436300,PF14_0344,translocon component PTEX150 (PTEX150),-1.965759,-0.6156195,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_0820000,PF08_0048,"Snf2-related CBP activator, putative (SRCAP)",-0.934438,-0.6159605,,,,,,,,,,,,√,,,,√,√,3,NO,YES,,,
PF3D7_0522200,PFE1110w,"conserved Plasmodium protein, unknown function",0.3773345,-0.618232,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0411000,PFD0545w,"conserved Plasmodium protein, unknown function",-0.899789,-0.623737,,,,,,,,,,√,√,√,,,,,,3,NO,YES,,,
PF3D7_1024800,PF10_0242,"conserved Plasmodium protein, unknown function",-1.3407915,-0.6308,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1363200,PF13_0334,bifunctional polynucleotide phosphatase/kinase (PNKP),0.410002,-0.6355095,,,,,,,,,,,,√,,√,√,,,3,NO,YES,,,
PF3D7_1360300,MAL13P1.300,"conserved Plasmodium protein, unknown function",0.409779,-0.637672,,,,,,,,,√,,,√,,,√,,,3,NO,YES,,,
PF3D7_1247900,PFL2295w,"nucleolar rRNA processing protein, putative",0.352639,-0.6405955,,,,,,,,,,,√,√,,√,,,,3,NO,YES,,,
PF3D7_1441900,PF14_0398,"transcription factor TFIIH complex subunit Tfb5, putative",0.181474,-0.6525085,,,,,,,,,√,,√,√,,,,,,3,NO,YES,,,
PF3D7_0109700,PFA0475c,"conserved protein, unknown function",0.926462,-0.655785,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
PF3D7_0906800,PFI0330c,"probable protein, unknown function",0.885916,-0.662791,,,,,,,,,,√,,√,,√,,,,3,NO,YES,,,
PF3D7_0109500,PFA0465c,"N-acetyltransferase, putative",-1.338343,-0.6629565,,,,,,,,,√,√,,√,,,,,,3,NO,YES,,,
